变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2
默认值,"""",0,FALSE,FALSE,<0;0>,TRUE,<cn;tw;en;vn;th;kr>,,"""""",,""""""
ID,Remark,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2
1,Frog Seeds,1,,,<0.7;6.9>,,,1,0.13%,,
2,Froggrass,2,,,<1;13>,,,1,0.13%,,
3,Frog Flower,3,,,<2;100>,,,1,0.13%,,
4,Super Frog Flower,4,,,<2;100>,,<cn;kr;en;tw>,1,0.13%,,
11,Charmander,11,,,<0.6;8.5>,,,8,0.20%,,
12,fire dinosaur,12,,,<1.1;19>,,,8,0.20%,,
13,Charizard,13,,,<1.7;90.5>,,,8,0.20%,,
14,Super Charizard X,14,,,<1.7;90.5>,,<cn;kr;en;tw>,8,0.20%,,
15,Super Charizard Y,15,,,<1.7;90.5>,,<cn;kr;en;tw>,8,0.20%,,
21,Squirrel,21,,,<0.5;9>,,,10,0.20%,,
22,Cammy Turtle,22,,,<1;22.5>,,,10,0.20%,,
23,Blastoise,23,,,<1.6;85.5>,,,10,0.20%,,
24,Super Blastoise,24,,,<1.6;85.5>,,<cn;kr;en;tw>,10,0.20%,,
31,green caterpillar,31,,,<0.3;2.9>,,,1,0.15%,,
,Iron Chrysalis,,,,<0.7;9.9>,,,,,,
33,Butterfly,33,,,<1.1;32.0>,,,1,0.15%,,
,Unicorn,,,,<0.3;3.2>,,,,,,
,Iron Shell Chrysalis,,,,<0.6;10>,,,,,,
41,Big Needle Bee,41,,,<1;29.5>,,,7,0.40%,,
44,super needle bee,44,,,<1;29.5>,,<cn;kr;en;tw>,7,0.40%,,
51,Bobo,51,,,<0.3;1.8>,,,7,0.20%,,
52,bibi bird,52,,,<1.1;30>,,,7,0.20%,,
53,Big bird,53,,,<1.5;39.5>,,,7,0.20%,,
,super big bird,,,,,,,,,,
61,Little Lada,61,,,<0.3;3.5>,,,7,0.20%,,
62,Rada,62,,,<0.7;18.5>,,,7,0.20%,,
71,sparrow,71,,,<0.3;2>,,,10,0.20%,,
72,Toucan,72,,,<1.2;38>,,,10,0.20%,,
81,Arbor snake,81,,,<2;6.9>,,,9,0.20%,,
82,Arbor,82,,,<3.5;65>,,,9,0.20%,,
91,Pichu,91,,,<0.3;2>,,,13,0.20%,,
92,pikachu,92,,TRUE,<0.4;6>,,,13,0.20%,,
93,Raichu,93,,,<0.8;30>,,,13,0.20%,,
101,Mountain rat,101,,,<0.6;12>,,,10,0.20%,,
102,Chuanshanwang,102,,,<1;29.5>,,,10,0.20%,,
111,Nidolan,111,,,<0.4;7>,,,8,0.13%,,
112,Nidorna,112,,,<0.8;20>,,,8,0.13%,,
113,Queen Nido,113,,,<1.3;60>,,,8,0.13%,,
121,Nidolan,121,,,<0.5;9.0>,,,9,0.13%,,
122,Nitorino,122,,,<0.9;19.5>,,,9,0.13%,,
123,King Nido,123,,,<1.4;62>,,,9,0.13%,,
131,skin baby,131,,,<0.3;3>,,,8,0.20%,,
132,Pippi,132,,,<0.6;7.5>,,,8,0.20%,,
133,Pixie,133,,,<1.3;40>,,,8,0.20%,,
,six tails,,,,<0.6;9.9>,,,,,,
,nine tails,,,,<1.1;19.9>,,,,,,
151,Baby Ding,151,,,<0.3;1>,,<cn;kr;en;tw>,13,0.20%,,
152,Fat Ding,152,,,<0.5;5.5>,,<cn;kr;en;tw>,13,0.20%,,
153,Fat Keding,153,,,<1;12>,,<cn;kr;en;tw>,13,0.20%,,
161,supersonic bat,161,,,<0.8;7.5>,,<cn;kr;en>,7,0.27%,,
162,big mouth bat,162,,,<1.6;55>,,<cn;kr;en>,7,0.27%,,
163,Forked bat,163,,,<1.8;75>,,<cn;kr;en>,7,0.27%,,
171,walking grass,171,,,<0.5;5.4>,,,8,0.13%,,
172,stinky flower,172,,,<0.8;8.6>,,,8,0.13%,,
173,Rafflesia,173,,,<1.2;18.6>,,,8,0.13%,,
,beautiful flower,,,,<0.4;5.8>,,,,,,
,Paras,,,,<0.3;5.4>,,,,,,
,Palast,,,,<1;29.5>,,,,,,
191,Hairball,191,,,<1;30>,,,13,0.20%,,
192,moru moth,192,,,<1.5;12.5>,,,13,0.20%,,
,Gophers,,,,<0.2;0.8>,,,,,,
,three gophers,,,,<0.7;33.3>,,,,,,
,Meow meow,,,,<0.4;4.2>,,,,,,
,cat boss,,,,<1;32>,,,,,,
221,up to duck,221,,,<0.8;19.6>,,<cn;kr;en;tw>,8,0.30%,,
222,Gotha Duck,222,,,<1.7;76.6>,,<cn;kr;en;tw>,8,0.30%,,
231,monkey monster,231,,,<0.5;28>,,,9,0.20%,,
232,Fire Monkey,232,,,<1.0;32.0>,,,9,0.20%,,
241,katti dog,241,,,<0.7;19>,,,7,0.40%,,
242,wind speed dog,242,,,<1.9;155>,,,7,0.40%,,
,mosquito coil tadpole,,,,<0.6;12.4>,,,,,,
,Mosquito coil,,,,,,,,,,
,mosquito coil swimmer,,,,,,,,,,
,Mosquito Repellent Frog King,,,,,,,,,,
261,casey,261,,,<0.9;19.5>,,,1,0.18%,,
262,Yongkila,262,,,<1.3;56.5>,,,1,0.18%,,
263,Hu Di,263,,,<1.5;48>,,,1,0.18%,,
264,Super Hudi,264,,,<1.5;48>,,<cn;kr>,1,0.18%,,
271,wrist strength,271,,,<0.8;19.5>,,,7,0.20%,,
272,Hao Li,272,,,<1.5;70.5>,,,7,0.20%,,
273,Strange power,273,,,<1.6;130>,,,7,0.20%,,
281,trumpet buds,281,,,<0.7;4>,,,8,0.20%,,
282,Mouth flower,282,,,<1;6.4>,,,8,0.20%,,
283,big food flower,283,,,<1.7;15.5>,,,8,0.20%,,
,Agate jellyfish,,,,<0.9;45.5>,,,,,,
,Stinger jellyfish,,,,<1.6;55>,,,,,,
301,Small fist stone,301,,,<0.4;20>,,,9,0.20%,,
302,Rumble stone,302,,,<1;105>,,,9,0.20%,,
303,Rumble Rock,303,,,<1.4;300>,,,9,0.20%,,
,little fire horse,,,,<1;30>,,,,,,
,flame horse,,,,<1.7;95>,,,,,,
,Slowpoke,,,,<1.2;36>,,,,,,
,Silly beast,,,,,,,,,,
,Dumb King,,,,,,,,,,
,super dumb,,,,,,,,,,
331,Magneto,331,,,<0.3;6>,,,10,0.27%,,
332,Three in One Magneto,332,,,<1;60>,,,10,0.27%,,
333,Magneto,333,,,<1.2;180>,,,10,0.27%,,
341,Scallion Duck,341,,,<0.8;15>,,<cn;kr;en;tw>,13,0.40%,,
351,doodle,351,,,<1.4;39.2>,,,1,0.15%,,
352,Duduli,352,,,<1.8;85.2>,,,1,0.15%,,
,little sea lion,,,,<1.1;90>,,,,,,
,white sea lion,,,,<1.7;120>,,,,,,
371,smelly mud,371,,,<0.9;30>,,,9,0.30%,,
372,smelly mud,372,,,<1.2;30>,,,9,0.30%,,
381,Big tongue clam,381,,,<0.3;4>,,<cn>,7,0.40%,,
382,Spiny clam,382,,,<1.5;132.5>,,<cn>,7,0.40%,,
391,Ghost,391,,,<1.3;0.1>,,,13,0.27%,,
392,ghost stone,392,,,<1.6;0.1>,,,13,0.27%,,
393,Gengar,393,,,<1.5;40.5>,,,13,0.27%,,
394,Super Gengar,394,,,<1.5;40.5>,,<cn;kr;en;tw>,13,0.27%,,
401,rock snake,401,,,<8.8;210>,,,9,0.40%,,
402,steel snake,402,,,<9.2;400>,,,9,0.40%,,
,super steel snake,,,,,,,,,,
,hypnotic tapir,,,,,,,,,,
,Mental Tapir,,,,,,,,,,
,Claw Crab,,,,<0.4;6.5>,,,,,,
,giant claw crab,,,,<1.3;60>,,,,,,
,Thunderball,,,,,,,,,,
,naughty bomb,,,,,,,,,,
,balls,,,,<0.4;2.5>,,,,,,
,coconut egg tree,,,,<2;120>,,,,,,
451,Caracalla,451,,,<0.4;6.5>,,,7,0.20%,,
452,Gala Gala,452,,,<1.0;45.0>,,,7,0.20%,,
461,dauntless boy,461,,,<0.7;21.0>,,,7,0.15%,,
462,flying legs,462,,,<1.5;49.8>,,,7,0.15%,,
463,Kuaiquan Lang,463,,,<1.4;50.2>,,,7,0.15%,,
464,War dancer,464,,,<1.4;48.0>,,,7,0.15%,,
471,big tongue,471,,,<1.2;65.5>,,,10,0.30%,,
472,Big tongue licking,472,,,<1.7;140>,,,10,0.30%,,
481,gas bomb,481,,,<0.6;1>,,,8,0.30%,,
482,double bomb gas,482,,,<1.2;9.5>,,,8,0.30%,,
491,one horned rhino,491,,,<1.0;115.0>,,,9,0.27%,,
492,Rhinoceros,492,,,<1.9;120>,,,9,0.27%,,
493,Super Armored Rhinoceros,493,,,<2.4;282.8>,,,9,0.27%,,
501,Little Fudan,501,,,<0.6;24.4>,,<cn>,1,0.18%,,
502,Lucky Eggs,502,,,<1.1;34.6>,,<cn>,1,0.18%,,
503,happy egg,503,,,<1.5;46.8>,,<cn>,1,0.18%,,
,vine monster,,,,<1;35>,,,,,,
,giant vine,,,,<2;128.6>,,,,,,
,marsupial,,,,<2.2;80>,,,,,,
,super marsupial,,,,,,,,,,
,ink hippocampus,,,,<0.4;8>,,,,,,
,Seathorn,,,,<1.2;25>,,,,,,
,Dragon King,,,,<1.8;152>,,,,,,
541,horned goldfish,541,,,<0.6;15>,,,1,0.15%,,
542,goldfish king,542,,,<1.3;39>,,,1,0.15%,,
551,starfish,551,,,<0.8;34.5>,,,8,0.30%,,
552,jewel starfish,552,,,<1.1;80>,,,8,0.30%,,
,Manini,,,,<0.6;13>,,,,,,
,Wall Doll,,,,,,,,,,
571,flying mantis,571,,,<1.5;56>,,,7,0.40%,,
572,Giant Pincer Mantis,572,,,<1.8;118>,,,7,0.40%,,
574,Super Claw Mantis,574,,,<2;125>,,<cn>,7,0.40%,,
,lip baby,,,,<0.4;6>,,,,,,
,Miss lips,,,,<1.4;40.6>,,,,,,
591,Zap monster,591,,,<0.6;23.5>,,,8,0.27%,,
592,Electrocute,592,,,<1.1;30>,,,8,0.27%,,
593,Electric Shock Monster,593,,,<1.8;138.6>,,,8,0.27%,,
601,Duckbill baby,601,,,<0.7;21.4>,,,10,0.27%,,
602,Platypus,602,,,<1.3;44.5>,,,10,0.27%,,
603,Platypus,603,,,<1.6;68.0>,,,10,0.27%,,
611,Kairos,611,,,<1.5;55>,,<cn>,7,0.80%,,
,Super Kairos,,,,,,,,,,
,Cantero,,,,<1.4;88.4>,,,,,,
,King carp,,,,<0.9;10>,,,,,,
631,Gyarados,631,,,<6.5;235>,,,7,0.80%,,
,Super Gyarados,,,,,,,,,,
641,Laplace,641,,,<2.5;220>,,<cn;kr;tw>,1,0.55%,,
,Ditto,,,,<0.3;4>,,,,,,
,Ibrahimovic,,,,<0.3;6.5>,,,,,,
,Water Ibrahimovic,,,,<1;29>,,,,,,
,Reib,,,,<0.8;24.5>,,,,,,
,Fire Eevee,,,,<0.9;25>,,,,,,
,Sun Ibrahimovic,,,,<0.9;26.5>,,,,,,
,Moon Eevee,,,,<1;27>,,,,,,
,Yeib,,,,<1;25.5>,,,,,,
,Ice Ibrahimovic,,,,<0.8;25.9>,,,,,,
,Fairy Eevee,,,,,,,,,,
,Polygon,,,,,,,,,,
,Polygon II,,,,,,,,,,
,Polygon Z,,,,,,,,,,
,Ammonite,,,,<0.4;7.5>,,,,,,
,spiny ammonite,,,,<1;35>,,,,,,
691,fossil helmet,691,,,<0.5;11.5>,,,9,0.30%,,
692,sickle helmet,692,,,<1.3;40.5>,,,9,0.30%,,
701,Fossil pterosaur,701,,,<1.8;59>,,<cn;kr>,13,0.80%,,
,Super Fossil Pterosaur,,,,,,,,,,
711,Snorkelling,711,,,<0.6;105>,,<cn;tw;kr;en>,1,0.28%,,
