变量名,range,periodAward,version
默认值,,{},0
ID,区间,结算奖励,奖励版本
1,<1;2>,{rmb=300;coin1=1200;gold=100000},
2,<2;3>,{rmb=280;coin1=1050;gold=95000},
3,<3;4>,{rmb=260;coin1=900;gold=90000},
4,<4;5>,{rmb=240;coin1=800;gold=85000},
5,<5;6>,{rmb=220;coin1=750;gold=80000},
6,<6;7>,{rmb=200;coin1=720;gold=75000},
7,<7;8>,{rmb=190;coin1=690;gold=70000},
8,<8;9>,{rmb=180;coin1=660;gold=65000},
9,<9;10>,{rmb=170;coin1=630;gold=60000},
10,<10;11>,{rmb=160;coin1=600;gold=55000},
11,<11;21>,{rmb=150;coin1=550;gold=50000},
12,<21;31>,{rmb=140;coin1=510;gold=45000},
13,<31;41>,{rmb=130;coin1=490;gold=40000},
14,<41;51>,{rmb=120;coin1=460;gold=35000},
15,<51;71>,{rmb=110;coin1=430;gold=30000},
16,<71;101>,{rmb=100;coin1=400;gold=28000},
17,<101;201>,{rmb=95;coin1=380;gold=26000},
18,<201;301>,{rmb=90;coin1=360;gold=24000},
19,<301;401>,{rmb=85;coin1=340;gold=22000},
20,<401;501>,{rmb=80;coin1=320;gold=20000},
21,<501;601>,{rmb=75;coin1=300;gold=18000},
22,<601;701>,{rmb=70;coin1=280;gold=17000},
23,<701;801>,{rmb=65;coin1=260;gold=16000},
24,<801;1001>,{rmb=60;coin1=240;gold=15000},
25,<1001;3001>,{rmb=55;coin1=220;gold=14000},
26,<3001;5001>,{rmb=50;coin1=200;gold=13000},
27,<5001;10001>,{rmb=45;coin1=195;gold=12000},
28,<10001;15001>,{rmb=40;coin1=190;gold=11000},
29,<15001;100000>,{rmb=40;coin1=185;gold=10000},
,,,
101,<1;2>,{rmb=350;coin1=1350;gold=150000},101
102,<2;3>,{rmb=320;coin1=1200;gold=145000},101
103,<3;4>,{rmb=300;coin1=1050;gold=140000},101
104,<4;5>,{rmb=280;coin1=950;gold=135000},101
105,<5;6>,{rmb=260;coin1=900;gold=130000},101
106,<6;7>,{rmb=250;coin1=870;gold=125000},101
107,<7;8>,{rmb=240;coin1=840;gold=120000},101
108,<8;9>,{rmb=230;coin1=810;gold=115000},101
109,<9;10>,{rmb=220;coin1=780;gold=110000},101
110,<10;11>,{rmb=210;coin1=750;gold=105000},101
111,<11;21>,{rmb=200;coin1=700;gold=100000},101
112,<21;31>,{rmb=190;coin1=670;gold=95000},101
113,<31;41>,{rmb=180;coin1=640;gold=90000},101
114,<41;51>,{rmb=170;coin1=610;gold=85000},101
115,<51;71>,{rmb=160;coin1=580;gold=80000},101
116,<71;101>,{rmb=140;coin1=550;gold=78000},101
117,<101;201>,{rmb=120;coin1=530;gold=76000},101
118,<201;301>,{rmb=100;coin1=510;gold=74000},101
119,<301;401>,{rmb=90;coin1=490;gold=72000},101
120,<401;501>,{rmb=80;coin1=470;gold=70000},101
121,<501;601>,{rmb=75;coin1=450;gold=68000},101
122,<601;701>,{rmb=70;coin1=430;gold=67000},101
123,<701;801>,{rmb=65;coin1=410;gold=66000},101
124,<801;1001>,{rmb=60;coin1=390;gold=65000},101
125,<1001;3001>,{rmb=55;coin1=370;gold=64000},101
126,<3001;5001>,{rmb=50;coin1=350;gold=63000},101
127,<5001;10001>,{rmb=45;coin1=345;gold=62000},101
128,<10001;15001>,{rmb=40;coin1=340;gold=61000},101
129,<15001;100000>,{rmb=40;coin1=335;gold=60000},101
