变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;tw;en;vn;th;kr>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
31,lazy otter,{21421=5},{coin1=1500},,,,,,,,,,
32,flying mantis,{20571=5},{coin1=1500},,,,,,,,,,
33,Duckbill baby,{20601=5},{coin1=1500},,,,,,,,,,
,,,,,,,,,,,,,
34,Harley Chestnut,{23281=5},{coin1=900},,,,,,<150;150>,,,,
35,Firefox,{23291=5},{coin1=900},,,,,,<150;150>,,,,
36,skin baby,{20131=5},{coin1=900},,,,,,<150;150>,,,,
37,Squirrel,{20021=5},{coin1=900},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
41,Gyarados,{20631=5},{coin1=1500},,,,,,,,,,
42,Zap monster,{20591=5},{coin1=1500},,,,,,,,,,
43,Lalulas,{21391=5},{coin1=1500},,,,,,,,,,
,,,,,,,,,,,,,
51,experience potion,{12=10},{coin1=300},,,,,,<150;150>,,,,
52,experience potion,{13=10},{coin1=600},,,,,,<150;150>,,,,
53,experience potion,{14=10},{coin1=1000},,,,,,<150;150>,,,,
54,copper powder,{2103=3},{coin1=600},,,,,,<150;150>,,,,
55,30W gold coins,{514=30},{coin1=1000},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
61,Harley Chestnut,{23281=5},{coin1=900},,,,,,,,,,
62,Firefox,{23291=5},{coin1=900},,,,,,,,,,
63,skin baby,{20131=5},{coin1=900},,,,,,,,,,
64,Squirrel,{20021=5},{coin1=900},,,,,,,,,,
65,Electric flying squirrel,{22891=5},{coin1=900},,,,,,,,,,
66,gear two,{22961=5},{coin1=900},,,,,,,,,,
,,,,,,,,,,,,,
71,experience potion,{12=10},{coin1=300},,,,,,,,,,
72,experience potion,{13=10},{coin1=600},,,,,,,,,,
73,experience potion,{14=10},{coin1=1000},,,,,,,,,,
74,copper powder,{2103=3},{coin1=600},,,,,,,,,,
75,30W gold coins,{514=30},{coin1=1000},,,,,,,,,,
,,,,,,,,,,,,,
80,Orange Ditto Exchange,{29002=50},{coin1=18000},,,,,,,3,1,,
101,image exchange,{2205=1},{coin1=20000},,,,,,,4,1,,
,image exchange,{2231=1},{coin1=20000},,,,,,,4,1,,
