变量名,gateID,_ beizhu,itemMap,count,probability,itemCount
默认值,,,{},1,0,1
掉落ID,关卡ID,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,掉落道具数量
1,10101,( Random drop from common levels in mobile games ) ( Normal 1-01) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
2,10102,( Random drop from normal levels in mobile games ) ( Normal 1-02) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
3,10103,( Normal level of mobile game drops randomly ) ( Normal 1-03) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
4,10104,( Random drop from common levels in mobile games ) ( Normal 1-04) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
5,10105,( Random drop from common levels in mobile games ) ( Normal 1-05) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
6,10201,( Random drop from common levels in mobile games ) ( Normal 2-01) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
7,10202,( Random drop from ordinary levels in mobile games ) ( Normal 2-02) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
8,10203,( Normal level of mobile game drops randomly ) ( Normal 2-03) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
9,10204,( Normal level of mobile game drops randomly ) ( Normal 2-04) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
10,10205,( Normal levels of mobile games drop randomly ) ( Normal 2-05) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
11,10206,( Random drop from normal levels in mobile games ) ( Normal 2-06) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
12,10301,( Random drop from common levels in mobile games ) ( Normal 3-01) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
13,10302,( Random drop from normal levels in mobile games ) ( Normal 3-02) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
14,10303,( Random drop from normal levels in mobile games ) ( Normal 3-03) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
15,10304,( Normal level of mobile game drops randomly ) ( Normal 3-04) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
16,10305,( Random drop from normal levels in mobile games ) ( Normal 3-05) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
17,10306,( Random drop from ordinary levels in mobile games ) ( Normal 3-06) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
18,10307,( Random drop from normal levels in mobile games ) ( Normal 3-07) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
19,10308,( Random drop from normal levels in mobile games ) ( Normal 3-08) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
20,10401,( Random drop from ordinary levels in mobile games ) ( Normal 4-01) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
21,10402,( Normal levels of mobile games drop randomly ) ( Normal 4-02) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
22,10403,( Normal level of mobile game drops randomly ) ( Normal 4-03) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
23,10404,( Normal level of mobile game drops randomly ) ( Normal 4-04) ( Normal level ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
24,10405,( Random drop from normal levels in mobile games ) ( Normal 4-05) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
25,10406,( Random drop from common levels in mobile games ) ( Normal 4-06) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
26,10407,( Random drop from normal levels in mobile games ) ( Normal 4-07) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
27,10408,( Normal levels of mobile games drop randomly ) ( Normal 4-08) ( Normal levels ),{11=42.1053;510=42.1053;5000=15.7895},5,38,
28,10501,( Random drop from normal levels in mobile games ) ( Normal 5-01) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
29,10502,( Random drop from normal levels in mobile games ) ( Normal 5-02) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
30,10503,( Random drop from normal levels in mobile games ) ( Normal 5-03) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
31,10504,( Random drop from normal levels in mobile games ) ( Normal 5-04) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
32,10505,( Random drop from normal levels in mobile games ) ( Normal 5-05) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
33,10506,( Random drop from normal levels in mobile games ) ( Normal 5-06) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
34,10507,( Random drop from common levels in mobile games ) ( Normal 5-07) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
35,10508,( Random drop from normal levels in mobile games ) ( Normal 5-08) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
36,10509,( Random drop from normal levels in mobile games ) ( Normal 5-09) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
37,10510,( Random drop from ordinary levels in mobile games ) ( Normal 5-10) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
38,10601,( Random drop from normal levels in mobile games ) ( Normal 6-01) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
39,10602,( Random drop from normal levels in mobile games ) ( Normal 6-02) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
40,10603,( Random drop from normal levels in mobile games ) ( Normal 6-03) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
41,10604,( Random drop from normal levels in mobile games ) ( Normal 6-04) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
42,10605,( Random drop from normal levels in mobile games ) ( Normal 6-05) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
43,10606,( Random drop from common levels in mobile games ) ( Normal 6-06) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
44,10607,( Random drop from common levels in mobile games ) ( Normal 6-07) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
45,10608,( Random drop from normal levels in mobile games ) ( Normal 6-08) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
46,10609,( Random drop from normal levels in mobile games ) ( Normal 6-09) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
47,10610,( Random drop from ordinary levels in mobile games ) ( Normal 6-10) ( Normal levels ),{11=32;12=8;510=32;511=16;5000=12},5,50,
48,10701,( Random drop from normal levels in mobile games ) ( Normal 7-01) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
49,10702,( Random drop from normal levels in mobile games ) ( Normal 7-02) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
50,10703,( Random drop from normal levels in mobile games ) ( Normal 7-03) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
51,10704,( Random drop from normal levels in mobile games ) ( Normal 7-04) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
52,10705,( Random drop from normal levels in mobile games ) ( Normal 7-05) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
53,10706,( Random drop from normal levels in mobile games ) ( Normal 7-06) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
54,10707,( Random drop from common levels in mobile games ) ( Normal 7-07) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
55,10708,( Random drop from ordinary levels in mobile games ) ( Normal 7-08) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
