变量名,level,fightStart,fightEnd,advanceStart,advanceEnd,starStart,starEnd,skillLevel,hpC,damageC,defenceC
默认值,0,0,0,0,0,0,0,0,1,1,1
序号ID,怪物初始等级,战力上限,战力下限,品级上限,品级下限,星级上限,星级下限,技能等级,血量修正,攻击修正,防御修正
1,3,0,2000,2,3,1,1,1,1.14,1.05,1.14
2,4,2001,2200,2,3,1,1,1,1.14,1.05,1.14
3,5,2201,2420,2,3,1,1,1,1.14,1.05,1.14
4,6,2421,2662,2,3,1,1,1,1.14,1.05,1.14
5,7,2663,2929,2,3,1,1,1,1.14,1.05,1.14
6,8,2930,3222,3,4,1,1,1,1.14,1.05,1.14
7,9,3222,3544,3,4,1,1,1,1.14,1.05,1.14
8,10,3545,4076,3,4,1,2,1,1.14,1.05,1.14
9,11,4077,4687,3,4,1,2,1,1.14,1.05,1.14
10,12,4688,5390,3,4,1,2,1,1.13,1.05,1.13
11,13,5391,6199,3,4,1,2,1,1.11,1.05,1.11
12,14,6200,7129,3,4,1,2,1,1.1,1.05,1.1
13,15,7130,8198,3,4,1,2,1,1.09,1.05,1.09
14,16,8199,9018,4,5,1,2,1,1.07,1.05,1.07
15,17,9019,9920,4,5,1,2,1,1.07,1.05,1.07
16,18,9921,10912,4,5,1,2,1,1.07,1.05,1.07
17,19,10913,12003,4,5,1,2,1,1.07,1.05,1.07
18,20,12004,13203,4,5,2,3,1,1.07,1.05,1.07
19,21,13204,14523,4,5,2,3,1,1.07,1.05,1.07
20,22,14524,15975,5,6,2,3,1,1.07,1.05,1.07
21,23,15976,17573,5,6,2,3,1,1.07,1.05,1.07
22,24,17574,19330,5,6,2,3,1,1.07,1.05,1.07
23,25,19331,21263,5,6,2,3,1,1.07,1.05,1.07
24,26,21264,23390,5,6,2,3,1,1.07,1.05,1.07
25,27,23390,25729,5,6,2,3,1,1.07,1.05,1.07
26,28,25730,28302,6,7,2,3,1,1.07,1.05,1.07
27,29,28302,31132,6,7,2,3,1,1.07,1.05,1.07
28,30,31133,34246,6,7,2,3,1,1.07,1.05,1.07
29,31,34246,37670,6,7,2,3,1,1.07,1.05,1.07
30,32,37671,41438,6,7,2,3,1,1.07,1.05,1.07
31,33,41438,45582,6,7,2,3,1,1.07,1.05,1.07
32,34,45582,50140,6,7,2,3,1,1.07,1.05,1.07
33,35,50141,55154,7,8,3,4,1,1.07,1.05,1.07
34,36,55155,60670,7,8,3,4,1,1.07,1.05,1.07
35,37,60670,66737,7,8,3,4,1,1.07,1.05,1.07
36,38,66738,73410,7,8,3,4,1,1.07,1.05,1.07
37,39,73411,80751,7,8,3,4,1,1.07,1.05,1.07
38,40,80752,88826,8,9,3,4,1,1.07,1.05,1.07
39,41,88827,97709,8,9,3,4,1,1.07,1.05,1.07
40,42,97710,107480,8,9,3,4,1,1.07,1.05,1.07
41,43,107481,118228,8,9,3,4,1,1.07,1.05,1.07
42,44,118229,130051,8,9,3,4,1,1.07,1.05,1.07
43,45,130052,143056,9,10,3,4,1,1.07,1.05,1.07
44,46,143057,157362,9,10,3,4,1,1.07,1.05,1.07
45,47,157362,173098,9,10,3,4,1,1.07,1.05,1.07
46,48,173098,190407,9,10,3,4,1,1.07,1.05,1.07
47,49,190408,209448,9,10,3,4,1,1.07,1.05,1.07
48,50,209449,230393,10,11,4,5,1,1.07,1.05,1.07
49,51,230394,241913,10,11,4,5,1,1.06,1.04,1.06
50,52,241914,254009,10,11,4,5,1,1.06,1.04,1.06
51,53,254010,266710,10,11,4,5,1,1.05,1.03,1.05
52,54,266710,280045,10,11,4,5,1,1.05,1.03,1.05
53,55,280046,294047,11,12,4,5,1,1.04,1.02,1.04
54,56,294048,308750,11,12,4,5,1,1.04,1.02,1.04
55,57,308750,324187,11,12,4,5,1,1.03,1.01,1.03
56,58,324188,340397,11,12,4,5,1,1.03,1.01,1.03
57,59,340398,357417,11,12,4,5,1,1.02,1,1.02
58,60,357418,375288,12,13,4,5,1,1.02,1,1.02
59,61,375289,394053,12,13,4,5,1,1.01,0.99,1.01
60,62,394054,413755,12,13,4,5,1,1.01,0.99,1.01
61,63,413756,434443,12,13,4,5,1,1,0.98,1
62,64,434444,456166,12,13,4,5,1,1,0.98,1
63,65,456166,478974,13,14,4,5,1,0.99,0.97,0.99
64,66,478974,502922,13,14,4,5,1,0.98,0.97,0.98
65,67,502923,528069,13,14,4,5,1,0.98,0.96,0.98
66,68,528070,554472,13,14,4,5,1,0.97,0.96,0.97
67,69,554473,582196,13,14,4,5,1,0.97,0.95,0.97
68,70,582197,611306,14,15,4,5,1,0.96,0.95,0.96
69,71,611306,641871,14,15,4,5,1,0.96,0.94,0.96
70,72,641872,673965,14,15,4,5,1,0.95,0.93,0.95
71,73,673966,707663,14,15,4,5,1,0.95,0.93,0.95
72,74,707664,743046,14,15,4,5,1,0.94,0.92,0.94
73,75,743047,817351,15,16,4,5,1,0.94,0.92,0.94
74,76,817352,899086,15,16,4,5,1,0.93,0.91,0.93
75,77,899087,988995,15,16,4,5,1,0.93,0.91,0.93
76,78,988996,1087894,15,16,4,5,1,0.92,0.9,0.92
77,79,1087895,1196684,15,16,4,5,1,0.91,0.9,0.91
78,80,1196685,1316353,16,17,5,6,1,0.91,0.89,0.91
79,81,1316354,1447988,16,17,5,6,1,0.9,0.89,0.9
80,82,1447989,1592787,16,17,5,6,1,0.9,0.88,0.9
81,83,1592788,1752066,16,17,5,6,1,0.89,0.88,0.89
82,84,1752066,1927272,16,17,5,6,1,0.89,0.87,0.89
83,85,1927273,2119999,17,18,5,6,1,0.88,0.87,0.88
