变量名,levelStart,levelEnd,group,res,boss,monsters,weight,backGround
默认值,1,100,0,"""""",<>,,10,stage/ytly.csv
ID,等级下限（大于等于）,等级上限（小于）,怪物组,卡面资源,boss显示项,怪物IDs(cardsID),随机权重,背景地图
,1,50,1,config/item/icon_0tybs1.png,<191;271>,<1;191;271;261;0;0>,10,
,50,100,1,config/item/icon_0tyls2.png,<1>,<1;191;261;271;0;0>,10,
,,,1,config/item/icon_0tylanse3.png,<1>,<1;271;191;261;0;0>,10,
,,,2,config/item/icon_0tyzs4.png,<1>,<1;271;261;191;0;0>,10,
,,,2,config/item/icon_0tycs5.png,<1>,<1;261;271;191;0;0>,10,
,,,3,config/item/icon_1rg1.png,<1>,<1;261;191;271;0;0>,10,
,,,3,config/item/icon_1schb2.png,<191>,<191;1;271;261;0;0>,10,
,,,4,config/item/icon_1hhps3.png,<191>,<191;1;261;271;0;0>,10,
,,,4,config/item/icon_2jksg1.png,<271>,<271;1;191;261;0;0>,10,
,,,4,config/item/icon_2sgz2.png,<271>,<271;1;261;191;0;0>,10,
,,,,,,,,
,1,50,5,config/item/icon_3zrb1.png,<593>,<593;1442;1171;2231;2071;761>,10,
,25,75,5,config/item/icon_3tfl2.png,<603>,<603;1352;1503;2073;1353;1421>,10,
,50,100,5,config/item/icon_3ttdc3.png,<2071>,<2071;882;801;1291;1891;1071>,10,
,1,100,5,config/item/icon_4jydg1.png,<1>,<1;1393;591;2231;1352;692>,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1001,,,1,config/item/icon_3zrb1.png,<81>,<71;452;3562;111;81;71>,,
1002,,,1,config/item/icon_3zrb1.png,<192>,<62;171;133;71;192;71>,,
1003,,,1,config/item/icon_3zrb1.png,<171>,<31;171;173;451;171;133>,,
1004,,,1,config/item/icon_3zrb1.png,<541>,<62;173;111;451;541;542>,,
1005,,,1,config/item/icon_3zrb1.png,<192>,<133;172;101;351;192;31>,,
1006,,,1,config/item/icon_3zrb1.png,<123>,<41;3561;1351;111;123;452>,,
1007,,,1,config/item/icon_3zrb1.png,<33>,<462;102;131;111;33;81>,,
1008,,,1,config/item/icon_3zrb1.png,<231>,<893;1351;541;3562;231;111>,,
1009,,,1,config/item/icon_3zrb1.png,<132>,<3561;62;122;71;132;133>,,
1010,,,1,config/item/icon_3zrb1.png,<72>,<352;112;111;131;72;541>,,
1011,,,1,config/item/icon_3zrb1.png,<72>,<1352;173;171;231;72;232>,,
1012,,,1,config/item/icon_3zrb1.png,<132>,<541;72;102;112;132;1351>,,
1013,,,1,config/item/icon_3zrb1.png,<111>,<192;31;72;462;111;191>,,
1014,,,1,config/item/icon_3zrb1.png,<452>,<121;231;133;123;452;131>,,
1015,,,1,config/item/icon_3zrb1.png,<132>,<893;61;111;463;132;62>,,
1016,,,1,config/item/icon_3zrb1.png,<132>,<3561;232;542;352;132;173>,,
1017,,,1,config/item/icon_3zrb1.png,<113>,<122;892;3562;232;113;2891>,,
1018,,,1,config/item/icon_3zrb1.png,<71>,<231;132;113;123;71;131>,,
1019,,,1,config/item/icon_3zrb1.png,<61>,<893;462;172;463;61;131>,,
1020,,,1,config/item/icon_3zrb1.png,<171>,<111;541;71;62;171;192>,,
1021,,,1,config/item/icon_3zrb1.png,<191>,<101;171;112;463;191;232>,,
1022,,,1,config/item/icon_3zrb1.png,<82>,<62;232;892;81;82;351>,,
1023,,,1,config/item/icon_3zrb1.png,<121>,<1353;893;71;112;121;231>,,
1024,,,1,config/item/icon_3zrb1.png,<172>,<132;62;101;452;172;82>,,
1025,,,1,config/item/icon_3zrb1.png,<192>,<113;3562;132;123;192;891>,,
1026,,,1,config/item/icon_3zrb1.png,<112>,<121;111;102;62;112;1352>,,
1027,,,1,config/item/icon_3zrb1.png,<71>,<452;81;121;462;71;31>,,
1028,,,1,config/item/icon_3zrb1.png,<81>,<133;71;1352;452;81;892>,,
1029,,,1,config/item/icon_3zrb1.png,<3562>,<81;451;2891;3562;3562;61>,,
1030,,,1,config/item/icon_3zrb1.png,<122>,<231;33;121;172;122;462>,,
1031,,,1,config/item/icon_3zrb1.png,<132>,<192;232;72;172;132;462>,,
1032,,,1,config/item/icon_3zrb1.png,<542>,<232;541;112;71;542;452>,,
1033,,,1,config/item/icon_3zrb1.png,<463>,<122;123;1352;2891;463;33>,,
1034,,,1,config/item/icon_3zrb1.png,<122>,<33;542;122;123;122;133>,,
1035,,,1,config/item/icon_3zrb1.png,<172>,<113;62;123;33;172;463>,,
1036,,,1,config/item/icon_3zrb1.png,<462>,<123;111;3561;352;462;1351>,,
1037,,,1,config/item/icon_3zrb1.png,<102>,<61;121;542;111;102;72>,,
1038,,,1,config/item/icon_3zrb1.png,<72>,<451;2891;451;451;72;173>,,
1039,,,1,config/item/icon_3zrb1.png,<1351>,<41;41;132;892;1351;101>,,
1040,,,1,config/item/icon_3zrb1.png,<173>,<2891;3561;463;462;173;33>,,
1041,,,1,config/item/icon_3zrb1.png,<462>,<133;2891;451;451;462;62>,,
1042,,,1,config/item/icon_3zrb1.png,<82>,<172;31;123;352;82;61>,,
1043,,,1,config/item/icon_3zrb1.png,<2891>,<122;1352;31;112;2891;891>,,
1044,,,1,config/item/icon_3zrb1.png,<101>,<893;71;41;462;101;132>,,
1045,,,1,config/item/icon_3zrb1.png,<41>,<541;132;172;231;41;102>,,
1046,,,1,config/item/icon_3zrb1.png,<891>,<31;123;171;192;891;2891>,,
1047,,,1,config/item/icon_3zrb1.png,<231>,<462;132;132;463;231;352>,,
1048,,,1,config/item/icon_3zrb1.png,<893>,<542;191;102;231;893;893>,,
1049,,,1,config/item/icon_3zrb1.png,<82>,<72;231;102;1351;82;132>,,
1050,,,1,config/item/icon_3zrb1.png,<123>,<82;452;72;81;123;452>,,
1051,,,1,config/item/icon_3zrb1.png,<3561>,<463;192;82;1353;3561;542>,,
1052,,,1,config/item/icon_3zrb1.png,<3561>,<892;172;3561;352;3561;121>,,
1053,,,1,config/item/icon_3zrb1.png,<173>,<231;61;462;123;173;463>,,
1054,,,1,config/item/icon_3zrb1.png,<122>,<81;891;893;2891;122;1351>,,
1055,,,1,config/item/icon_3zrb1.png,<542>,<81;61;231;451;542;113>,,
1056,,,1,config/item/icon_3zrb1.png,<1351>,<132;113;1352;62;1351;62>,,
1057,,,1,config/item/icon_3zrb1.png,<2891>,<121;463;123;463;2891;893>,,
1058,,,1,config/item/icon_3zrb1.png,<3562>,<232;133;3562;1353;3562;72>,,
1059,,,1,config/item/icon_3zrb1.png,<133>,<892;1353;192;231;133;463>,,
1060,,,1,config/item/icon_3zrb1.png,<232>,<123;1351;171;82;232;71>,,
1061,,,1,config/item/icon_3zrb1.png,<122>,<122;31;171;2891;122;101>,,
1062,,,1,config/item/icon_3zrb1.png,<352>,<3561;171;71;41;352;71>,,
1063,,,1,config/item/icon_3zrb1.png,<82>,<172;82;892;132;82;192>,,
1064,,,1,config/item/icon_3zrb1.png,<1353>,<132;541;133;82;1353;101>,,
1065,,,1,config/item/icon_3zrb1.png,<132>,<351;893;122;82;132;352>,,
1066,,,1,config/item/icon_3zrb1.png,<462>,<1351;462;232;41;462;72>,,
1067,,,1,config/item/icon_3zrb1.png,<2891>,<893;3561;893;112;2891;891>,,
1068,,,1,config/item/icon_3zrb1.png,<121>,<132;31;173;72;121;131>,,
1069,,,1,config/item/icon_3zrb1.png,<1351>,<1351;101;31;173;1351;72>,,
1070,,,1,config/item/icon_3zrb1.png,<61>,<131;452;1352;33;61;541>,,
1071,,,1,config/item/icon_3zrb1.png,<462>,<133;111;1352;132;462;171>,,
1072,,,1,config/item/icon_3zrb1.png,<452>,<452;351;2891;3561;452;61>,,
1073,,,1,config/item/icon_3zrb1.png,<2891>,<542;113;1351;41;2891;111>,,
1074,,,1,config/item/icon_3zrb1.png,<123>,<121;3561;232;122;123;2891>,,
1075,,,1,config/item/icon_3zrb1.png,<41>,<171;231;111;1353;41;82>,,
1076,,,1,config/item/icon_3zrb1.png,<131>,<62;82;82;451;131;113>,,
1077,,,1,config/item/icon_3zrb1.png,<1351>,<101;33;2891;231;1351;132>,,
1078,,,1,config/item/icon_3zrb1.png,<1352>,<41;351;41;2891;1352;112>,,
1079,,,1,config/item/icon_3zrb1.png,<132>,<101;452;71;101;132;192>,,
1080,,,1,config/item/icon_3zrb1.png,<171>,<31;352;121;1353;171;72>,,
1081,,,1,config/item/icon_3zrb1.png,<1353>,<1351;352;231;542;1353;3562>,,
1082,,,1,config/item/icon_3zrb1.png,<41>,<892;1351;113;72;41;101>,,
1083,,,1,config/item/icon_3zrb1.png,<113>,<462;3562;101;892;113;71>,,
1084,,,1,config/item/icon_3zrb1.png,<352>,<231;101;111;462;352;112>,,
1085,,,1,config/item/icon_3zrb1.png,<31>,<173;62;352;131;31;892>,,
1086,,,1,config/item/icon_3zrb1.png,<451>,<3562;191;62;123;451;123>,,
1087,,,1,config/item/icon_3zrb1.png,<1353>,<541;462;173;123;1353;113>,,
1088,,,1,config/item/icon_3zrb1.png,<123>,<893;82;171;31;123;81>,,
1089,,,1,config/item/icon_3zrb1.png,<41>,<891;351;123;451;41;451>,,
1090,,,1,config/item/icon_3zrb1.png,<61>,<352;462;173;191;61;3562>,,
1091,,,1,config/item/icon_3zrb1.png,<352>,<463;893;463;232;352;62>,,
1092,,,1,config/item/icon_3zrb1.png,<463>,<101;541;123;3561;463;71>,,
1093,,,1,config/item/icon_3zrb1.png,<231>,<451;351;1351;72;231;112>,,
1094,,,1,config/item/icon_3zrb1.png,<112>,<462;191;31;232;112;31>,,
1095,,,1,config/item/icon_3zrb1.png,<111>,<72;113;101;3562;111;451>,,
1096,,,1,config/item/icon_3zrb1.png,<121>,<112;71;451;191;121;1353>,,
1097,,,1,config/item/icon_3zrb1.png,<61>,<1351;452;133;121;61;72>,,
1098,,,1,config/item/icon_3zrb1.png,<101>,<132;891;192;82;101;232>,,
1099,,,1,config/item/icon_3zrb1.png,<123>,<133;352;892;101;123;82>,,
1100,,,1,config/item/icon_3zrb1.png,<462>,<893;173;62;62;462;101>,,
1101,,,1,config/item/icon_3zrb1.png,<541>,<172;541;31;102;541;891>,,
1102,,,1,config/item/icon_3zrb1.png,<71>,<1351;542;171;113;71;891>,,
1103,,,1,config/item/icon_3zrb1.png,<1351>,<352;121;82;31;1351;102>,,
1104,,,1,config/item/icon_3zrb1.png,<3562>,<131;192;122;1351;3562;72>,,
1105,,,1,config/item/icon_3zrb1.png,<82>,<112;3562;893;41;82;1352>,,
1106,,,1,config/item/icon_3zrb1.png,<81>,<31;81;463;192;81;121>,,
1107,,,1,config/item/icon_3zrb1.png,<111>,<132;3561;3562;132;111;542>,,
1108,,,1,config/item/icon_3zrb1.png,<462>,<451;72;541;1352;462;102>,,
1109,,,1,config/item/icon_3zrb1.png,<351>,<352;132;232;451;351;541>,,
1110,,,1,config/item/icon_3zrb1.png,<2891>,<112;111;542;101;2891;171>,,
1111,,,1,config/item/icon_3zrb1.png,<122>,<113;122;891;2891;122;172>,,
1112,,,1,config/item/icon_3zrb1.png,<101>,<232;133;81;891;101;61>,,
1113,,,1,config/item/icon_3zrb1.png,<2891>,<893;3561;231;122;2891;81>,,
1114,,,1,config/item/icon_3zrb1.png,<31>,<2891;1353;2891;172;31;1351>,,
1115,,,1,config/item/icon_3zrb1.png,<542>,<191;231;171;541;542;1352>,,
1116,,,1,config/item/icon_3zrb1.png,<1352>,<172;112;71;72;1352;133>,,
1117,,,1,config/item/icon_3zrb1.png,<113>,<81;232;131;172;113;112>,,
1118,,,1,config/item/icon_3zrb1.png,<112>,<463;172;122;192;112;231>,,
1119,,,1,config/item/icon_3zrb1.png,<462>,<71;171;111;113;462;172>,,
1120,,,1,config/item/icon_3zrb1.png,<1351>,<171;893;62;82;1351;893>,,
1121,,,2,config/item/icon_3tfl2.png,<2>,<492;2611;692;11;2;3431>,,
1122,,,2,config/item/icon_3tfl2.png,<3432>,<3432;3411;2071;2611;3432;3431>,,
1123,,,2,config/item/icon_3tfl2.png,<1>,<3413;22;801;3021;1;21>,,
1124,,,2,config/item/icon_3tfl2.png,<2592>,<2272;52;51;282;2592;1863>,,
1125,,,2,config/item/icon_3tfl2.png,<1841>,<372;1172;2011;1861;1841;3>,,
1126,,,2,config/item/icon_3tfl2.png,<12>,<691;3412;2873;2683;12;472>,,
1127,,,2,config/item/icon_3tfl2.png,<1171>,<801;271;3;2071;1171;491>,,
1128,,,2,config/item/icon_3tfl2.png,<3292>,<2924;3;3021;282;3292;3281>,,
1129,,,2,config/item/icon_3tfl2.png,<3502>,<3;273;2633;2012;3502;21>,,
1130,,,2,config/item/icon_3tfl2.png,<3471>,<2682;3342;3282;1863;3471;3413>,,
1131,,,2,config/item/icon_3tfl2.png,<23>,<692;302;3341;1861;23;3342>,,
1132,,,2,config/item/icon_3tfl2.png,<2>,<2632;2073;2962;491;2;2591>,,
1133,,,2,config/item/icon_3tfl2.png,<2681>,<2013;53;1171;271;2681;2873>,,
1134,,,2,config/item/icon_3tfl2.png,<2632>,<52;464;3342;3511;2632;3283>,,
1135,,,2,config/item/icon_3tfl2.png,<1443>,<3282;2681;283;464;1443;3291>,,
