变量名,range,periodAward,version
默认值,,{},0
ID,区间,排位奖励,奖励版本
1,<1;2>,{coin2=600;4000=60;gold=80000},
2,<2;3>,{coin2=540;4000=55;gold=74000},
3,<3;4>,{coin2=520;4000=50;gold=71000},
4,<4;5>,{coin2=500;4000=50;gold=68000},
5,<5;6>,{coin2=480;4000=45;gold=65000},
6,<6;7>,{coin2=460;4000=45;gold=62000},
7,<7;8>,{coin2=440;4000=45;gold=59000},
8,<8;9>,{coin2=420;4000=40;gold=56000},
9,<9;10>,{coin2=400;4000=40;gold=53000},
10,<10;11>,{coin2=380;4000=40;gold=50000},
11,<11;21>,{coin2=360;4000=35;gold=47000},
12,<21;31>,{coin2=350;4000=35;gold=44000},
13,<31;41>,{coin2=340;4000=35;gold=41000},
14,<41;51>,{coin2=330;4000=35;gold=38000},
15,<51;61>,{coin2=320;4000=35;gold=35000},
16,<61;81>,{coin2=310;4000=30;gold=32000},
17,<81;101>,{coin2=300;4000=30;gold=30000},
18,<101;301>,{coin2=290;4000=30;gold=28000},
19,<301;9999999>,{coin2=280;4000=30;gold=26000},
,,,
101,<1;2>,{coin2=700;4000=70;gold=120000},101
102,<2;3>,{coin2=640;4000=65;gold=114000},101
103,<3;4>,{coin2=620;4000=60;gold=111000},101
104,<4;5>,{coin2=600;4000=60;gold=108000},101
105,<5;6>,{coin2=580;4000=55;gold=105000},101
106,<6;7>,{coin2=560;4000=55;gold=102000},101
107,<7;8>,{coin2=540;4000=55;gold=99000},101
108,<8;9>,{coin2=520;4000=50;gold=96000},101
109,<9;10>,{coin2=500;4000=50;gold=93000},101
110,<10;11>,{coin2=480;4000=50;gold=90000},101
111,<11;21>,{coin2=460;4000=45;gold=87000},101
112,<21;31>,{coin2=450;4000=45;gold=84000},101
113,<31;41>,{coin2=440;4000=45;gold=81000},101
114,<41;51>,{coin2=430;4000=45;gold=78000},101
115,<51;61>,{coin2=420;4000=45;gold=75000},101
116,<61;81>,{coin2=410;4000=40;gold=72000},101
117,<81;101>,{coin2=400;4000=40;gold=70000},101
118,<101;301>,{coin2=390;4000=40;gold=68000},101
119,<301;9999999>,{coin2=380;4000=40;gold=66000},101
