变量名,floor,boards,limit1,limit2,limit3,canPass,lowestFight,fightC,pointC,markType1,markBoards1,boardGroups1,markType2,markBoards2,boardGroups2,markType3,markBoards3,boardGroups3
默认值,0,{},99,99,99,0,<>,<>,<>,0,0,<>,0,0,<>,0,0,<>
房间ID,所属层,可选卡面数量{数量=权值},组1上限,组2上限,组3上限,可碾压X房间以下战斗（包含）,怪物最低战力 <简单;普通;困难;霸主>,怪物战力修正系数 <简单;普通;困难;霸主>,怪物挑战积分修正 <简单;普通;困难;霸主>,跳过房间类型1（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,标记boardID1（非buff),标记boardID组1(buff）,跳过房间类型2（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,标记boardID2（非buff),标记boardID组2(buff）,跳过房间类型3（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,标记boardID3（非buff),标记boardID组3(buff）
1,1,,,,,0,<0;0;0;0>,<0.2338;0.2558;0.2805;0.2805>,<1;1.4;2;3>,,,,,,,,,
2,1,{4=50},,,,1,<0;0;0;0>,<0.2338;0.2558;0.2805;0.2805>,<1;1.4;2;3>,2,,<1;2;3;10003>,2,,<1;2;3;10003>,2,,<1;2;3;10003>
3,1,{3=50;4=200},,,,2,<8120;8120;8120;8120>,<0.272;0.2976;0.3264;0.3264>,<1.05;1.47;2.1;3.15>,1,5,,1,5,,1,5,
4,1,{3=50;4=200},,,,2,<8120;8120;8120;8120>,<0.272;0.2976;0.3264;0.3264>,<1.05;1.47;2.1;3.15>,1,17,,2,,<10;12>,3,16,
5,1,{4=200},,,,3,<9974;9974;9974;9974>,<0.3103;0.3395;0.3723;0.3723>,<1.1;1.54;2.2;3.3>,3,26,,1,27,,1,27,
6,1,{3=50;4=200},,,,4,<9974;9974;9974;9974>,<0.3485;0.3813;0.4182;0.4182>,<1.1;1.54;2.2;3.3>,2,,<30;32;10030>,3,35,,2,,<30;32;10032>
7,1,{3=50;4=200},,,,4,<11828;11828;11828;11828>,<0.5015;0.5487;0.6018;0.6018>,<1.15;1.61;2.3;3.45>,4,45,,4,45,,4,45,
8,1,{2=100},,,,5,<13682;13682;13682;13682>,<0.5015;0.5487;0.6018;0.6018>,<1.3;1.82;2.6;3.9>,1,46,,1,46,,1,46,
9,1,{1=100},,,,6,<13682;13682;13682;13682>,<0.5015;0.5487;0.6018;0.6018>,<1.3;1.82;2.6;3.9>,3,48,,3,48,,3,48,
10,2,,,,,7,<15536;15536;15536;15536>,<0.3825;0.4185;0.459;0.459>,<1.4;1.96;2.8;4.2>,,,,,,,,,
11,2,{3=50},,,,7,<15536;15536;15536;15536>,<0.3825;0.4185;0.459;0.459>,<1.4;1.96;2.8;4.2>,2,,<50;51;52;10052>,2,,<50;51;52;10052>,2,,<50;51;52;10052>
12,2,{3=50;4=200},,,,8,<15536;15536;15536;15536>,<0.3825;0.4185;0.459;0.459>,<1.4;1.96;2.8;4.2>,1,54,,1,54,,1,54,
13,2,{3=50;4=200},,,,9,<17390;17390;17390;17390>,<0.4335;0.4743;0.5202;0.5202>,<1.45;2.03;2.9;4.35>,2,,<59;10059;61>,3,67,,1,67,
14,2,{3=50;4=200},,,,9,<17390;17390;17390;17390>,<0.4335;0.4743;0.5202;0.5202>,<1.45;2.03;2.9;4.35>,3,75,,2,,<69;10069;10071>,1,76,
15,2,{3=50;4=200},,,,11,<19244;19244;19244;19244>,<0.4845;0.5301;0.5814;0.5814>,<1.5;2.1;3;4.5>,2,,<79;10079;82>,2,,<79;10080;82>,2,,<79;10079;10081>
16,2,{3=50;4=200},,,,11,<19244;19244;19244;19244>,<0.4845;0.5301;0.5814;0.5814>,<1.5;2.1;3;4.5>,4,93,,4,94,,4,93,
17,2,{3=50;4=200},,,,11,<21098;21098;21098;21098>,<0.5355;0.5859;0.6426;0.6426>,<1.55;2.17;3.1;4.65>,1,104,,1,103,,1,103,
18,2,{3=50;4=200},,,,12,<21098;21098;21098;21098>,<0.6375;0.6975;0.765;0.765>,<1.55;2.17;3.1;4.65>,4,110,,4,110,,2,,<106;107;109>
19,2,{2=100},,,,13,<22952;22952;22952;22952>,<0.6375;0.6975;0.765;0.765>,<1.7;2.38;3.4;5.1>,1,111,,1,111,,1,111,
20,2,{1=100},,,,14,<22952;22952;22952;22952>,<0.6375;0.6975;0.765;0.765>,<1.7;2.38;3.4;5.1>,3,113,,3,113,,3,113,
21,3,,,,,14,<24806;24806;24806;24806>,<0.5355;0.5859;0.6426;0.6426>,<1.8;2.52;3.6;5.4>,,,,,,,,,
22,3,{3=50;4=200},,,,15,<24806;24806;24806;24806>,<0.5355;0.5859;0.6426;0.6426>,<1.8;2.52;3.6;5.4>,2,,<115;116;10117>,2,,<115;116;117;10117>,2,,<115;116;117;10117>
23,3,{3=50;4=200},,,,16,<24806;24806;24806;24806>,<0.5355;0.5859;0.6426;0.6426>,<1.8;2.52;3.6;5.4>,1,119,,1,119,,1,119,
24,3,{3=50;4=200},,,,16,<26660;26660;26660;26660>,<0.612;0.6696;0.7344;0.7344>,<1.85;2.59;3.7;5.55>,1,131,,2,,<124;10124;126>,4,128,
25,3,{3=50;4=200},,,,17,<26660;26660;26660;26660>,<0.612;0.6696;0.7344;0.7344>,<1.85;2.59;3.7;5.55>,2,,<134;136>,1,141,,2,,<134;136;137>
26,3,{3=50;4=200},,,,18,<28514;28514;28514;28514>,<0.6885;0.7533;0.8262;0.8262>,<1.9;2.66;3.8;5.7>,1,151,,1,152,,3,150,
27,3,{3=50;4=200},,,,18,<28514;28514;28514;28514>,<0.6885;0.7533;0.8262;0.8262>,<1.9;2.66;3.8;5.7>,3,160,,3,160,,33,160,
28,3,{3=50;4=200},,,,19,<30368;30368;30368;30368>,<0.765;0.837;0.918;0.918>,<1.95;2.73;3.9;5.85>,1,169,,1,169,,1,169,
29,3,{3=50;4=200},,,,20,<30368;30368;30368;30368>,<0.918;1.0044;1.1016;1.1016>,<1.95;2.73;3.9;5.85>,2,,<171;172;174>,4,175,,2,,<172;173;174>
30,3,{2=100},,,,22,<32222;32222;32222;32222>,<0.918;1.0044;1.1016;1.1016>,<2.1;2.94;4.2;6.3>,1,176,,1,176,,1,176,
31,3,{1=100},,,,22,<32222;32222;32222;32222>,<0.918;1.0044;1.1016;1.1016>,<2.1;2.94;4.2;6.3>,3,178,,3,178,,3,178,
32,4,,,,,22,<34076;34076;34076;34076>,<0.8075;0.8835;0.969;0.969>,<2.2;3.08;4.4;6.6>,,,,,,,,,
33,4,{3=50},,,,23,<34076;34076;34076;34076>,<0.8075;0.8835;0.969;0.969>,<2.2;3.08;4.4;6.6>,2,,<180;181;182;10182>,2,,<180;181;182;10182>,2,,<180;181;182;10182>
34,4,{3=50;4=200},,,,23,<34076;34076;34076;34076>,<0.8075;0.8835;0.969;0.969>,<2.2;3.08;4.4;6.6>,1,188,,1,188,,1,188,
35,4,{3=50;4=200},,,,24,<35930;35930;35930;35930>,<0.8585;0.9393;1.0302;1.0302>,<2.25;3.15;4.5;6.75>,4,193,,4,193,,4,193,
36,4,{3=50;4=200},,,,25,<35930;35930;35930;35930>,<0.8585;0.9393;1.0302;1.0302>,<2.25;3.15;4.5;6.75>,4,203,,2,,<199;10199;10201>,2,,<199;201;10201>
37,4,{3=50;4=200},,,,25,<37784;37784;37784;37784>,<0.9095;0.9951;1.0914;1.0914>,<2.3;3.22;4.6;6.9>,2,,<209;10209;212>,1,216,,2,,<209;10209;211>
38,4,{3=50;4=200},,,,26,<37784;37784;37784;37784>,<0.9095;0.9951;1.0914;1.0914>,<2.3;3.22;4.6;6.9>,4,224,,4,223,,1,228,
39,4,{3=50;4=200},,,,27,<39638;39638;39638;39638>,<0.9605;1.0509;1.1526;1.1526>,<2.35;3.29;4.7;7.05>,1,234,,1,234,,1,234,
40,4,{3=50;4=200},,,,28,<39638;39638;39638;39638>,<1.0625;1.1625;1.275;1.275>,<2.35;3.29;4.7;7.05>,4,240,,2,,<236;238;239>,2,,<236;238;239>
41,4,{2=100},,,,28,<41492;41492;41492;41492>,<1.0625;1.1625;1.275;1.275>,<2.5;3.5;5;7.5>,1,241,,1,241,,1,241,
42,4,{1=100},,,,29,<41492;41492;41492;41492>,<1.0625;1.1625;1.275;1.275>,<2.5;3.5;5;7.5>,3,243,,3,243,,3,243,
43,5,,,,,30,<43346;43346;43346;43346>,<0.9959;1.0896;1.195;1.195>,<2.6;3.64;5.2;7.8>,,,,,,,,,
