"﻿变量名",icon,name,name_tw,name_en,name_vn,name_kr,type,param,validRechargeHuodong,rmbDisplay,rmbDisplay_tw,rmbDisplay_en,rmbDisplay_vn,rmbDisplay_kr,rmb,rmb_en,rmb_tw,rmb_kr,firstPresent,firstDesc,firstDesc_tw,firstDesc_en,firstDesc_vn,firstDesc_kr,present,desc,desc_tw,desc_en,desc_kr,recommend,sortValue,languages
"默认值",“”,,,,,"""""",1,{},TRUE,"""""","""""","""""","""""","""""",0,0,0,0,0,,,,,,0,,,,"""""",0,0,<cn>
"充值项ID",充值项图标,充值项名称,充值項名稱,充值项名称,充值项名称,充值项名称,类型（1一次性，2持续性，3礼包）,特殊参数,是否激活充值类活动,消耗RMB,消耗RMB,消耗美元,消耗美元,消耗韩元,基础钻石,基础钻石,基础钻石,基础钻石,首次购买赠送,首次购买描述,首次購買描述,首次购买描述,首次购买描述,首次购买描述,普通购买赠送,普通购买描述,普通購買描述,普通购买描述,普通购买描述_韩,是否推荐,排序优先级（越大越前，未首冲+100）,语言区域
"1",,Monthly Pass (250 Diamond),300鑽石月卡包,Monthly Pass (250 Diamond),Monthly Pass (250 Diamond),포켓몬 월정액,2,{days=30},,"""4.99""","""4.99""","""4.99""","""4.99""","""7000""",300,340,300,300,0,连续30天每天领取100钻,連續30天每天領取100鑽,Daily free claim 100 Diamond for 30 days,Daily free claim 100 Diamond for 30 days,,0,连续30天每天领取100钻,連續30天每天領取100鑽,Daily free claim 100 Diamond for 30 days,연속 30일간 매일 100다이아 수령 가능,1,,<cn;tw;en;vn;th;kr>
"2",,Permanent Card (880 Diamond),880鑽石月卡包,Permanent Card (880 Diamond),Permanent Card (880 Diamond),마스터 월정액,2,{days=30},,"""12.99""","""12.99""","""12.99""","""12.99""","""17000""",880,880,880,880,0,连续30天每天领取150钻,連續30天每天領取150鑽,Daily free claim 100 Diamond Permanently,Daily free claim 100 Diamond Permanently,,0,连续30天每天领取150钻,連續30天每天領取150鑽,Daily free claim 100 Diamond Permanently,연속 30일간 매일 150다이아 수령 가능,1,,<cn;tw;en;vn;th;kr>
"3",city/recharge/icon_cz_7@.png,6480 Diamond,6480鑽石,6480 Diamond,6480 Diamond,,,,,"""99.99""","""99.99""","""99.99""","""99.99""",,6480,6480,6480,6480,6480,另赠6480钻(仅首次),另贈6480鑽(僅首次),Extra 6480 Diamond (1st Recharge only),Extra 6480 Diamond (1st Recharge only),,0,,,,,1,9,
"4",city/recharge/icon_cz_6@.png,3280 Diamond,3280鑽石,3280 Diamond,3280 Diamond,,,,,"""49.99""","""48.99""","""49.99""","""48.99""",,3280,3280,3280,3280,3280,另赠3280钻(仅首次),另贈3280鑽(僅首次),Extra 3280 Diamond (1st Recharge only),Extra 3280 Diamond (1st Recharge only),,0,,,,,1,8,
"5",city/recharge/icon_cz_5@.png,1980 Diamond,1980鑽石,1980 Diamond,1980 Diamond,,,,,"""29.99""","""28.99""","""29.99""","""28.99""",,1980,1980,1980,1980,1980,另赠1980钻(仅首次),另贈1980鑽(僅首次),Extra 1980 Diamond (1st Recharge only),Extra 1980 Diamond (1st Recharge only),,0,,,,,1,7,
"6",city/recharge/icon_cz_4@.png,980 Diamond,980鑽石,980 Diamond,980 Diamond,,,,,"""14.99""","""14.99""","""14.99""","""14.99""",,980,980,980,980,980,另赠980钻(仅首次),另贈980鑽(僅首次),Extra 980 Diamond (1st Recharge only),Extra 980 Diamond (1st Recharge only),,0,,,,,0,6,
"7",city/recharge/icon_cz_3@.png,600 Diamond,600鑽石,600 Diamond,600 Diamond,,,,,"""8.99""","""9.99""","""8.99""","""9.99""",,600,600,600,600,600,另赠600钻(仅首次),另贈600鑽(僅首次),Extra 600 Diamond (1st Recharge only),Extra 600 Diamond (1st Recharge only),,0,,,,,0,5,
"8",city/recharge/icon_cz_2@.png,300 Diamond,300鑽石,300 Diamond,300 Diamond,,,,,"""4.99""","""4.99""","""4.99""","""4.99""",,300,300,300,300,300,另赠300钻(仅首次),另贈300鑽(僅首次),Extra 300 Diamond (1st Recharge only),Extra 300 Diamond (1st Recharge only),,0,,,,,0,4,
"9",city/recharge/icon_cz_1@.png,60 Diamond,60鑽石,60 Diamond,60 Diamond,,,,,"""0.99""","""0.99""","""0.99""","""0.99""",,60,60,60,60,60,,,,,,0,,,,,0,3,
,,10钻石,10鑽石,10钻石,10钻石,,,,,1,1,1,1,,10,10,10,10,,,,,,,,,,,,,,
,,1钻石1角测试,1鑽石1角測試,1钻石1角测试,1钻石1角测试,,,,,0.1,0.1,0.1,0.1,,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101",,Direct purchase box 1,直購禮包,Direct purchase box 1,,패키지,3,,,"""0.33""","""0.33""","""0.33""","""0.33""",,10,,,,0,,,,,,,,,,,,,<cn>
"102",,Direct purchase box 6,直購禮包,Direct purchase box 6,,패키지,3,,,"""0.99""","""0.99""","""0.99""","""0.99""","""1300""",60,66,66,66,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"103",,Direct purchase box 12,直購禮包,Direct purchase box 12,,패키지,3,,,"""1.99""","""1.99""","""1.99""","""1.99""","""2800""",120,140,140,140,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"104",,Direct purchase box 18,直購禮包,Direct purchase box 18,,패키지,3,,,"""2.99""","""2.99""","""2.99""","""2.99""","""4000""",180,200,200,200,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"105",,Direct purchase box 25,直購禮包,Direct purchase box 25,,패키지,3,,,"""3.99""","""3.99""","""3.99""","""3.99""","""5300""",250,260,260,260,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"106",,Direct purchase box 30,直購禮包,Direct purchase box 30,,패키지,3,,,"""4.99""","""4.99""","""4.99""","""4.99""","""7000""",300,340,340,340,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"107",,Direct purchase box 60,直購禮包,Direct purchase box 60,,패키지,3,,,"""8.99""","""8.99""","""8.99""","""8.99""","""12000""",600,580,580,580,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"108",,Direct purchase box 98,直購禮包,Direct purchase box 98,,패키지,3,,,"""14.99""","""14.99""","""14.99""","""14.99""","""20000""",980,980,980,980,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"109",,Direct purchase box 128,直購禮包,Direct purchase box 128,,패키지,3,,,"""19.99""","""19.99""","""19.99""","""19.99""","""26000""",1280,1340,1340,1340,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"110",,Direct purchase box 168,直購禮包,Direct purchase box 168,,패키지,3,,,"""25.99""","""25.99""","""25.99""","""25.99""","""34000""",1680,1740,1740,1740,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"111",,Direct purchase box 198,直購禮包,Direct purchase box 198,,패키지,3,,,"""29.99""","""29.99""","""29.99""","""29.99""","""40000""",1980,1980,1980,1980,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"112",,Direct purchase box 328,直購禮包,Direct purchase box 328,,패키지,3,,,"""49.99""","""49.99""","""49.99""","""49.99""","""70000""",3280,3380,3380,3380,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
"113",,Direct purchase box 648,直購禮包,Direct purchase box 648,,패키지,3,,,"""99.99""","""99.99""","""99.99""","""99.99""","""130000""",6480,6580,6580,6580,0,,,,,,,,,,,,,<cn;tw;en;vn;th;kr>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300 Diamond monthly card,300鑽石月卡,,,,2,{days=30},,"""4.99""","""4.99""",,,,340,340,340,340,0,,連續30天每天領取100鑽,,,,0,,連續30天每天領取100鑽,,,1,,<tw>
,,880 diamond monthly card,880鑽石月卡,,,,2,{days=30},,"""14.99""","""14.99""",,,,980,980,980,980,0,,運營期間每天領取100鑽,,,,0,,運營期間每天領取100鑽,,,1,,<tw>
,city/recharge/icon_cz_6.png,6580 Diamond,6580鑽石,,,,,,,"""99.99""","""99.99""",,,,6580,6580,6580,6580,6580,,另贈6580鑽石(僅首次),,,,0,,,,,1,9,<tw>
,city/recharge/icon_cz_5.png,3380 Diamond,3380鑽石,,,,,,,"""49.99""","""49.99""",,,,3380,3380,3380,3380,3380,,另贈3380鑽石(僅首次),,,,0,,,,,1,8,<tw>
,city/recharge/icon_cz_4.png,1980 Diamond,1980鑽石,,,,,,,"""29.99""","""29.99""",,,,1980,1980,1980,1980,1980,,另贈1980鑽石(僅首次),,,,0,,,,,1,7,<tw>
,city/recharge/icon_cz_3.png,980 Diamond,980鑽石,,,,,,,"""14.99""","""14.99""",,,,980,980,980,980,980,,另贈980鑽石(僅首次),,,,0,,,,,0,6,<tw>
,city/recharge/icon_cz_2.png,860 Diamond,860鑽石,,,,,,,"""12.99""","""12.99""",,,,580,580,580,580,580,,另贈580鑽石(僅首次),,,,0,,,,,0,5,<tw>
,city/recharge/icon_cz_1.png,340 Diamond,340鑽石,,,,,,,"""4.99""","""4.99""",,,,340,340,340,340,340,,另贈340鑽石(僅首次),,,,0,,,,,0,4,<tw>
,city/recharge/icon_cz_1.png,66 Diamond,66鑽石,,,,,,,"""0.99""","""0.99""",,,,66,66,66,66,66,,另贈66鑽石(僅首次),,,,0,,,,,0,3,<tw>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1101",city/recharge/icon_cz_1@.png,66 Diamond,66鑽石,,,,,,,"""0.99""","""0.99""",,,,66,66,66,66,66,,另贈66鑽石(僅首次),,,,0,,,,,0,1,<tw>
"1102",city/recharge/icon_cz_1@.png,140 Diamond,140鑽石,,,,,,,"""1.99""","""1.99""",,,,140,140,140,140,140,,另贈140鑽石(僅首次),,,,0,,,,,0,2,<tw>
"1103",city/recharge/icon_cz_2@.png,200 Diamond,200鑽石,,,,,,,"""2.99""","""2.99""",,,,200,200,200,200,200,,另贈200鑽石(僅首次),,,,0,,,,,0,3,<tw>
"1104",city/recharge/icon_cz_2@.png,260 Diamond,260鑽石,,,,,,,"""3.99""","""3.99""",,,,260,260,260,260,260,,另贈260鑽石(僅首次),,,,0,,,,,0,4,<tw>
"1105",city/recharge/icon_cz_3@.png,340 Diamond,340鑽石,,,,,,,"""4.99""","""4.99""",,,,340,340,340,340,340,,另贈340鑽石(僅首次),,,,0,,,,,0,5,<tw>
"1106",city/recharge/icon_cz_3@.png,580 Diamond,580鑽石,,,,,,,"""8.99""","""8.99""",,,,580,580,580,580,580,,另贈580鑽石(僅首次),,,,0,,,,,0,6,<tw>
"1107",city/recharge/icon_cz_4@.png,860 Diamond,860鑽石,,,,,,,"""12.99""","""12.99""",,,,860,860,860,860,860,,另贈860鑽石(僅首次),,,,0,,,,,0,7,<tw>
"1108",city/recharge/icon_cz_4@.png,980 Diamond,980鑽石,,,,,,,"""14.99""","""14.99""",,,,980,980,980,980,980,,另贈980鑽石(僅首次),,,,0,,,,,0,8,<tw>
"1109",city/recharge/icon_cz_5@.png,1340 Diamond,1340鑽石,,,,,,,"""19.99""","""19.99""",,,,1340,1340,1340,1340,1340,,另贈1340鑽石(僅首次),,,,0,,,,,0,9,<tw>
"1110",city/recharge/icon_cz_5@.png,1740 Diamond,1740鑽石,,,,,,,"""25.99""","""25.99""",,,,1740,1740,1740,1740,1740,,另贈1740鑽石(僅首次),,,,0,,,,,0,10,<tw>
"1111",city/recharge/icon_cz_6@.png,1980 Diamond,1980鑽石,,,,,,,"""29.99""","""29.99""",,,,1980,1980,1980,1980,1980,,另贈1980鑽石(僅首次),,,,0,,,,,0,11,<tw>
