"﻿变量名",name,languages,name_tw,name_en,name_vn,name_kr,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_en,desc_kr,unlock,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,crossArenaPos
默认值,"""""",<cn;tw;en;vn;th;kr>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",12,"""""",1,0,{x=1750;y=436},{x=0;y=0},"""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""",,0,0,"""""",0,0,"""""",0,0,"""""",<>,<>,0,0,0,0,0,TRUE,{x=160;y=-50},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{x=0;y=0}
ID,名字,语言区域,名字,名字,名字_越南,名字_韩,在列表中的显示,资源路径,战斗姿态,spine资源路径,跨服商业街的spine资源路径,Q版人物形象资源,Q版人物特效,层级,背景路径,分类（1普通2稀有）,同类型中的排序优先级(越大越优先),主角位置,战斗姿态资源位置偏移（针对战斗前动画界面）,描述,描述,描述,描述_韩,解锁条件格式 {条件=数值} 1=等级 2=关卡 5=VIP等级 6=战力 44=竞技场排名 79=训练家等级,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述_越南,解锁条件描述_韩,无解锁条件和消耗且未获取时的描述,激活消耗,自然属性卡牌加成(0表示全部),属性类型1,属性数值1,自然属性卡牌加成(0表示全部),属性类型2,属性数值2,自然属性卡牌加成(0表示全部),属性类型3,属性数值3,解锁技能,技能激活对应role等级,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,对话气泡是否需要翻转,对话框的位置偏移,对话内容1,对话内容1,对话内容1,对话内容1_越南,对话内容1_韩,对话内容2,对话内容2,对话内容2,对话内容2_越南,对话内容2_韩,对话内容3,对话内容3,对话内容3,对话内容3_越南,对话内容3_韩,跨服竞技场位置偏移值
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ash,,小智,Ash,404404,지우,config/portrait/toptouxiang/img_role_1@.png,config/big_role/show/img_role_1@.png,config/big_role/show/img_role_1@.png,figure/xiaozhi/xiaozhi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_1@.png,townqrole/q_xiaozhi.skel,,personal/img_bjt.png,1,900,,,Trainer from Pallet Town who aims to be a Pokémon Master,來自真新鎮的訓練家，目標是神奇寶貝大師,Trainer from Pallet Town who aims to be a Pokémon Master,"""태초마을에서 온 트레이너, 목표는 포켓몬 마스터가 되는 것이다.""",{1=10},Attain level 10 to unlock,等級到達10級後可解鎖,Attain level 10 to unlock,404404,10레벨 달성 후 개방 가능,,{gold=30000},,1,220,,9,26,,,,<>,<>,,,,,,,,I will definitely become a Pokémon master!,我一定會成為神奇寶貝大師的！,I will definitely become a Pokémon Master!,404404,나는 반드시 포켓몬 마스터가 될 거야!,When do I want to win a championship?,什麼時候我也想拿個冠軍啊~,When can I get a championship too...,404404,나는 언제 챔피언이 될 수 있을까,go! Pikachu! It's up to you!,去吧！皮卡丘！就決定是你了！,"Go, Pikachu! I choose you!",404404,가라! 피카츄! 너로 정했다!,{x=-50;y=0}
2,Misty,,小霞,Misty,404404,이슬,config/portrait/toptouxiang/img_role_2@.png,config/big_role/show/img_role_2@.png,config/big_role/show/img_role_2@.png,figure/xiaoxia/xiaoxia.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_2@.png,townqrole/q_xiaoxia.skel,,personal/img_bjt1.png,1,800,,,"Gym leader of Cerulean Gym, specialized in Water-type Pokémons",華藍道館館主，水屬性精靈的達人,"Gym leader of Cerulean Gym, specialized in Water-type Pokémons","""블루시티 체육관 관장, 물 타입 포켓몬의 전문가.""",{1=10},Attain level 10 to unlock,等級到達10級後可解鎖,Attain level 10 to unlock,404404,10레벨 달성 후 개방 가능,,{gold=30000},,1,220,,10,26,,,,<>,<>,,,,,,,,"It's a water-type Pokémon attacking, attacking, attacking... Keep attacking!",是用水屬性寶可夢進攻進攻進攻……一個勁兒地進攻！,"It uses water-type Pokémon to attack, attack and attack... and never stops!",404404,물 타입 포켓몬으로 공격하고 공격하고 또 공격하고...... 끝까지 공격을 하겠어!,"When I become strong enough, I must travel again!",等我什麼時候變得足夠強了，我一定要再次出門旅行喲！,"When I become strong enough, I will definitely embark in another journey again!",404404,"""충분히 강해졌을 때, 꼭 여행을 떠날 거야!""","The beach here is so romantic, I like it here~",這裡的海灘好浪漫，我喜歡這裡~,"""I love this beach, it's so romantic here!""",404404,"""이곳의 해변은 정말 낭만적이야, 마음에 들어~""",{x=-10;y=0}
3,Rapp,,拉普,Rapp,404404,랩,config/portrait/toptouxiang/img_role_3@.png,config/big_role/show/img_role_3@.png,config/big_role/act/img_role_3@.png,figure/lapu/lapu.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_3@.png,townqrole/q_lapu.skel,,personal/img_bjt.png,1,500,,,Member of Team Skull that often appears with Tupp and Zipp,"骷髏隊的手下,常跟夥伴達帕和吉普出現",Member of Team Skull that often appears with Tupp and Zipp,"""스컬단의 수하, 동료인 터퍼, 지프와 함께 나타난다.""",{1=45},Attain level 45 to unlock,等級到達45級後可解鎖,Attain level 45 to unlock,404404,45레벨 달성 후 개방 가능,,{rmb=380},,1,1200,,10,60,,,,<>,<>,,,,,,,,"Since you are sincere... oh, sorry, I read the wrong line",既然你誠心…哦，不好意思，看錯臺詞了,"Did someone ask ...... oops, I think that's not my line",404404,"""성의를 보아... 앗, 미안, 대사를 잘못 봤네""","Island tour? What is that, is it delicious?",諸島巡禮？那是什麼，好吃麼？,Island hopping? What's that? Something delicious?,404404,군도 순례? 그게 뭐야? 먹는 거야?,"Strength, as long as we have the boss!",實力，我們有老大就行了！,Strength? We have our boss!,404404,"""힘이면, 우리 대장님이면 충분해!""",{x=0;y=0}
4,Plumeria,<cn;kr;tw;en>,布林美麗,Plumeria,404404,플루메리,config/portrait/toptouxiang/img_role_4@.png,config/big_role/show/img_role_4@.png,config/big_role/act/img_role_4@.png,figure/buermeili/buermeili.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_4@.png,,,personal/img_bjt.png,2,700,,,Team Skull Leader,骷髏隊幹部,Team Skull Leader,스컬단의 간부.,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2204=1},,7,1%,,8,1%,,,,<70001>,<1>,,,,,,,,"Cut, it's so troublesome, I'll beat you up!",切，真麻煩，我揍你哦！,"Tsk, that's so troublesome, I'll beat you up!",404404,"""쳇, 귀찮게, 그러다 맞는다!""","Ha, this little thing can't be done well, you get out of the way, I'll come!",哈，這點小事都辦不好，你閃開，我來！,"Ha, you can't even get this simple thing done! Step aside, let me do it!",404404,"""하아, 고작 이정도 일도 처리 못 하다니. 비켜봐, 내가 할게!""","I'm in charge of Team Skeleton... aka their big sister. As you know, these guys are stupid as hell.",我負責統領骷髏隊……也就是他們的大姐頭。如你所知，這班傢伙都笨得要命。,"I'm in charge of Team Skull... and also their lady boss. As you know, these guys are all very dumb.",404404,"""나는 스컬단을 총괄하고 있지....... 그게 바로 저들의 보스야. 너가 알듯이, 이 녀석들은 멍청하기 짝이 없지.""",{x=-20;y=0}
5,Morgan,,露美旦,Morgan,404404,르마탱,config/portrait/toptouxiang/img_role_5@.png,config/big_role/show/img_role_5@.png,config/big_role/act/img_role_5@.png,figure/lumeidan/lumeidan.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,600,,,"One of the leaders of the Battle Maison, the eldest of the Battle Chatelaine.",對戰宅第的對戰女城主之一，四姊妹中的長女,"One of the leaders of the Battle Maison, the eldest of the Battle Chatelaine.","""배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 장녀.""",{1=1},Obtained by exchanging in the Arena,競技場內兌換獲得,Obtained by exchanging in the Arena,404404,아레나 내 교환으로 획득,,{2205=1},,7,1%,,14,100,,,,<70002>,<1>,,,,,,,,Want to have a nice battle?,要來一場愉快的對戰麼？,Wanna have a satisfying battle with me?,404404,유쾌한 전투를 하지 않겠어?,I love playing roulette against a variety of challengers,我喜歡與各種各樣的挑戰者進行輪盤對戰,I like to play roulette against various challengers,404404,나는 다양한 도전자와 서바이벌 대전을 하는 것을 즐기지,"Lan Zhouni's temper is a bit aggressive, she's a little worried",蘭晝妮的性子有點好勝，有點擔心啊,"I'm worried about Dana, she can be a little overly competitive",404404,"""라쥬르네는 승부욕이 강해, 조심하라고""",{x=-35;y=0}
6,Meray,<cn>,梅雅利,Meray,404404,메아리,config/portrait/toptouxiang/img_role_6@.png,config/big_role/show/img_role_6@.png,config/big_role/act/img_role_6@.png,figure/meiyali/meiyali.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_6@.png,townqrole/q_meiyali.skel,,personal/img_bjt.png,2,100,,,"Young girl that takes care of the Djinn Pokémon Hoopa, and lives with it at the Arche Valley.",照顧幻之神奇寶貝胡帕的少女。在創世之谷與胡帕一同成長。,"Young girl that takes care of the Djinn Pokémon Hoopa, and lives with it at the Arche Valley.","""환상의 포켓몬 후파를 돌보는 소녀, 아르케의 계곡에서 후파와 함께 자랐다.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2244=1},,10,1%,,10,120,,,,<70031>,<1>,,1,1,1,1,,,"I'm Mayali, I'm taking care of Hoopa",1111,1111,404404,404404,"Hoopa, come on! Punishment or something, let him pass!",2222,2222,404404,404404,"Great, Hoopa, you can finally go through the ring yourself!",3333,3333,404404,404404,{x=0;y=0}
7,Alexa,,三色堇,Alexa,404404,팬지,config/portrait/toptouxiang/img_role_7@.png,config/big_role/show/img_role_7@.png,config/big_role/show/img_role_7@.png,figure/sansejin/sansejin.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_7@.png,townqrole/q_sansejin.skel,,personal/img_bjt.png,1,600,,,"Reporter from Lumiose City, elder sister of Viola.",來自密阿雷市的記者，紫羅蘭的姐姐,"Reporter from Lumiose City, elder sister of Viola.","""미르시티의 기자, 비올라의 언니.""",{1=30},Attain level 30 to unlock,等級到達30級後可解鎖,Attain level 30 to unlock,404404,30레벨 달성 후 개방 가능,,{rmb=280},,1,900,,9,45,,,,<>,<1>,,,,,,,,"As a reporter, of course you are collecting materials 24 hours a day!",作為記者，當然是全天24小時都在取材！,"As a reporter, I collect materials 24 hours a day!",404404,"""기자로서, 당연히 하루 24시간 내내 기삿거리를 찾고 있지!""",It's great that you are also interested in the traditional harvest festival of Fruit Island,你也對果實島傳統收穫祭典感興趣嘛，那真是太好了,Are you also interested in the traditional harvest festival of Minori Island? That’s great,404404,"""너도 과일 섬의 전통 수확제에 흥미 있어 보이네, 정말 다행이야""","Not all information can be reported, everyone has a little secret",並不是所有的資訊都是可以報導的哦，人都有點小秘密,"Not all information can be disclosed, everyone has a little secret",404404,"""모든 정보를 보도할 수 있는 건 아니야, 누구나 작은 비밀 한두 개는 있는 법이니까""",{x=0;y=0}
