"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr
默认值,"""""","""""","""""","""""","""""",,<cn;tw;en;vn;th;kr>,特殊途径解锁,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방
ID,名字,名字,名字,名字_越南,名字_韩,头像框（支持spine）,语言区域,解锁条件,解锁条件,解锁条件,解锁条件_越南,解锁条件_韩
1,Default avatar frame,默認頭像框,Default avatar frame,Khung Avatar mặc định,기본 테두리,config/portrait/frame/box_head_default.png,<cn;tw;en;vn;th;kr>,,,,,
2,Golden Training Master,黃金訓練師,Golden Training Master,HLV Gold,골드 트레이너,config/portrait/frame/icon_lv50.png,,,,,,
100,Turtwig,草苗龜,Turtwig,404404,모부기,config/portrait/frame/icon_cmg@.png,,,,,,
101,Lotad,蓮葉童子,Lotad,404404,연꽃몬,config/portrait/frame/icon_lytz@.png,,,,,,
102,Pikachu,皮卡丘,Pikachu,404404,피카츄,config/portrait/frame/icon_pkq@.png,,,,,,
103,Blaziken,火焰雞,Blaziken,404404,번치코,config/portrait/frame/icon_hyj@.png,,,,,,
104,Greninja,甲賀忍蛙,Greninja,404404,개굴닌자,config/portrait/frame/icon_jhrw@.png,,,,,,
200,Mewtwo,超夢,Mewtwo,404404,뮤츠,frame/touxiangkuang_cm.skel,,,,,,
201,Ho-Oh,鳳王,Ho-Oh,404404,칠색조,frame/touxiangkuang_fw.skel,,,,,,
202,Lugia,洛奇亞,Lugia,LUGIA,루기아,frame/lqy_txk.skel,,,,,,
203,Rayquaza,裂空座,Rayquaza,Rayquaza,레쿠쟈,frame/liekongzuo_touxiang.skel,,,,,,
204,Kyogre,蓋歐卡,Kyogre,404404,가이오가,frame/gok_txk.skel,,,,,,
205,Darkrai,達克萊伊,Darkrai,404404,다크라이,frame/txk_dkly.skel,<cn;kr;tw;en>,,,,,
206,Regigigas,雷吉奇卡斯,Regigigas,404404,레지기가스,frame/txk_ljqks.skel,<cn;kr;tw;en>,,,,,
207,Dialga,帝牙盧卡,Dialga,404404,디아루가,frame/txk_dylk.skel,<cn;kr;tw;en>,,,,,
208,Palkia,帕路奇亞,Palkia,404404,펄기아,frame/plqy_txk.skel,<cn;kr;tw>,,,,,
209,Giratina,騎拉帝納,Giratina,404404,펄기아,frame/guilong_toux.skel,<cn;kr;tw;en>,,,,,
210,Shaymin,謝米,Shaymin,404404,쉐이미,frame/xiemi_touxiang.skel,<cn;kr>,,,,,
211,Hoopa Confined,懲戒胡帕,Hoopa Confined,,굴레에 빠진 후파,frame/hupa_touxiang.skel,<cn;kr>,,,,,
212,Reshiram,萊希拉姆,Reshiram,,레시라무,frame/lxlm_txk.skel,<cn;kr>,,,,,
