"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr
默认值,"""""","""""","""""","""""","""""",config/portrait/speedranktouxiang/img_25_pkq@.png,,,,,<cn;tw;en;vn;th;kr>,"""特殊途径解锁""","""特殊途徑解鎖""",Special path unlocking,Special path unlocking,"""특수 경로로 개방"""
ID,名字,名字,名字,名字_越南,名字_韩,icon（支持spine）,卡牌id,物品id,形象id,皮肤id,语言区域,解锁条件,解锁条件,解锁条件,解锁条件_越南,解锁条件_韩
1,Ash,小智,Ash,404404,지우,config/portrait/toptouxiang/img_role_1@.png,,,1,,<cn;tw;en;vn;th;kr>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
2,Misty,小霞,Misty,404404,이슬,config/portrait/toptouxiang/img_role_2@.png,,,2,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
3,Rapp,拉普,Rapp,404404,랩,config/portrait/toptouxiang/img_role_3@.png,,,3,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
4,Plumeria,布林美麗,Plumeria,404404,플루메리,config/portrait/toptouxiang/img_role_4@.png,,,4,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
5,Morgan,露美旦,Morgan,404404,르마탱,config/portrait/toptouxiang/img_role_5@.png,,,5,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
6,Merry,梅雅麗,Merry,404404,메아리,config/portrait/toptouxiang/img_role_6@.png,,,6,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
7,Alexa,三色堇,Alexa,404404,팬지,config/portrait/toptouxiang/img_role_7@.png,,,7,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
8,Viola,紫羅蘭,Viola,404404,비올라,config/portrait/toptouxiang/img_role_8@.png,,,8,,<cn;kr>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
9,Marlon,西子伊,Marlon,404404,시즈,config/portrait/toptouxiang/img_role_9@.png,,,9,,<cn;kr;en;tw>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
10,Roxanne,杜娟,Roxanne,404404,원규,config/portrait/toptouxiang/img_role_10@.png,,,10,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
11,Colress,阿克羅瑪,Colress,404404,아크로마,config/portrait/toptouxiang/img_role_11@.png,,,11,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
12,Flannery,亞莎,Flannery,404404,민지,config/portrait/toptouxiang/img_role_12@.png,,,12,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
13,Hugh,修,Hugh,404404,휴이,config/portrait/toptouxiang/img_role_13@.png,,,13,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
14,Roxie,霍米加,Roxie,404404,보미카,config/portrait/toptouxiang/img_role_14@.png,,,14,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
15,Bianca,白露,Bianca,404404,벨,config/portrait/toptouxiang/img_role_15@.png,,,15,,<cn;kr;en;tw>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
16,Korrina,可爾妮,Korrina,404404,코르니,config/portrait/toptouxiang/img_role_16@.png,,,16,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
17,Dana,蘭晝妮,Dana,404404,라쥬르네,config/portrait/toptouxiang/img_role_17@.png,,,17,,<cn;kr;tw>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
18,Evelyn,露夕華,Evelyn,404404,르수아르,config/portrait/toptouxiang/img_role_18@.png,,,18,,<cn;kr;tw>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
19,Nita,蘭妞夜,Nita,404404,라뉴이,config/portrait/toptouxiang/img_role_19@.png,,,19,,<cn;kr>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
20,Lenora,蘆薈,Lenora,404404,알로에,config/portrait/toptouxiang/img_role_20@.png,,,20,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
21,Hilda,斗子,Hilda,404404,투희,config/portrait/toptouxiang/img_role_21@.png,,,21,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
22,Rosa,芽衣,Rosa,404404,명희,config/portrait/toptouxiang/img_role_22@.png,,,22,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
23,Millis,彌莉絲,Millis,404404,밀리스,config/portrait/toptouxiang/img_role_23@.png,,,23,,<cn;kr>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
24,Phoebe,芙蓉,Phoebe,404404,회연,config/portrait/toptouxiang/img_role_24@.png,,,24,,<cn;kr;en>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
25,Lana,水蓮,Lana,404404,수련,config/portrait/toptouxiang/img_role_25@.png,,,25,,<cn;kr;tw>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
26,Green,碧藍,Green,404404,블루,config/portrait/toptouxiang/img_role_26@.png,,,26,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
27,Brock,小剛,Brock,404404,웅,config/portrait/toptouxiang/img_role_27@.png,,,27,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
28,Wicke,碧珂,Wicke,404404,비케,config/portrait/toptouxiang/img_role_28@.png,,,28,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
29,Tupp,達帕,Tupp,404404,터퍼,config/portrait/toptouxiang/img_role_29@.png,,,29,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
