"﻿变量名",roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
默认值,,90,,{},{},,5,0,0,1,600,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
ID,角色id,等级,备注信息,技能(技能id=等级;技能id=等级...),斗魂,势力,星级,主动技能激活,标识,HP,MP1,MP2,HP回复,MP1回复,MP2回复,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,闪避,命中,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30001,,Yandi,,,1,,,3,250000,,,,,,50000,50000,0,0,0,0,1500,0,,,,,,,,,,,,,,,,,
2,30002,,Blastoise,,,1,,,3,650000,,,,,,55000,55000,0,0,0,0,1100,0,,,,,,,,,,,,,,,,,
3,30003,,Thunder God,,,1,,,3,400000,,,,,,50000,50000,0,0,0,0,1400,0,,,,,,,,,,,,,,,,,
4,30004,,Forest Lizard,,,1,,,3,120000,,,,,,50000,50000,0,0,0,0,900,0,,,,,,,,,,,,,,,,,
5,30005,,Koga Ninja Frog,,,1,,,3,600000,,,,,,50000,50000,0,0,0,0,600,0,,,,,,,,,,,,,,,,,
6,30006,,sticky dragon,,,1,,,3,130000,,,,,,50000,50000,0,0,0,0,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30007,,Frog Flower,,,2,,,3,300000,,,,,,50000,50000,0,0,0,0,1200,0,,,,,,,,,,,,,,,,,
8,30008,,Bankiras,,,2,,,3,300000,,,,,,50000,50000,0,0,0,0,800,0,,,,,,,,,,,,,,,,,
9,30009,,Suicune,,,2,,,3,200000,,,,,,50000,50000,0,0,0,0,1300,0,,,,,,,,,,,,,,,,,
10,30010,,biting land shark,,,2,,,3,200000,,,,,,50000,50000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,30011,,Charizard,,,2,,,3,600000,,,,,,50000,50000,0,0,0,0,700,0,,,,,,,,,,,,,,,,,
12,30012,,Quick Dragon,,,2,,,3,90000,,,,,,50000,50000,0,0,0,0,1000,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Yandi,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,1500,0,,,,,,,,,,,,,,,,,
,11,,Suicune,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,1300,0,,,,,,,,,,,,,,,,,
,11,,night genie,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,1200,0,,,,,,,,,,,,,,,,,
,11,,Magneto,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,1100,0,,,,,,,,,,,,,,,,,
,11,,super blizzard king,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,1000,0,,,,,,,,,,,,,,,,,
,11,,Duckbill,{611=10;612=10;613=10},,1,,,3,10000,,,,,,1000,1000,1,1,,,900,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Thunder God,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,1400,0,,,,,,,,,,,,,,,,,
,11,,Charizard,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,1300,0,,,,,,,,,,,,,,,,,
,11,,Frog Flower,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,1200,0,,,,,,,,,,,,,,,,,
,11,,Gengar mega,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,1100,0,,,,,,,,,,,,,,,,,
,11,,Super Armored Rhinoceros,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,1000,0,,,,,,,,,,,,,,,,,
,11,,Forest Lizard,{611=10;612=10;613=10},,2,,,3,10000,,,,,,1000,1000,1,1,,,900,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Yandi,<12311;12312;12313>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Blastoise,<231;232;233>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Thunder God,<12211;12212;12213>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,forest lizard,<12921;12922;12923>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Koga Ninja Frog,<33031;33032;33033>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,sticky dragon,<35431;35432;35433>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Frog Flower,<31;32;33>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bankiras,<921;922;923>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Suicune,<12411;12412;12413>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bite the Land Shark,<22331;22332;22333>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Charizard,<131;132;133>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quick Dragon,<7531;7532;7533>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{12311=10;12312=10;12313=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{231=10;232=10;233=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{18131=10;18132=10;18133=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{12921=10;12922=10;12923=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{33031=10;33032=10;33033=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{35431=10;35432=10;35433=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{31=10;32=10;33=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{921=10;922=10;923=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{12411=10;12412=10;12413=10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{22331=1;22332=1;22333=1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{131=1;132=1;133=1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,{7531=1;7532=1;7533=1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
