"﻿变量名",_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
默认值,,0,0,0,FALSE,FALSE,,0,,2,<>,<>,1,,,,<>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,0,0,,,,"""""","""""","""""","""""","""""",,<>,,0,,FALSE,
ID,备注,触发时间,持续时间,是否自动跳过,是否显示跳过按钮;显示到下一个FALSE为止,是否首次关卡怪,结束标示(自动判定; 废弃),剧情类型0:普通1:主动技能引导2:点击引导3:小技能引导4:连击点击引导5:连击1引导6:连击2引导7:友军支援8:不再有普攻9:只是弹框对话10:选择敌方引导11:敌方某单位逃跑,引导参数（未使用）,表现样式（1、引导员，2剧情对话， 3、top角色说话）,选项组(仅对showType=1和2时生效),跳转剧情,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段>0为自身训练家形象名字其他读取形象表 字段不填则读res,unitID,对话角色额外偏移位置,选项字段<<内容>;...>,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,头顶对话,头顶对话,头顶对话,头顶对话_越南,头顶对话_韩,头顶对话坐标,头顶对话框微调x坐标,头顶对话框微调y坐标,播放视频,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_越南,角色名称（样式1，特殊用于样式2）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,任意位置取消（样式1）,明亮的地方（样式1）
,,,,,,,,,,,,,,<3;resAct>,,{x=0;y=0},,,,,,,,,,,,,,,,config/big_role/act/img_role_3@.png,{x=0;y=0},Dr. XXXX,XXXX博士,404,404404,XXXX 박사,,<panel; icon; arena>,effect/shouyindao.skel,90,{x=0;y=0},TRUE,{width=6240;height=2880;dx=0;dy=0}
101,Beginner's guide,0,2000,,,,,,,,,,1,,,,,"""The battles of the League Conference are fierce and exciting, and we are finally about to enter the final battle. Let's welcome the two trainers who fought all the way to a glorious battle in the finals!""",場場都是激戰的聯盟大賽，終於要迎接高潮迭起的最後一戰，我們現在立刻歡迎，終於晉級到榮耀決戰的兩名訓練家！,"""The battles of the League Conference are fierce and exciting, and we are finally about to enter the final battle. Let's welcome the two trainers who fought all the way to a glorious battle in the finals!""",404404,"""경기마다 치열한 연맹 대회가, 드디어 하이라이트인 최후의 일전만이 남았습니다. 명예의 결승전에 오르게 된 트레이너 두 분을 힘찬 박수로 맞이해 주세요!""",,,,,,,,,,,,Game Host,比賽主持人,Game Host,404404,리그 사회자,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Beginner's guide,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Beginner's guide,1500,2000,,,,,,,,,,1,<1>,,,,I've finally come to this moment.,終於來到這一刻了。,I've finally come to this moment.,404404,드디어 이날이 왔네.,,,,,,,,,,,,,,,,,,,,,,,
113,Beginner's guide,3500,2000,,,,,,,,,,1,<1>,,,,"""Alain you're strong, I shall give my all!""",艾嵐你很強，就讓我全力以赴吧！,"""Alain you're strong, I shall give my all!""",404404,"""알랭, 너인만큼, 전력으로 나서주마!""",,,,,,,,,,,,,,,,,,,,,,,
114,Beginner's guide,5500,2000,,,,,,,,,,2,<31>,,,,I'm looking forward to fight against you here.,真是太令人期待了，可以在這裡和你對戰。,I'm looking forward to fight against you here.,404404,"""이곳에서 너랑 배틀을 할 수 있다니, 정말 기대되는걸.""",,,,,,,,,,,,,,,,,,,,,,,
115,Beginner's guide,7500,2000,,,,,,,,,,2,<31>,,,,"""But for this battle, I'll not go easy on you!""",但是這場戰鬥，我是不會讓步的！,"""But for this battle, I'll not go easy on you!""",404404,"""그래도 이번 배틀은, 절대 봐주지 않을 거야!""",,,,,,,,,,,,,,,,,,,,,,,
116,Beginner's guide,9500,2000,,,,,,,,,,1,<1>,,,,C'mon!,來吧！,C'mon!,404404,와라!,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,"""Entei, Doomsday Blast! Let the flames burn!""",炎帝，末日炎爆，讓火焰燃燒全場！,"""Entei, Doomsday Blast! Let the flames burn!""",404404,"""앤테이, 둠 플레임으로 경기장을 불태워 버려!""",,,,,,,,,,,,,,,,,,,,,,,
122,Beginner's guide,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
123,Beginner's guide,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,"""Raikou, summon the power of thunder with the Thunder Claw!""",雷公，雷霆之爪，召喚閃電的力量！,"""Raikou, summon the power of thunder with the Thunder Claw!""",404404,"""라이코, 썬더 클로로 번개의 힘을 소환해!""",,,,,,,,,,,,,,,,,,,,,,,
132,Beginner's guide,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
133,Beginner's guide,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Beginner's guide,0,2000,,,,,,,,,,2,<31>,,,,"""I was only in a bad condition, that was a piece of cake!""",區區負面狀態而已，雕蟲小技！,"""I was only in a bad condition, that was a piece of cake!""",404404,"""고작 디버프 상태일 뿐, 별거 아니지!""",,,,,,,,,,,,,,,,,,,,,,,
142,Beginner's guide,2000,4000,,,,,,,,,,2,<31>,,,,"""Suicune, start a whirlpool and dispel the negative effects!""",水君，踏浪漩渦，驅散負面！,"""Suicune, start a whirlpool and dispel the negative effects!""",404404,"""스이쿤, 파도 소용돌이로 디버프 디스펠!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Beginner's guide,0,2000,,,,,,,,,,2,<31>,,,,"""Take this, Venusaur, Solar Beam!""",再看這招，妙蛙花，陽光烈焰！,"""Take this, Venusaur, Solar Beam!""",404404,"""이걸 받아라, 이상해꽃, 솔라빔!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,Looks like I have to do my best!,看來得使出全力了！,Looks like I have to do my best!,404404,전력을 다해야겠어!,,,,,,,,,,,,,,,,,,,,,,,
162,Beginner's guide,2000,4000,,,,,,,,,,1,<1>,,,,"""Blastoise, use your Hydro Pump and protect your allies!""",水箭龜，快使用水箭巨炮，護佑友方！,"""Blastoise, use your Hydro Pump and protect your allies!""",404404,"""거북왕, 하이드로캐논으로 아군을 보호해!""",,,,,,,,,,,,,,,,,,,,,,,
163,Beginner's guide,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
164,Beginner's guide,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Beginner's guide,0,2000,,,,,,,,,,2,<31>,,,,"""This is exactly what I want! Dragonite, Dragon Rage!""",這樣正合我意！快龍，怒龍一擊！,"""This is exactly what I want! Dragonite, Dragon Rage!""",404404,"""그렇게 나온다면! 망나뇽, 용의 분노의 일격!""",,,,,,,,,,,,,,,,,,,,,,,
,0,0,2000,,,,,,,,,,1,<1>,,,,"""Goodra, Dragon Pulse!""",黏美龍，龍之波動！,"""Goodra, Dragon Pulse!""",404404,"""미끄래곤, 용의 파동!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Beginner's guide,0,2000,,,,,,,,,,1,<1>,,,,Sceptile and Tangela can instant kill the back line,蜥蜴王，地蔓藤，秒殺後排,Sceptile and Tangela can instant kill the back line,404404,"""나무킹, 그라운드 빈으로 후방 라인을 공격해""",,,,,,,,,,,,,,,,,,,,,,,
182,Beginner's guide,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
