变量名,day,reward
默认值,999,
签到ID,签到天数,奖励
1,3,{rmb=100;gold=100000;14=10}
2,6,{rmb=150;gold=150000;14=15}
3,10,{rmb=200;gold=200000;14=20}
4,15,{rmb=250;gold=300000;14=30}
5,20,{rmb=300;gold=400000;14=40}
6,30,{rmb=300;gold=500000;14=50}
7,40,{rmb=300;gold=500000;14=50}
8,50,{rmb=300;gold=500000;14=50}
9,60,{rmb=300;gold=500000;14=50}
10,70,{rmb=300;gold=500000;14=50}
11,80,{rmb=300;gold=500000;14=50}
12,90,{rmb=300;gold=500000;14=50}
13,100,{rmb=300;gold=500000;14=50}
14,110,{rmb=300;gold=500000;14=50}
15,120,{rmb=300;gold=500000;14=50}
16,130,{rmb=300;gold=500000;14=50}
17,140,{rmb=300;gold=500000;14=50}
18,150,{rmb=300;gold=500000;14=50}
19,160,{rmb=300;gold=500000;14=50}
20,170,{rmb=300;gold=500000;14=50}
21,180,{rmb=300;gold=500000;14=50}
22,190,{rmb=300;gold=500000;14=50}
23,200,{rmb=300;gold=500000;14=50}
24,210,{rmb=300;gold=500000;14=50}
25,220,{rmb=300;gold=500000;14=50}
26,230,{rmb=300;gold=500000;14=50}
27,240,{rmb=300;gold=500000;14=50}
28,250,{rmb=300;gold=500000;14=50}
29,260,{rmb=300;gold=500000;14=50}
30,270,{rmb=300;gold=500000;14=50}
31,280,{rmb=300;gold=500000;14=50}
32,290,{rmb=300;gold=500000;14=50}
33,300,{rmb=300;gold=500000;14=50}
34,310,{rmb=300;gold=500000;14=50}
35,320,{rmb=300;gold=500000;14=50}
36,330,{rmb=300;gold=500000;14=50}
37,340,{rmb=300;gold=500000;14=50}
38,350,{rmb=300;gold=500000;14=50}
39,360,{rmb=300;gold=500000;14=50}
40,370,{rmb=300;gold=500000;14=50}
41,380,{rmb=300;gold=500000;14=50}
42,390,{rmb=300;gold=500000;14=50}
43,400,{rmb=300;gold=500000;14=50}
44,410,{rmb=300;gold=500000;14=50}
45,420,{rmb=300;gold=500000;14=50}
46,430,{rmb=300;gold=500000;14=50}
47,440,{rmb=300;gold=500000;14=50}
48,450,{rmb=300;gold=500000;14=50}
49,460,{rmb=300;gold=500000;14=50}
50,470,{rmb=300;gold=500000;14=50}
51,480,{rmb=300;gold=500000;14=50}
52,490,{rmb=300;gold=500000;14=50}
53,500,{rmb=300;gold=500000;14=50}
54,510,{rmb=300;gold=500000;14=50}
55,520,{rmb=300;gold=500000;14=50}
56,530,{rmb=300;gold=500000;14=50}
57,540,{rmb=300;gold=500000;14=50}
58,550,{rmb=300;gold=500000;14=50}
59,560,{rmb=300;gold=500000;14=50}
60,570,{rmb=300;gold=500000;14=50}
61,580,{rmb=300;gold=500000;14=50}
62,590,{rmb=300;gold=500000;14=50}
63,600,{rmb=300;gold=500000;14=50}
64,610,{rmb=300;gold=500000;14=50}
65,620,{rmb=300;gold=500000;14=50}
66,630,{rmb=300;gold=500000;14=50}
67,640,{rmb=300;gold=500000;14=50}
68,650,{rmb=300;gold=500000;14=50}
69,660,{rmb=300;gold=500000;14=50}
70,670,{rmb=300;gold=500000;14=50}
71,680,{rmb=300;gold=500000;14=50}
72,690,{rmb=300;gold=500000;14=50}
73,700,{rmb=300;gold=500000;14=50}
74,710,{rmb=300;gold=500000;14=50}
75,720,{rmb=300;gold=500000;14=50}
76,730,{rmb=300;gold=500000;14=50}
77,740,{rmb=300;gold=500000;14=50}
78,750,{rmb=300;gold=500000;14=50}
79,760,{rmb=300;gold=500000;14=50}
80,770,{rmb=300;gold=500000;14=50}
81,780,{rmb=300;gold=500000;14=50}
82,790,{rmb=300;gold=500000;14=50}
83,800,{rmb=300;gold=500000;14=50}
84,810,{rmb=300;gold=500000;14=50}
85,820,{rmb=300;gold=500000;14=50}
86,830,{rmb=300;gold=500000;14=50}
87,840,{rmb=300;gold=500000;14=50}
88,850,{rmb=300;gold=500000;14=50}
89,860,{rmb=300;gold=500000;14=50}
90,870,{rmb=300;gold=500000;14=50}
91,880,{rmb=300;gold=500000;14=50}
92,890,{rmb=300;gold=500000;14=50}
93,900,{rmb=300;gold=500000;14=50}
94,910,{rmb=300;gold=500000;14=50}
95,920,{rmb=300;gold=500000;14=50}
96,930,{rmb=300;gold=500000;14=50}
97,940,{rmb=300;gold=500000;14=50}
98,950,{rmb=300;gold=500000;14=50}
99,960,{rmb=300;gold=500000;14=50}
100,970,{rmb=300;gold=500000;14=50}
101,980,{rmb=300;gold=500000;14=50}
102,990,{rmb=300;gold=500000;14=50}
103,1000,{rmb=300;gold=500000;14=50}
104,1010,{rmb=300;gold=500000;14=50}
105,1020,{rmb=300;gold=500000;14=50}
106,1030,{rmb=300;gold=500000;14=50}
107,1040,{rmb=300;gold=500000;14=50}
108,1050,{rmb=300;gold=500000;14=50}
109,1060,{rmb=300;gold=500000;14=50}
110,1070,{rmb=300;gold=500000;14=50}
111,1080,{rmb=300;gold=500000;14=50}
112,1090,{rmb=300;gold=500000;14=50}
113,1100,{rmb=300;gold=500000;14=50}
114,1110,{rmb=300;gold=500000;14=50}
115,1120,{rmb=300;gold=500000;14=50}
116,1130,{rmb=300;gold=500000;14=50}
117,1140,{rmb=300;gold=500000;14=50}
118,1150,{rmb=300;gold=500000;14=50}
119,1160,{rmb=300;gold=500000;14=50}
120,1170,{rmb=300;gold=500000;14=50}
121,1180,{rmb=300;gold=500000;14=50}
122,1190,{rmb=300;gold=500000;14=50}
123,1200,{rmb=300;gold=500000;14=50}
124,1210,{rmb=300;gold=500000;14=50}
125,1220,{rmb=300;gold=500000;14=50}
126,1230,{rmb=300;gold=500000;14=50}
127,1240,{rmb=300;gold=500000;14=50}
128,1250,{rmb=300;gold=500000;14=50}
129,1260,{rmb=300;gold=500000;14=50}
130,1270,{rmb=300;gold=500000;14=50}
131,1280,{rmb=300;gold=500000;14=50}
132,1290,{rmb=300;gold=500000;14=50}
133,1300,{rmb=300;gold=500000;14=50}
134,1310,{rmb=300;gold=500000;14=50}
135,1320,{rmb=300;gold=500000;14=50}
136,1330,{rmb=300;gold=500000;14=50}
137,1340,{rmb=300;gold=500000;14=50}
138,1350,{rmb=300;gold=500000;14=50}
139,1360,{rmb=300;gold=500000;14=50}
140,1370,{rmb=300;gold=500000;14=50}
141,1380,{rmb=300;gold=500000;14=50}
142,1390,{rmb=300;gold=500000;14=50}
