变量名,gateID,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight
默认值,,,5000,1,0,0,-1
ID,关卡ID,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值
9000,10102,( Drop item 1 Enhanced potion 31) ( On the journey 1-2) ( Normal level ),5000,1,0,0,1
9001,10102,( Drop item 2 Defense 21) ( Embark on the journey 1-2) ( Normal level ),5001,1,0,0,1
9002,10102,( Drop item 2 Defense 21) ( Embark on the journey 1-2) ( Normal level ),5002,1,0,0,1
9003,10102,( Drop item 2 Defense 21) ( Embark on the journey 1-2) ( Normal level ),5003,1,0,0,1
,202,( Drop Yagu Beast Fragment *10) (On the Journey 1-2) ( Normal level ),21001,10,0,0,1
,,,,,,,
1,10101,( Drop item 1 enhanced potion ) ( Normal 1-01) ( Normal level ),5000,1,0.7,0.9,0.5
2,10101,( Drop Item 2 Attack 21) ( Normal 1-01) ( Normal level ),5001,1,0.7,0.9,0.5
6,10102,( Drop item 1 enhanced potion ) ( Normal 1-02) ( Normal level ),5000,1,0.7,0.9,0.5
7,10102,( Drop item 2 Defense 21) ( Normal 1-02) ( Normal level ),5002,1,0.7,0.9,0.5
11,10103,( Drop item 1 enhanced potion ) ( Normal 1-03) ( Normal level ),5000,1,0.7,0.9,0.5
12,10103,( Drop item 2 skill 21) ( Normal 1-03) ( Normal level ),5003,1,0.7,0.9,0.5
16,10104,( Drop item 1 enhanced potion ) ( Normal 1-04) ( Normal level ),5000,1,0.7,0.9,0.5
17,10104,( Drop Item 2 Attack 21) ( Normal 1-04) ( Normal level ),5001,1,0.7,0.9,0.5
21,10105,( Drop item 1 enhanced potion ) ( Normal 1-05) ( Normal level ),5000,1,0.7,0.9,0.5
22,10105,( Drop item 2 Defense 21) ( Normal 1-05) ( Normal level ),5002,1,0.7,0.9,0.5
26,10201,( Drop item 1 enhanced potion ) ( Normal 2-01) ( Normal level ),5000,1,0.7,0.9,0.5
27,10201,( Drop Item 2 Attack 21) ( Normal 2-01) ( Normal level ),5001,1,0.7,0.9,0.5
31,10202,( Drop item 1 enhanced potion ) ( Normal 2-02) ( Normal level ),5000,1,0.7,0.9,0.5
32,10202,( Drop Item 2 Attack 21) ( Normal 2-02) ( Normal level ),5001,1,0.7,0.9,0.5
36,10203,( Drop item 1 enhanced potion ) ( Normal 2-03) ( Normal level ),5000,1,0.7,0.9,0.5
37,10203,( Drop item 2 Defense 21) ( Normal 2-03) ( Normal level ),5002,1,0.7,0.9,0.5
41,10204,( Drop item 1 enhanced potion ) ( Normal 2-04) ( Normal level ),5000,1,0.7,0.9,0.5
42,10204,( Drop item 2 Defense 21) ( Normal 2-04) ( Normal level ),5002,1,0.7,0.9,0.5
46,10205,( Drop item 1 enhanced potion ) ( Normal 2-05) ( Normal level ),5000,1,0.7,0.9,0.5
47,10205,( Drop item 2 skill 21) ( Normal 2-05) ( Normal level ),5003,1,0.7,0.9,0.5
51,10206,( Drop item 1 enhanced potion ) ( Normal 2-06) ( Normal level ),5000,1,0.7,0.9,0.5
52,10206,( Drop item 2 skill 21) ( Normal 2-06) ( Normal level ),5003,1,0.7,0.9,0.5
56,10301,( Drop item 1 enhanced potion ) ( Normal 3-01) ( Normal level ),5000,1,0.7,0.9,0.5
57,10301,( Drop Item 2 Attack 21) ( Normal 3-01) ( Normal level ),5001,1,0.7,0.9,0.5
61,10302,( Drop item 1 enhanced potion ) ( Normal 3-02) ( Normal level ),5000,1,0.7,0.9,0.5
62,10302,( Drop Item 2 Attack 21) ( Normal 3-02) ( Normal level ),5001,1,0.7,0.9,0.5
66,10303,( Drop item 1 enhanced potion ) ( Normal 3-03) ( Normal level ),5000,1,0.7,0.9,0.5
67,10303,( Drop Item 2 Attack 21) ( Normal 3-03) ( Normal level ),5001,1,0.7,0.9,0.5
71,10304,( Drop item 1 enhanced potion ) ( Normal 3-04) ( Normal level ),5000,1,0.7,0.9,0.5
72,10304,( Drop item 2 Defense 21) ( Normal 3-04) ( Normal level ),5002,1,0.7,0.9,0.5
76,10305,( Drop item 1 enhanced potion ) ( Normal 3-05) ( Normal level ),5000,1,0.7,0.9,0.5
77,10305,( Drop item 2 Defense 21) ( Normal 3-05) ( Normal level ),5002,1,0.7,0.9,0.5
81,10306,( Drop item 1 enhanced potion ) ( Normal 3-06) ( Normal level ),5000,1,0.7,0.9,0.5
82,10306,( Drop item 2 Defense 21) ( Normal 3-06) ( Normal level ),5002,1,0.7,0.9,0.5
86,10307,( Drop item 1 enhanced potion ) ( Normal 3-07) ( Normal level ),5000,1,0.7,0.9,0.5
87,10307,( Drop item 2 skill 21) ( Normal 3-07) ( Normal level ),5003,1,0.7,0.9,0.5
91,10308,( Drop item 1 enhanced potion ) ( Normal 3-08) ( Normal level ),5000,1,0.7,0.9,0.5
92,10308,( Drop item 2 skill 21) ( Normal 3-08) ( Normal level ),5003,1,0.7,0.9,0.5
96,10401,( Drop item 1 enhanced potion ) ( Normal 4-01) ( Normal level ),5000,1,0.7,0.9,0.5
97,10401,( drop item 2 attack 22) ( normal 4-01) ( normal level ),5004,1,0.7,0.9,0.5
98,10401,( Drop item 3 Defense 21) ( Normal 4-01) ( Normal level ),5002,1,0.1,0.3,0.5
99,10401,( Drop item 4 skill 21) ( Normal 4-01) ( Normal level ),5003,1,0.1,0.3,0.5
101,10402,( Drop item 1 enhanced potion ) ( Normal 4-02) ( Normal level ),5000,1,0.7,0.9,0.5
102,10402,( Drop Item 2 Attack 22) ( Normal 4-02) ( Normal level ),5004,1,0.7,0.9,0.5
103,10402,( Drop item 3 Defense 21) ( Normal 4-02) ( Normal level ),5002,1,0.1,0.3,0.5
104,10402,( Drop item 4 skill 21) ( Normal 4-02) ( Normal level ),5003,1,0.1,0.3,0.5
106,10403,( Drop item 1 enhanced potion ) ( Normal 4-03) ( Normal level ),5000,1,0.7,0.9,0.5
107,10403,( Drop Item 2 Attack 22) ( Normal 4-03) ( Normal level ),5004,1,0.7,0.9,0.5
108,10403,( Drop item 3 Defense 21) ( Normal 4-03) ( Normal level ),5002,1,0.1,0.3,0.5
109,10403,( Drop item 4 skill 21) ( Normal 4-03) ( Normal level ),5003,1,0.1,0.3,0.5
111,10404,( Drop item 1 enhanced potion ) ( Normal 4-04) ( Normal level ),5000,1,0.7,0.9,0.5
