"﻿变量名",_beizhu,cardID,unitID,desc,rarity,level,star,advance,skillLevels,skills,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
默认值,,0,0,"""""",1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;kr>
ID,备注,卡牌ID,形象ID,描述,稀有度,等级,星级,突破阶数,技能等级,技能({skillID=skillLevel;...}),潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言
1,Frog Seeds,1,1,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Froggrass,2,2,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Frog Flower,3,3,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Super Frog Flower,4,4,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Charmander,11,11,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,fire dinosaur,12,12,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Charizard,13,13,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Super Charizard X,14,14,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Super Charizard Y,15,15,spare card,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Squirrel,21,21,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Cammy Turtle,22,22,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Blastoise,23,23,spare card,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
