"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
默认值,,,,,,,,,提升所有精灵的生命值、攻击力,提升所有精靈的生命值、攻擊力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,所有精灵生命值增加,所有精靈生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,10,,0,1,1,,,<>,,"""""",,,<>,,""""""
ID,名称,名称,名称,名称_越南,名称_韩,icon,headIcon,所属天赋树,属性说明,屬性說明,属性说明,属性说明_越南,属性说明_韩,属性加成说明1,屬性加成說明1,属性加成说明1,属性加成说明1_越南,属性加成说明1_韩,属性加成说明2,屬性加成說明2,属性加成说明2,属性加成说明2_越南,属性加成说明2_韩,上限等级,前置序列,前置天赋等级,战队等级要求,消耗序列id,加成类型1,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型1,属性数值1,加成类型2,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型2,属性数值2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_smz.png,,1,Increase HP and Speed of all Pokémons,提升所有精靈的生命和速度,Increase HP and Speed of all Pokémons,404404,모든 포켓몬의 HP와 스피드를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,Speed increases,速度增加,Speed increases,404404,스피드 증가,10,,,25,1,3,,,1,200,3,,,13,10
101,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_sg.png,,1,Increase P.ATK and SP.ATK of all Pokémons,提升所有精靈的物攻和特攻,Increase P.ATK and SP.ATK of all Pokémons,404404,모든 포켓몬의 공격 및 특수 공격을 강화한다,P.ATK increase,物攻增加,P.ATK increase,404404,공격 증가,SP.ATK increases,特攻增加,SP.ATK increases,404404,특수 공격 증가,10,100,7,25,1,3,,,7,50,3,,,8,50
102,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_sf.png,,1,Increase P.DEF and SP.DEF of all Pokémons,提升所有精靈的物防和特防,Increase P.DEF and SP.DEF of all Pokémons,404404,모든 포켓몬의 방어 및 특수 방어를 강화한다,P.DEF increases,物防增加,P.DEF increases,404404,방어 증가,SP.DEF increases,特防增加,SP.DEF increases,404404,특수 방어 증가,10,100,7,25,1,3,,,9,28,3,,,10,28
103,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_smz.png,,1,Increases HP for Pokémons at the front lines during battle,戰鬥中提升前排精靈的生命,Increases HP for Pokémons at the front lines during battle,404404,전투 중 전방 라인 포켓몬의 HP를 증가시킨다,HP increases,生命增加,HP increases,404404,HP 증가,,,,,,10,102,7,25,1,1,,,1,1.00%,,,,,
104,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_sg.png,,1,Increases P.ATK and SP.ATK of Pokémons at the back lines during battle,戰鬥中提升後排精靈的物攻和特攻,Increases P.ATK and SP.ATK of Pokémons at the back lines during battle,404404,전투 중 후방 라인 포켓몬의 공격 및 특수 공격을 강화한다,P.ATK increase,物攻增加,P.ATK increase,404404,공격 증가,SP.ATK increases,特攻增加,SP.ATK increases,404404,특수 공격 증가,10,101,7,25,1,2,,,7,1.00%,3,,,8,1.00%
105,Base talent,基礎天賦,Base talent,404404,기초 특성,city/develop/talent/icon_shjc.png,,1,Increases damage bonus for Pokémons at the back lines during battle,戰鬥中提升後排精靈的傷害加成,Increases damage bonus for Pokémons at the back lines during battle,404404,전투 중 후방 라인 포켓몬의 피해 보너스를 증가시킨다,Damage bonus increases,傷害加成增加,Damage bonus increases,404404,피해 보너스 증가,,,,,,10,104,7,25,1,2,,,22,100,,,,,
