变量名,costTalent1,costGold1,costTalent2,costGold2,costTalent3,costGold3,costTalent4,costGold4,costTalent5,costGold5,costTalent6,costGold6,costTalent7,costGold7,costTalent8,costGold8,costTalent9,costGold9,costTalent10,costGold10,costTalent11,costGold11,costTalent12,costGold12
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
等级,消耗天赋点1,消耗金币1,消耗天赋点2,消耗金币2,消耗天赋点3,消耗金币3,消耗天赋点4,消耗金币4,消耗天赋点5,消耗金币5,消耗天赋点6,消耗金币6,消耗天赋点7,消耗金币7,消耗天赋点8,消耗金币8,消耗天赋点9,消耗金币9,消耗天赋点10,消耗金币10,消耗天赋点11,消耗金币11,消耗天赋点12,消耗金币12
,,,,,,,,,,,,,,,,,,,,,,,,
0,2,5000,2,20000,3,20000,4,20000,3,30000,4,30000,5,30000,6,30000,4,60000,5,60000,6,60000,6,600000
1,2,10000,2,20000,3,20000,4,20000,3,30000,4,30000,5,30000,6,30000,4,120000,5,120000,6,120000,6,600000
2,2,20000,2,30000,3,30000,4,30000,3,60000,4,60000,5,60000,6,60000,4,200000,5,200000,6,200000,6,600000
3,3,30000,3,40000,4,40000,5,40000,4,80000,5,80000,6,80000,7,80000,5,300000,6,300000,7,300000,7,720000
4,3,30000,3,50000,4,50000,5,50000,4,100000,5,100000,6,100000,7,100000,5,400000,6,400000,7,400000,7,720000
5,4,40000,4,60000,5,60000,6,60000,5,120000,6,120000,7,120000,8,120000,6,500000,7,500000,8,500000,7,720000
6,4,40000,4,80000,5,80000,6,80000,5,160000,6,160000,7,160000,8,160000,6,600000,7,600000,8,600000,8,840000
7,5,60000,5,100000,6,100000,7,100000,6,200000,7,200000,8,200000,9,200000,7,700000,8,700000,9,700000,8,840000
8,5,80000,5,120000,6,120000,7,120000,6,250000,7,250000,8,250000,9,250000,7,800000,8,800000,9,800000,8,840000
9,6,100000,6,150000,7,150000,8,150000,7,300000,8,300000,9,300000,10,300000,8,1000000,9,1000000,10,1000000,9,960000
10,6,100000,6,150000,7,150000,8,150000,7,300000,8,300000,9,300000,10,300000,8,1000000,9,1000000,10,1000000,9,960000
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
