﻿"﻿变量名",type,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,title,title_tw,title_en,title_vn,title_kr,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,vipReq_tw,vipReq_en,vipReq_kr,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,"""""",1,0,0,0,0,<cn;tw;en;vn;th;kr>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务描述,任务描述,任务描述_越南,任务描述_韩,任务图标,任务标题,任务标题,任务标题,任务标题_越南,任务标题_韩,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,vip限制,vip限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1000,0,Trainer level reaches level 1,主角等級達到1級,Trainer level reaches level 1,Đẳng cấp đến 1 Cấp,주인공 1레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,1,,1,1,,,,,,2,1000,1,,{gold=2500;rmb=10},10000
1001,0,Trainer level reaches level 2,主角等級達到2級,Trainer level reaches level 2,Đẳng cấp đến 2 Cấp,주인공 2레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,2,,2,1,,,,,,4,1000,2,,{gold=2500;rmb=10},10000
1002,0,Trainer level reaches level 3,主角等級達到3級,Trainer level reaches level 3,Đẳng cấp đến 3 Cấp,주인공 3레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,3,,3,1,,,,,,1,1000,3,,{gold=2500;rmb=10},10000
1003,0,Trainer level reaches level 4,主角等級達到4級,Trainer level reaches level 4,Đẳng cấp đến 4 Cấp,주인공 4레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,4,,4,1,,,,,,2,1000,4,,{gold=2500;rmb=10},10000
1004,0,Trainer level reaches level 5,主角等級達到5級,Trainer level reaches level 5,Đẳng cấp đến 5 Cấp,주인공 5레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,5,,5,1,,,,,,3,1000,5,,{gold=2500;rmb=10},10000
1005,0,Trainer level reaches level 6,主角等級達到6級,Trainer level reaches level 6,Đẳng cấp đến 6 Cấp,주인공 6레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,6,,6,1,,,,,,4,1000,6,,{gold=2500;rmb=10},10000
1006,0,Trainer level reaches level 7,主角等級達到7級,Trainer level reaches level 7,Đẳng cấp đến 7 Cấp,주인공 7레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,7,,7,1,,,,,,5,1000,7,,{gold=2500;rmb=10},10000
1007,0,Trainer level reaches level 8,主角等級達到8級,Trainer level reaches level 8,Đẳng cấp đến 8 Cấp,주인공 8레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,8,,8,1,,,,,,6,1000,8,,{gold=2500;rmb=10},10000
1008,0,Trainer level reaches level 9,主角等級達到9級,Trainer level reaches level 9,Đẳng cấp đến 9 Cấp,주인공 9레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,9,,9,1,,,,,,3,1000,9,,{gold=2500;rmb=10},10000
1009,0,Trainer level reaches level 10,主角等級達到10級,Trainer level reaches level 10,Đẳng cấp đến 10 Cấp,주인공 10레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,10,,10,1,,,,,,4,1000,10,,{gold=4000;rmb=15},10000
1010,0,Trainer level reaches level 11,主角等級達到11級,Trainer level reaches level 11,Đẳng cấp đến 11 Cấp,주인공 11레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,11,,11,1,,,,,,1,1000,11,,{gold=4000;rmb=15},10000
1011,0,Trainer level reaches level 12,主角等級達到12級,Trainer level reaches level 12,Đẳng cấp đến 12 Cấp,주인공 12레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,12,,12,1,,,,,,3,1000,12,,{gold=4000;rmb=15},10000
1012,0,Trainer level reaches level 13,主角等級達到13級,Trainer level reaches level 13,Đẳng cấp đến 13 Cấp,주인공 13레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,13,,13,1,,,,,,0,1000,13,,{gold=4000;rmb=15},10000
1013,0,Trainer level reaches level 14,主角等級達到14級,Trainer level reaches level 14,Đẳng cấp đến 14 Cấp,주인공 14레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,14,,14,1,,,,,,2,1000,14,,{gold=4000;rmb=15},10000
1014,0,Trainer level reaches level 15,主角等級達到15級,Trainer level reaches level 15,Đẳng cấp đến 15 Cấp,주인공 15레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,15,,15,1,,,,,,2,1000,15,,{gold=4000;rmb=15},10000
1015,0,Trainer level reaches level 16,主角等級達到16級,Trainer level reaches level 16,Đẳng cấp đến 16 Cấp,주인공 16레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,16,,16,1,,,,,,3,1000,16,,{gold=4000;rmb=15},10000
1016,0,Trainer level reaches level 17,主角等級達到17級,Trainer level reaches level 17,Đẳng cấp đến 17 Cấp,주인공 17레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,17,,17,1,,,,,,5,1000,17,,{gold=4000;rmb=15},10000
1017,0,Trainer level reaches level 18,主角等級達到18級,Trainer level reaches level 18,Đẳng cấp đến 18 Cấp,주인공 18레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,18,,18,1,,,,,,5,1000,18,,{gold=4000;rmb=15},10000
1018,0,Trainer level reaches level 19,主角等級達到19級,Trainer level reaches level 19,Đẳng cấp đến 19 Cấp,주인공 19레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,19,,19,1,,,,,,2,1000,19,,{gold=4000;rmb=15},10000
1019,0,Trainer level reaches level 20,主角等級達到20級,Trainer level reaches level 20,Đẳng cấp đến 20 Cấp,주인공 20레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,20,,20,1,,,,,,2,1000,20,,{gold=5000;rmb=20},10000
1020,0,Trainer level reaches level 21,主角等級達到21級,Trainer level reaches level 21,Đẳng cấp đến 21 Cấp,주인공 21레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,21,,21,1,,,,,,1,1000,21,,{gold=5000;rmb=20},10000
1021,0,Trainer level reaches level 22,主角等級達到22級,Trainer level reaches level 22,Đẳng cấp đến 22 Cấp,주인공 22레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,22,,22,1,,,,,,1,1000,22,,{gold=5000;rmb=20},10000
1022,0,Trainer level reaches level 23,主角等級達到23級,Trainer level reaches level 23,Đẳng cấp đến 23 Cấp,주인공 23레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,23,,23,1,,,,,,2,1000,23,,{gold=5000;rmb=20},10000
1023,0,Trainer level reaches level 24,主角等級達到24級,Trainer level reaches level 24,Đẳng cấp đến 24 Cấp,주인공 24레벨 달성,city/task/icon_actionup.png,Growth Rewards,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,1,24,,24,1,,,,,,3,1000,24,,{gold=5000;rmb=20},10000
