"﻿变量名",title,title_tw,title_en,title_vn,title_kr,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_tw,message_en,needNotice_vn,message_kr,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
默认值,,,,,,<cn;tw;en;vn;th;kr>,txt,<92;153;112>,,,,1,,1,,,,,,1,0,"""""","""""","""""","""""","""""",,,,,,,,,,,,0,0,"""""",0,0,"""""",0,0,""""""
ID,头衔名称,頭銜名稱,头衔名称,头衔名称_越南,头衔名称_韩,语言区域,显示类型,称号颜色,头衔底资源路径,头衔资源路径,特效称号大小,称号所属类型,相同头衔的Id,称号类别 (1=role; 2=union),称号来源,物品ID,所属系统参数,名次,获得提醒,一直显示,有效期,上线广播台词,上線廣播臺詞,上线广播台词,上线广播台词_越南,上线广播台词_韩,获取条件说明,获取条件说明,获取条件说明,获取条件说明_韩,获取条件计数器,获取条件的计数,获取条件的参数2,获取条件2说明,获取条件2计数器,获取条件2的计数,获取条件2的参数2,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值
1,Pallet Town Resident,真新人,Pallet Town Resident,title4044404,루키,,txt,<92;153;112>,config/title/img_green@.png,config/title/zxr@.png,,2,,,,,,,,,,,,,,,Obtained when 1v10,lv10時獲得,Obtained when 1v10,10레벨 획득,1,10,,,,,,0,9,30,0,10,30,,,
2,Super Pallet Town Resident,超級真新人,Super Pallet Town Resident,title4044404,슈퍼 루키,,pic,,config/title/img_red@.png,config/title/txt_cjzxr.png,,2,,,,,,,,,,,,,,,Get it at Lv. 99,lv.99時獲得,Get it at Lv. 99,99레벨 획득,1,99,,,,,,0,7,500,0,8,500,,,
3,Please guide me along,請多關照,Please guide me along,title4044404,잘 부탁합니다,,txt,<92;153;112>,config/title/img_green@.png,config/title/qdgz@.png,,2,,,,,,,,,,,,,,,Get it at Lv. 1,lv.1時獲得,Get it at Lv. 1,1레벨 획득,1,1,,,,,,0,1,100,,,,,,
4,New training,新的歷練,New training,title4044404,새로운 경험,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xdll@.png,,2,,,,,,,,,,,,,,,Get it at Lv. 50,lv.50時獲得,Get it at Lv. 50,50레벨 획득,1,50,,,,,,0,13,30,,,,,,
5,Adventure Rookie,冒險新人,Adventure Rookie,title4044404,모험 신인,,txt,<92;153;112>,config/title/img_green@.png,config/title/mxxr@.png,,2,,,,,,,,,,,,,,,Clear 5-10,通關5-10,Clear 5-10,5-10 클리어,2,10510,,,,,,0,1,300,,,,,,
6,Adventure Expert,冒險專家,Adventure Expert,title4044404,모험 전문가,,pic,,config/title/img_red@.png,config/title/txt_mxzj.png,,2,,,,,,,,,,,,,,,Clear 12-10,通關12-10,Clear 12-10,12-10 클리어,2,11210,,,,,,0,7,100,0,8,100,,,
7,Passionate Collector,熱情收藏家,Passionate Collector,title4044404,열정적인 수집가,,txt,<61;138;153>,config/title/img_blue@.png,config/title/rqscj@.png,,2,,,,,,,,,,,,,,,Unlock 50 Pokédex entries,解鎖圖鑒50個,Unlock 50 Pokédex entries,도감 50개 개방,76,50,,,,,,0,1,500,,,,,,
8,Frenzy Collector,激進收藏家,Frenzy Collector,title4044404,진격의 수집가,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jjscj@.png,,2,,,,,,,,,,,,,,,Unlock 100 Pokédex entries,解鎖圖鑒100個,Unlock 100 Pokédex entries,도감 100개 개방,76,100,,,,,,0,1,1000,,,,,,
9,Fanatic Collector,狂熱收藏家,Fanatic Collector,title4044404,정열의 수집가,,pic,,config/title/img_red@.png,config/title/txt_krscj.png,,2,,,,,,,,,,,,,,,Unlock 200 Pokédex entries,解鎖圖鑒200個,Unlock 200 Pokédex entries,도감 200개 개방,76,200,,,,,,0,1,2000,,,,,,
10,Steel Body,鋼鐵之軀,Steel Body,title4044404,강철의 몸,,pic,,config/title/img_red@.png,config/title/txt_gtzq.png,,2,,,,,,,,,,,,,,,Clear level 50 of Endless Challenge,無盡挑戰通關第50關,Clear level 50 of Endless Challenge,무한 도전 스테이지50 클리어,77,100050,,,,,,0,9,100,0,10,100,,,
11,Fanatic Fighter,好戰者,Fanatic Fighter,Dân quân,전투광,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hzz@.png,,2,,,,,,,,,,,,,,,Obtain a total of 100 victories in the arena,競技場累積戰鬥100次,Obtain a total of 100 victories in the arena,아레나 누적 100회 전투,41,100,,,,,,0,7,60,0,8,60,,,
12,Empty Pocket,口袋空空,Empty Pocket,title4044404,빈 주머니,,txt,<138;92;153>,config/title/img_purple@.png,config/title/kdkk@.png,,2,,,,,,,,,,,,,,,Bring in fortunes 200 times,累積招財200次,Bring in fortunes 200 times,재물 누적 200회,18,200,,,,,,0,9,100,0,10,100,,,
