变量名,level,needExp,addAttrs
默认值,0,99999999,{}
ID,等级,升到当前等级所需经验值,属性加成
1,1,0,{7=500;8=500;9=1%;10=1%;1=100}
2,2,10,{9=1%;10=1%;7=500;8=500}
3,3,20,{7=500;8=500;1=100}
4,4,30,{7=500;8=500;9=1%;10=1%;1=100;13=5}
5,5,40,{7=500;8=500}
6,6,50,{1=100}
7,7,60,{9=1%;10=1%;7=500;8=500}
8,8,70,{7=500;8=500;1=100}
9,9,80,{7=500;8=500;9=1%;10=1%;1=100;13=5}
10,10,90,{7=500;8=500}
11,11,100,{1=100}
12,12,110,{7=500;8=500;9=1%;10=1%;1=100}
13,13,120,{9=1%;10=1%;7=500;8=500}
14,14,130,{7=500;8=500;1=100}
15,15,140,{7=500;8=500;9=1%;10=1%;1=100;13=5}
16,16,150,{7=500;8=500}
17,17,160,{1=100}
18,18,170,{7=500;8=500;9=1%;10=1%;1=100}
19,19,180,{9=1%;10=1%;7=500;8=500}
20,20,190,{7=500;8=500;1=100}
21,21,200,{7=500;8=500;9=1%;10=1%;1=100;13=5}
22,22,210,{7=500;8=500}
23,23,220,{1=100}
24,24,230,{7=500;8=500;9=1%;10=1%;1=100}
25,25,240,{9=1%;10=1%;7=500;8=500}
26,26,250,{7=500;8=500;1=100}
27,27,260,{7=500;8=500;9=1%;10=1%;1=100;13=5}
28,28,270,{7=500;8=500}
29,29,280,{1=100}
30,30,290,{7=500;8=500;9=1%;10=1%;1=100}
31,31,300,{9=1%;10=1%;7=500;8=500}
32,32,310,{7=500;8=500;1=100}
33,33,320,{7=500;8=500;9=1%;10=1%;1=100;13=5}
34,34,330,{7=500;8=500}
35,35,340,{1=100}
36,36,350,{7=500;8=500;9=1%;10=1%;1=100}
37,37,360,{9=1%;10=1%;7=500;8=500}
38,38,370,{7=500;8=500;1=100}
39,39,380,{7=500;8=500;9=1%;10=1%;1=100;13=5}
40,40,390,{7=500;8=500}
41,41,400,{1=100}
42,42,410,{7=500;8=500;9=1%;10=1%;1=100}
43,43,420,{9=1%;10=1%;7=500;8=500}
44,44,430,{7=500;8=500;1=100}
45,45,440,{7=500;8=500;9=1%;10=1%;1=100;13=5}
46,46,450,{7=500;8=500}
47,47,460,{1=100}
48,48,470,{7=500;8=500;9=1%;10=1%;1=100}
49,49,480,{9=1%;10=1%;7=500;8=500}
50,50,490,{7=500;8=500;1=100}
51,51,500,{7=500;8=500;9=1%;10=1%;1=100;13=5}
52,52,510,{7=500;8=500}
53,53,520,{1=100}
54,54,530,{7=500;8=500;9=1%;10=1%;1=100}
55,55,540,{9=1%;10=1%;7=500;8=500}
56,56,550,{7=500;8=500;1=100}
57,57,560,{7=500;8=500;9=1%;10=1%;1=100;13=5}
58,58,570,{7=500;8=500}
59,59,580,{1=100}
60,60,590,{7=500;8=500;9=1%;10=1%;1=100}
61,61,600,{9=1%;10=1%;7=500;8=500}
62,62,610,{7=500;8=500;1=100}
63,63,620,{7=500;8=500;9=1%;10=1%;1=100;13=5}
64,64,630,{7=500;8=500}
65,65,640,{1=100}
66,66,650,{7=500;8=500;9=1%;10=1%;1=100}
67,67,660,{9=1%;10=1%;7=500;8=500}
68,68,670,{7=500;8=500;1=100}
69,69,680,{7=500;8=500;9=1%;10=1%;1=100;13=5}
70,70,690,{7=500;8=500}
71,71,700,{1=100}
72,72,710,{7=500;8=500;9=1%;10=1%;1=100}
73,73,720,{9=1%;10=1%;7=500;8=500}
74,74,730,{7=500;8=500;1=100}
75,75,740,{7=500;8=500;9=1%;10=1%;1=100;13=5}
76,76,750,{7=500;8=500}
77,77,760,{1=100}
78,78,770,{7=500;8=500;9=1%;10=1%;1=100}
79,79,780,{9=1%;10=1%;7=500;8=500}
80,80,790,{7=500;8=500;1=100}
81,81,800,{7=500;8=500;9=1%;10=1%;1=100;13=5}
82,82,810,{7=500;8=500}
83,83,820,{1=100}
84,84,830,{7=500;8=500;9=1%;10=1%;1=100}
85,85,840,{9=1%;10=1%;7=500;8=500}
86,86,850,{7=500;8=500;1=100}
87,87,860,{7=500;8=500;9=1%;10=1%;1=100;13=5}
88,88,870,{7=500;8=500}
89,89,880,{1=100}
90,90,890,{7=500;8=500;9=1%;10=1%;1=100}
91,91,900,{9=1%;10=1%;7=500;8=500}
92,92,910,{7=500;8=500;1=100}
93,93,920,{7=500;8=500;9=1%;10=1%;1=100;13=5}
94,94,930,{7=500;8=500}
95,95,940,{1=100}
96,96,950,{7=500;8=500;9=1%;10=1%;1=100}
97,97,960,{9=1%;10=1%;7=500;8=500}
98,98,970,{7=500;8=500;1=100}
99,99,980,{7=500;8=500;9=1%;10=1%;1=100;13=5}
100,100,990,{7=500;8=500}
