"﻿变量名",name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",102,10,5,0,"""""","""""",2,{},{width=1; height=1},<>,{width=1;height=1;off={offWidth=0;offHeight=0}},{x=0; y=0;x2=0;y2=0},5,0,FALSE,<cn;tw;en;kr>
ID,名字,名字,名字,名字,名字,描述文本,描述文本,描述文本,描述文本,描述文本,分类,最大拥有数量,经验增加,系列,图标,资源,初始资源缩放倍率,资源属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity5、可行走walk）,所占空间(格子为单位),点击响应范围,主要是用于墙上物品绘制选中范围,初始位置偏移量,位置，用于调整顺序,稀有度（1为稀有）,用于数量显示为当前/当前,语言区域
,Floor ID: 70001-70500,,,,,,,,,,,,,,,,,,,,,,,,,
70001,Lake Blue Plaid,湖藍格子,Lake Blue Plaid,Ô vuông xanh biển,푸른 칸,"The most common style on weekdays, full of breath of life",平日里最稀松平常的样式，充满了生活气息,,,,101,1,,101,config/item/furniture/icon_diban.png,city/town/furniture/floor70001.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},{x=6;y=6;width=18; height=18;wallHeight=5},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carpet ID: 70501-71000,,,,,,,,,,,,,,,,,,,,,,,,,
70501,Simple grid - blue,,,,,"With quiet and fresh blue as the main tone, the cotton and linen materials bring a soft touch to the carpet",,,,,102,,,102,config/item/furniture/icon_ditan.png,city/town/furniture/img_ditan.png,2,{flip = true},{width=5; height=4},<<1;121>;<200;220>;<434;101>;<241;2>>,,{x= -480;y = 0},,,,
70502,Simple grid - white,,,,,"With simple pure white as the main tone, the cotton and linen materials bring a soft touch to the carpet",,,,,102,,,104,config/item/furniture/icon_ditan2.png,city/town/furniture/img_ditan2.png,2,{flip = true},{width=6; height=4},<<0;110>;<222;1>;<366;76>;<145;183>>,,{x= -447;y = 16},,,,
70503,Poke Ball Carpet,,,,,"It is a circular carpet, exactly the same style as the poke balls used by the trainers",,,,,102,,,,config/item/furniture/icon_ditan1.png,city/town/furniture/img_ditan1.png,2,{flip = true},{width=4; height=4},<<118;112>;<4;73>;<43;14>;<189;15>;<214;78>>,,{x= -225;y = 48},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,{flip = true;left=true},,,,,,,,
,,,,,,,,,,,,,,,,,,{flip = true;right=true},,,,,,,,
,Wallpaper ID: 71001-71500,,,,,,,,,,,,,,,,,,,,,,,,,
71001,Lake blue wallpaper,湖藍牆紙,,Giấy dán tường xanh biển,푸른 벽지,"The most common style on weekdays, full of breath of life",平日里最稀松平常的样式，充满了生活气息,,,,201,1,,102,config/item/furniture/icon_qiangzhi.png,city/town/furniture/wall71001.tmx,,,{width=12; height=5},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Function Facility ID: 71501-72000,,,,,,,,,,,,,,,,,,,,,,,,,
71501,dish storage cabinet,,,,,The wall-mounted method is more convenient to take and saves space,,,,,202,,,108,config/item/furniture/icon_chugui2.png,city/town/furniture/img_chugui2.png,2,{flip = true;right=true},{width=4; height=2},<<5;68>;<0;114>;<42;128>;<158;91>;<182;51>;<164;4>>,,{x= -385;y = 0},,,,
71502,sundries wall cabinet,,,,,"Small cabinet, but can hold a lot of things",,,,,202,,,108,config/item/furniture/icon_chugui3.png,city/town/furniture/img_chugui3.png,2,{flip = true;left=true},{width=2; height=2},<<0;57>;<3;10>;<65;9>;<97;28>;<96;73>;<66;86>>,,{x= 0;y = 0},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Door and window ID: 72001-72500,,,,,,,,,,,,,,,,,,,,,,,,,
