变量名,baseID,level,baseType,efficient,inventory,energyExpend,item,orderCostItem,orderCostTime,unlockSeat,slotCapacityAdd,slotStockAdd,slotTimeAdd
默认值,0,0,0,0,0,999,0,{},99999,3,0,0,""""""
ID,所属基地ID 3炼金工厂 4金融中心,等级,基地生产类型 1持续生产型   2订单加工型,生产效率 单位  个/时,库存,精灵值班精力消耗 单位 点/时,生产的道具,消耗道具 订单加工型基地,产出耗时 订单加工基地产出1个道具时间 订单加工型基地,解锁的精灵放置数量,卡槽产能加成,卡槽库存加成,卡槽时间加成
1,3,1,1,2,100,5,11,,,,1,10,卡槽时间加成
2,3,2,1,3,100,5,11,,,,1,20,
3,3,3,1,4,100,5,11,,,,2,30,
4,3,4,1,5,100,5,11,,,,2,40,
5,3,5,1,6,100,5,11,,,,3,50,
6,3,6,1,7,100,5,11,,,,3,60,
7,3,7,1,8,100,5,11,,,,4,70,
8,3,8,1,9,100,5,11,,,,4,80,
9,3,9,1,10,100,5,11,,,,5,90,
10,3,10,1,11,100,5,11,,,,5,100,
11,4,1,1,2,100,5,11,,,,1,10,
12,4,2,1,3,100,5,11,,,,1,20,
13,4,3,1,4,100,5,11,,,,2,30,
14,4,4,1,5,100,5,11,,,,2,40,
15,4,5,1,6,100,5,11,,,,3,50,
16,4,6,1,7,100,5,11,,,,3,60,
17,4,7,1,8,100,5,11,,,,4,70,
18,4,8,1,9,100,5,11,,,,4,80,
19,4,9,1,10,100,5,11,,,,5,90,
20,4,10,1,11,100,5,11,,,,5,100,
