"﻿变量名",name,name_tw,name_en,name_kr,icon,needExp,attrs,privilege,skills,dailyAward,isShowNext
默认值,"""""","""""","""""","""""","""""",100,{},{},<>,{gold=100},0
等级,称谓名字,称谓名字,称谓名字,称谓名字_韩,段位资源,所需经验,属性加成（{属性ID=数值}）,固定特权({权限id: 数值}),可升级特权,每日奖励,特选升级属性按钮是否显示，1显示0不显示，默认0
1,Rookie Adventure Pass,新手冒險執照,Rookie Adventure Pass,초보자 모험 허가증,city/develop/train/img_xstxz.png,0,{1=260;13=20;7=95;9=25;8=95;10=25},{20=10},<1;2>,{gold=20000;11=10},
2,Rookie Adventure Pass,見習者冒險執照,Rookie Adventure Pass,견습 모험 허가증,city/develop/train/img_jxtxz.png,150,{1=550;13=30;7=165;9=55;8=165;10=55},{1=1},<3;4>,{gold=24750;11=20},
3,Qualified Adventure Pass,適格者冒險執照,Qualified Adventure Pass,공인 모험 허가증,city/develop/train/img_sgztxz.png,300,{1=1200;13=35;7=360;9=120;8=360;10=120},{5=2},<5;6;7>,{gold=30000;11=30},
4,Professor Adventure Pass,博學者冒險執照,Professor Adventure Pass,박사 모험 허가증,city/develop/train/img_bxtxz.png,410,{1=1950;13=40;7=585;9=195;8=585;10=195},{5=4},<8;9;10>,{gold=35750;12=13},
5,Expert Adventure Pass,資深者冒險執照,Expert Adventure Pass,탐구자 모험 허가증,city/develop/train/img_zstxz.png,625,{1=2800;13=45;7=840;9=280;8=840;10=280},{20=50},<11;12;13>,{gold=42000;12=16},
6,Heroic Adventure Pass,勇者冒險執照,Heroic Adventure Pass,용자 모험 허가증,city/develop/train/img_yztxz.png,700,{1=3750;13=50;7=1125;9=375;8=1125;10=375},{5=8},<14;15;16;17>,{gold=48750;12=20},
7,Fearless Trainer,無畏者級訓練師,Fearless Trainer,마스터급 트레이너,city/develop/train/img_xstxz.png,850,{1=4800;13=55;7=1440;9=480;8=1440;10=480},{4=5},<18;19;20;21>,{gold=56000;13=7},
8,Gym Leader-level Trainer,館長級訓練師,Gym Leader-level Trainer,관장급 트레이너,city/develop/train/img_xstxz.png,1150,{1=5950;13=60;7=1785;9=595;8=1785;10=595},{27=1},<22;23;24;25>,{gold=63750;13=8},
9,Gym Leader Adventure Pass,館長冒險執照,Gym Leader Adventure Pass,관장 모험 허가증,kapai/kapai7_12.skel,1050,{1=7200;13=65;7=2160;9=720;8=2160;10=720},{15=0.05},<26;27;28;29>,{gold=72000;13=9},
10,Master Adventure Pass,大師冒險執照,Master Adventure Pass,마스터 모험 허가증,kapai/kapai7_12.skel,1500,{1=8550;13=70;7=2565;9=855;8=2565;10=855},{24=0.05},<30;31;32;33>,{gold=80750;14=3},1
11,Challenger Adventure Pass,王者冒險執照,Challenger Adventure Pass,챌린저 모험 허가증,kapai/kapai7_12.skel,1500,{1=10000;13=75;7=3000;9=1000;8=3000;10=1000},{2=10},<34;35;36;37>,{gold=90000;14=3},1
12,Heroic Adventure Pass,霸主冒險執照,Heroic Adventure Pass,패왕 모험 허가증,kapai/kapai7_12.skel,1700,{1=11550;13=80;7=3465;9=1155;8=3465;10=1155},{10=1},<38;39;40;41>,{gold=99750;14=4},1
