变量名,range,award
默认值,<>,{}
ID,排名区间,排名奖励
1,<1;1>,{coin3=400;gold=80000;932=3}
2,<2;2>,{coin3=380;gold=75000;932=3}
3,<3;3>,{coin3=360;gold=70000;932=3}
4,<4;4>,{coin3=340;gold=65000;932=3}
5,<5;5>,{coin3=320;gold=60000;932=3}
6,<6;6>,{coin3=300;gold=55000;932=3}
7,<7;7>,{coin3=280;gold=50000;932=3}
8,<8;8>,{coin3=260;gold=45000;932=3}
9,<9;9>,{coin3=250;gold=40000;932=3}
10,<10;10>,{coin3=240;gold=38000;932=3}
11,<11;12>,{coin3=230;gold=36000;932=2}
12,<13;15>,{coin3=220;gold=34000;932=2}
13,<16;20>,{coin3=210;gold=32000;932=2}
14,<21;999>,{coin3=200;gold=30000;932=2}
