变量名,rankMax,award,point,range
默认值,,{},0,
ID,最大排名,排名奖励,获得积分,区间
1,1,{5504=12;gold=600000;13=70;coin3=1000},20000,<1;2>
2,2,{5504=10;gold=540000;13=65;coin3=900},10000,<2;3>
3,3,{5504=9;gold=480000;13=60;coin3=800},3000,<3;4>
4,4,{5504=8;gold=420000;13=55;coin3=800},3000,<4;5>
5,5,{5504=7;gold=360000;13=50;coin3=700},100,<5;6>
6,6,{5504=7;gold=300000;13=45;coin3=700},100,<6;7>
7,7,{5504=6;gold=280000;13=40;coin3=650},100,<7;8>
8,8,{5504=6;gold=260000;13=35;coin3=650},100,<8;9>
9,16,{5504=5;gold=200000;13=30;coin3=600},0,<9;16>
10,32,{5504=5;gold=180000;13=25;coin3=550},0,<16;32>
11,99999,{5504=4;gold=160000;13=20;coin3=500},0,<32;99999>
