变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,Fast Dragon Fragment,{20751=2},{coin10=2200},,,,,,<150;150>,,,,<cn;en;tw;kr>
,Metagross Fragment,{21901=2},{coin10=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
103,Shard of Zoroa,{22821=2},{coin10=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
104,Snow Boy Fragment,{21851=2},{coin10=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
105,Wrestling Hawkman Fragment,{23511=2},{coin10=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
111,Fast Dragon Fragment,{20751=2},{coin10=2200},,,,,,<1;150>,,,,<cn;en;tw;kr>
112,Frozen Bird Fragments,{20721=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
113,Shard of Zoroa,{22821=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
114,Black-Eyed Crocodile Fragment,{22721=2},{coin10=1500},,,,,,<1;150>,,,,<cn;en;tw;kr>
115,Buzzing Bat Shards,{23591=2},{coin10=1500},,,,,,<1;150>,,,,<cn>
,,,,,,,,,,,,,
131,Snow Boy Fragment,{21851=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
132,Wrestling Hawkman Fragment,{23511=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
133,screw gopher pieces,{22611=2},{coin10=600},,,,,,<1;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Baby Dragon Fragment,{21891=2},{coin11=1200},,,,,,,,,,<cn;en;tw;kr>
,Fragment of Young Geras,{21251=2},{coin11=1200},,,,,,,,,,<cn;en;tw;kr>
,Kitty Monster Fragment,{22071=2},{coin11=720},,,,,,,,,,<cn;en;tw;kr>
,Ice Dragon Fragment,{23501=2},{coin11=720},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
600,experience potion,{15=1},{coin10=200},,,,,,,,,,<cn;en;tw;kr>
610,gold,{514=15},{coin10=500},,,,,,,,,,<cn;en;tw;kr>
620,energy potion,{5000=20},{coin10=1000},,,,,,,,,,<cn;en;tw;kr>
630,blue potential stone,{850=50},{coin10=500},,,,,,,,,,<cn;en;tw;kr>
640,Purple potential stone,{851=20},{coin10=300},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1001,Mei,{2222=1},{coin10=20000},,,,,,<1;150>,4,1,,<cn;en;tw;kr>
