"﻿变量名",_vipLevel,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc1_tw,desc2_tw,desc3_tw,desc4_tw,desc5_tw,desc6_tw,desc7_tw,desc8_tw,desc9_tw,desc10_tw,desc11_tw,desc1_en,desc2_en,desc3_en,desc4_en,desc5_en,desc6_en,desc7_en,desc8_en,desc9_en,desc10_en,desc11_en,desc1_kr,desc2_kr,desc3_kr,desc4_kr,desc5_kr,desc6_kr,desc7_kr,desc8_kr,desc9_kr,desc10_kr,desc11_kr,desc1_vn,desc2_vn,desc3_vn,desc4_vn,desc5_vn,desc6_vn,desc7_vn,desc8_vn,desc9_vn,desc10_vn,desc11_vn
默认值,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,vip等级（保证是ID-1）,描述1,描述2,描述3,描述4,描述5,描述6,描述7,描述8,描述9,描述10,描述11,描述1,描述2,描述3,描述4,描述5,描述6,描述7,描述8,描述9,描述10,描述11,描述1,描述2,描述3,描述4,描述5,描述6,描述7,描述8,描述9,描述10,描述11,描述1_韩,描述2_韩,描述3_韩,描述4_韩,描述5_韩,描述6_韩,描述7_韩,描述8_韩,描述9_韩,描述10_韩,描述11_韩,描述1_越南,描述2_越南,描述3_越南,描述4_越南,描述5_越南,描述6_越南,描述7_越南,描述8_越南,描述9_越南,描述10_越南,描述11_越南
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,"Purchase a total of  #C0xea7004#0#C0x473E37# diamonds to enjoy the following: ",V0 Free Pack: #C0xea7004#,Energy can be purchased #C0xea7004#3#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#5#C0x473E37# times daily,Elite levels can be reset #C0xea7004#1#C0x473E37# times daily,Bag space can be purchased #C0xea7004#10#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#10#C0x473E37# times daily,,,,,累計儲值#C0xea7004#0#C0x473E37#鑽石即可享受以下特權:,V0免費大禮包:#C0xea7004#,每日可購買體力#C0xea7004#3#C0x473E37#次,每日可聚寶#C0xea7004#5#C0x473E37#次,每日可重置精英關卡#C0xea7004#1#C0x473E37#次,精靈背包容量可購買#C0xea7004#10#C0x473E37#次,每日探險器可尋寶#C0xea7004#10#C0x473E37#次,,,,,"Purchase a total of  #C0xea7004#0#C0x473E37# diamonds to enjoy the following: ",V0 Free Pack: #C0xea7004#,Energy can be purchased #C0xea7004#3#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#5#C0x473E37# times daily,Elite levels can be reset #C0xea7004#1#C0x473E37# times daily,Bag space can be purchased #C0xea7004#10#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#10#C0x473E37# times daily,,,,,"#C0xea7004#0#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V0 무료 특별 선물: #C0xea7004#,매일 체력 #C0xea7004#3#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#5#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#1#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#10#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#10#C0x473E37#회 가능,,,,,404404,404404,404404,404404,404404,404404,404404,,,,
2,1,"Purchase a total of  #C0xea7004#60#C0x473E37# diamonds to enjoy the following: ",V1 Grand Pack: #C0xea7004# Breakthrough Pack,Energy can be purchased #C0xea7004#4#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#10#C0x473E37# times daily,Elite levels can be reset #C0xea7004#1#C0x473E37# times daily,Bag space can be purchased #C0xea7004#15#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#15#C0x473E37# times daily,,,,,累計儲值#C0xea7004#60#C0x473E37#鑽石即可享受以下特權:,V1大禮包:#C0xea7004#突破禮包,每日可購買體力#C0xea7004#4#C0x473E37#次,每日可聚寶#C0xea7004#10#C0x473E37#次,每日可重置精英關卡#C0xea7004#1#C0x473E37#次,精靈背包容量可購買#C0xea7004#15#C0x473E37#次,每日探險器可尋寶#C0xea7004#15#C0x473E37#次,,,,,"Purchase a total of  #C0xea7004#60#C0x473E37# diamonds to enjoy the following: ",V1 Grand Pack: #C0xea7004# Breakthrough Pack,Energy can be purchased #C0xea7004#4#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#10#C0x473E37# times daily,Elite levels can be reset #C0xea7004#1#C0x473E37# times daily,Bag space can be purchased #C0xea7004#15#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#15#C0x473E37# times daily,,,,,"#C0xea7004#60#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V1 특별 선물: #C0xea7004#돌파 선물,매일 체력 #C0xea7004#4#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#10#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#1#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#15#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#15#C0x473E37#회 가능,,,,,404404,404404,404404,404404,404404,404404,404404,,,,
3,2,"Purchase a total of  #C0xea7004#300#C0x473E37# diamonds to enjoy the following: ",V2 Grand Pack:#C0xea7004# Growth Enhancement Pack,Energy can be purchased #C0xea7004#5#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#15#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#20#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#20#C0x473E37# times daily,Consist all contents of V1,,,,累計儲值#C0xea7004#300#C0x473E37#鑽石即可享受以下特權:,V2大禮包:#C0xea7004#成長助力禮包,每日可購買體力#C0xea7004#5#C0x473E37#次,每日可聚寶#C0xea7004#15#C0x473E37#次,每日可重置精英關卡#C0xea7004#2#C0x473E37#次,精靈背包容量可購買#C0xea7004#20#C0x473E37#次,每日探險器可尋寶#C0xea7004#20#C0x473E37#次,包含V1所有內容,,,,"Purchase a total of  #C0xea7004#300#C0x473E37# diamonds to enjoy the following: ",V2 Grand Pack:#C0xea7004# Growth Enhancement Pack,Energy can be purchased #C0xea7004#5#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#15#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#20#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#20#C0x473E37# times daily,Consist all contents of V1,,,,"#C0xea7004#300#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V2 특별 선물: #C0xea7004#성장 조력 선물,매일 체력 #C0xea7004#5#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#15#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#2#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#20#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#20#C0x473E37#회 가능,V1 모든 특권 내용 포함,,,,404404,404404,404404,404404,404404,404404,404404,404404,,,
4,3,"Purchase a total of  #C0xea7004#600#C0x473E37# diamonds to enjoy the following: ",V 3Grand Pack: #C0xea7004#Greninja Shard,Unlock #C0xea7004# Level Fund to get 10x rewards in return,#C0xea7004#Skill point recovery time is reduced to1pts/60s,Energy can be purchased #C0xea7004#6#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#20#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#25#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#25#C0x473E37# times daily,Contains all privileges for V2 and below,,累計儲值#C0xea7004#600#C0x473E37#鑽石即可享受以下特權:,V3大禮包:#C0xea7004#甲賀忍蛙碎片,解鎖#C0xea7004#等級基金10倍返利,#C0xea7004#技能點回復時間降至1點/60s,每日可購買體力#C0xea7004#6#C0x473E37#次,每日可聚寶#C0xea7004#20#C0x473E37#次,每日可重置精英關卡#C0xea7004#2#C0x473E37#次,精靈背包容量可購買#C0xea7004#25#C0x473E37#次,每日探險器可尋寶#C0xea7004#25#C0x473E37#次,包含V2及以下所有特權內容,,"Purchase a total of  #C0xea7004#600#C0x473E37# diamonds to enjoy the following: ",V 3Grand Pack: #C0xea7004#Greninja Shard,Unlock #C0xea7004# Level Fund to get 10x rewards in return,#C0xea7004#Skill point recovery time is reduced to1pts/60s,Energy can be purchased #C0xea7004#6#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#20#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#25#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#25#C0x473E37# times daily,Contains all privileges for V2 and below,,"#C0xea7004#600#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V3 특별 선물: #C0xea7004#개굴닌자 조각,#C0xea7004#레벨 기금 10배 반환 개방,#C0xea7004#스킬 포인트 회복 시간이 60초당 1포인트로 감소,매일 체력 #C0xea7004#6#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#20#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#2#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#25#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#25#C0x473E37#회 가능,V2 이하의 모든 특권 내용 포함,,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404,
5,4,"Purchase a total of  #C0xea7004#1000#C0x473E37# diamonds to enjoy the following: ",V 4Grand Pack: #C0xea7004#Greninja Shard,Unlock #C0xea7004# 50 blitzes in Main Dungeon,Energy can be purchased #C0xea7004#7#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#25#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#30#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#30#C0x473E37# times daily,Contains all privileges for V3 and below,,,累計儲值#C0xea7004#1000#C0x473E37#鑽石即可享受以下特權:,V4大禮包:#C0xea7004#甲賀忍蛙碎片,解鎖#C0xea7004#主線副本50次掃蕩功能,每日可購買體力#C0xea7004#7#C0x473E37#次,每日可聚寶#C0xea7004#25#C0x473E37#次,每日可重置精英關卡#C0xea7004#2#C0x473E37#次,精靈背包容量可購買#C0xea7004#30#C0x473E37#次,每日探險器可尋寶#C0xea7004#30#C0x473E37#次,包含V3及以下所有特權內容,,,"Purchase a total of  #C0xea7004#1000#C0x473E37# diamonds to enjoy the following: ",V 4Grand Pack: #C0xea7004#Greninja Shard,Unlock #C0xea7004# 50 blitzes in Main Dungeon,Energy can be purchased #C0xea7004#7#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#25#C0x473E37# times daily,Elite levels can be reset #C0xea7004#2#C0x473E37# times daily,Bag space can be purchased #C0xea7004#30#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#30#C0x473E37# times daily,Contains all privileges for V3 and below,,,"#C0xea7004#1000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V4 특별 선물: #C0xea7004#개굴닌자 조각,#C0xea7004#메인 던전 50회 소탕 기능 개방,매일 체력 #C0xea7004#7#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#25#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#2#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#30#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#30#C0x473E37#회 가능,V3 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
6,5,"Purchase a total of  #C0xea7004#2000#C0x473E37# diamonds to enjoy the following: ",V5 Grand Pack: #C0xea7004#Greninja's Trinket Awakening Item,#C0xea7004# Defeat at the arena also gives 2 points,Unlock #C0xea7004# union Supreme Donation,Unlock #C0xea7004# daily quest - Deluxe returns,#C0xea7004#No cooldown time when skipping battle in Arena,Energy can be purchased #C0xea7004#8#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#30#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#35#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#35#C0x473E37# times daily,累計儲值#C0xea7004#2000#C0x473E37#鑽石即可享受以下特權:,V5大禮包:#C0xea7004#甲賀忍蛙的飾品覺醒道具,#C0xea7004#競技場戰敗積分同樣+2,解鎖#C0xea7004#公會至尊捐獻,解鎖#C0xea7004#日常任務-豪華返利,#C0xea7004#競技場跳過戰鬥無冷卻時間,每日可購買體力#C0xea7004#8#C0x473E37#次,每日可聚寶#C0xea7004#30#C0x473E37#次,每日可重置精英關卡#C0xea7004#3#C0x473E37#次,精靈背包容量可購買#C0xea7004#35#C0x473E37#次,每日探險器可尋寶#C0xea7004#35#C0x473E37#次,"Purchase a total of  #C0xea7004#2000#C0x473E37# diamonds to enjoy the following: ",V5 Grand Pack: #C0xea7004#Greninja's Trinket Awakening Item,#C0xea7004# Defeat at the arena also gives 2 points,Unlock #C0xea7004# union Supreme Donation,Unlock #C0xea7004# daily quest - Deluxe returns,#C0xea7004#No cooldown time when skipping battle in Arena,Energy can be purchased #C0xea7004#8#C0x473E37# times daily,You can get Treasure Pot #C0xea7004#30#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#35#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#35#C0x473E37# times daily,"#C0xea7004#2000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V5 특별 선물: #C0xea7004#개굴닌자 액세서리 각성 아이템,#C0xea7004#아레나 전투 패배 포인트 유지 +2,#C0xea7004#길드 최고급 기부 개방,#C0xea7004#일일 퀘스트-호화 혜택 개방,#C0xea7004#아레나 전투 스킵 쿨타임 없음,매일 체력 #C0xea7004#8#C0x473E37#회 구매 가능,매일 보물단지 #C0xea7004#30#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#3#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#35#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#35#C0x473E37#회 가능,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404,404404
7,6,"Purchase a total of  #C0xea7004#3000#C0x473E37# diamonds to enjoy the following: ",V 6Grand Pack: #C0xea7004#Greninja Shard,Energy can be purchased #C0xea7004#9#C0x473E37# times daily,#C0xea7004#Aether Paradise Combat Points increases by 10%,You can get Treasure Pot #C0xea7004#35#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#40#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#40#C0x473E37# times daily,Contains all privileges for V5 and below,,,累計儲值#C0xea7004#3000#C0x473E37#鑽石即可享受以下特權:,V6大禮包:#C0xea7004#甲賀忍蛙碎片,每日可購買體力#C0xea7004#9#C0x473E37#次,#C0xea7004#乙太樂園戰鬥積分增加10%,每日可聚寶#C0xea7004#35#C0x473E37#次,每日可重置精英關卡#C0xea7004#3#C0x473E37#次,精靈背包容量可購買#C0xea7004#40#C0x473E37#次,每日探險器可尋寶#C0xea7004#40#C0x473E37#次,包含V5及以下所有特權內容,,,"Purchase a total of  #C0xea7004#3000#C0x473E37# diamonds to enjoy the following: ",V 6Grand Pack: #C0xea7004#Greninja Shard,Energy can be purchased #C0xea7004#9#C0x473E37# times daily,#C0xea7004#Aether Paradise Combat Points increases by 10%,You can get Treasure Pot #C0xea7004#35#C0x473E37# times daily,Elite levels can be reset #C0xea7004#3#C0x473E37# times daily,Bag space can be purchased #C0xea7004#40#C0x473E37# times daily,Explorer Device can do treasure hunt #C0xea7004#40#C0x473E37# times daily,Contains all privileges for V5 and below,,,"#C0xea7004#3000#C0x473E37#다이아 누적 충전 시 다음 특권 활성화: ",V6 특별 선물: #C0xea7004#개굴닌자 조각,매일 체력 #C0xea7004#9#C0x473E37#회 구매 가능,#C0xea7004#에테르파라다이스 전투 포인트 10% 증가,매일 보물단지 #C0xea7004#35#C0x473E37#회 가능,매일 정예 스테이지 #C0xea7004#3#C0x473E37#회 초기화 가능,포켓몬 가방 용량 #C0xea7004#40#C0x473E37#회 구매 가능,매일 탐지기 보물찾기 #C0xea7004#40#C0x473E37#회 가능,V5 이하의 모든 특권 내용 포함,,,404404,404404,404404,404404,404404,404404,404404,404404,404404,,
