变量名,huodongID,level,damage,award,boxRes
默认值,0,0,0,{},""""""
ID,活动版本号,伤害阶段,需要造成的伤害,奖励,宝箱资源
1,1001,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
2,1001,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
3,1001,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
4,1001,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
5,1001,5,1880000,{513=6;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_1_5.png
6,1001,6,3580000,{513=7;514=2;900=3;901=2;902=1},config/world_boss/box/icon_lh_2_1.png
7,1001,7,6290000,{513=8;514=2;900=4;901=2;902=1},config/world_boss/box/icon_lh_2_2.png
8,1001,8,10380000,{513=9;514=3;900=4;901=3;902=1},config/world_boss/box/icon_lh_2_3.png
9,1001,9,16280000,{513=10;514=3;900=5;901=3;902=1},config/world_boss/box/icon_lh_2_4.png
10,1001,10,24530000,{513=11;514=3;900=5;901=3;902=2;talent_point=1},config/world_boss/box/icon_lh_2_5.png
11,1001,11,35740000,{513=12;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_1.png
12,1001,12,50640000,{513=13;514=4;900=6;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_2.png
13,1001,13,70070000,{513=14;514=4;900=7;901=4;902=2;talent_point=1},config/world_boss/box/icon_lh_3_3.png
14,1001,14,94970000,{513=15;514=5;900=7;901=5;902=2;talent_point=1},config/world_boss/box/icon_lh_3_4.png
15,1001,15,126430000,{513=16;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_3_5.png
16,1001,16,165670000,{513=17;514=5;900=8;901=5;902=3;talent_point=1},config/world_boss/box/icon_lh_4_1.png
17,1001,17,214080000,{513=18;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_2.png
18,1001,18,273200000,{513=19;514=6;900=9;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_3.png
19,1001,19,344760000,{513=20;514=6;900=10;901=6;902=3;talent_point=1},config/world_boss/box/icon_lh_4_4.png
20,1001,20,430670000,{513=21;514=7;900=10;901=7;902=4;talent_point=1},config/world_boss/box/icon_lh_4_5.png
,,,,,
101,1002,1,20000,{513=2;900=1},config/world_boss/box/icon_lh_1_1.png
102,1002,2,110000,{513=3;900=1;901=1},config/world_boss/box/icon_lh_1_2.png
103,1002,3,350000,{513=4;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_3.png
104,1002,4,880000,{513=5;514=1;900=2;901=1},config/world_boss/box/icon_lh_1_4.png
105,1002,5,1880000,{513=6;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_1_5.png
106,1002,6,3580000,{513=7;514=2;900=3;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_1.png
107,1002,7,6290000,{513=8;514=2;900=4;901=2;902=1;2102=1},config/world_boss/box/icon_lh_2_2.png
108,1002,8,10380000,{513=9;514=3;900=4;901=3;902=1;2102=1},config/world_boss/box/icon_lh_2_3.png
109,1002,9,16280000,{513=10;514=3;900=5;901=3;902=1;2102=2},config/world_boss/box/icon_lh_2_4.png
110,1002,10,24530000,{513=11;514=3;900=5;901=3;902=2;2102=2},config/world_boss/box/icon_lh_2_5.png
111,1002,11,35740000,{513=12;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_1.png
112,1002,12,50640000,{513=13;514=4;900=6;901=4;902=2;2102=2},config/world_boss/box/icon_lh_3_2.png
113,1002,13,70070000,{513=14;514=4;900=7;901=4;902=2;2102=3},config/world_boss/box/icon_lh_3_3.png
114,1002,14,94970000,{513=15;514=5;900=7;901=5;902=2;2102=3},config/world_boss/box/icon_lh_3_4.png
