变量名,level,hpFix
默认值,0,100
ID,世界Boss等级,血量修正系数百分比
1,1,6.8
2,2,7
3,3,7.2
4,4,7.4
5,5,7.6
6,6,7.8
7,7,8
8,8,8.2
9,9,8.4
10,10,8.6
11,11,8.8
12,12,9
13,13,9.2
14,14,9.4
15,15,9.6
16,16,9.8
17,17,10
18,18,10.2
19,19,10.4
20,20,10.6
21,21,10.8
22,22,11
23,23,11.2
24,24,11.4
25,25,11.6
26,26,11.8
27,27,12
28,28,12.2
29,29,12.4
30,30,12.6
31,31,12.8
32,32,13
33,33,13.2
34,34,13.4
35,35,13.6
36,36,13.8
37,37,14
38,38,14.2
39,39,14.4
40,40,14.6
41,41,14.8
42,42,15
43,43,15.2
44,44,15.4
45,45,15.6
46,46,15.8
47,47,16
48,48,16.2
49,49,16.4
50,50,16.6
51,51,16.8
52,52,17
53,53,17.2
54,54,17.4
55,55,17.6
56,56,17.8
57,57,18
58,58,18.2
59,59,18.4
60,60,18.6
61,61,18.8
62,62,19
63,63,19.2
64,64,19.4
65,65,19.6
66,66,19.8
67,67,20
68,68,22
69,69,24
70,70,26
71,71,28
72,72,30
73,73,32
74,74,34
75,75,36
76,76,38
77,77,40
78,78,42
79,79,44
80,80,46
81,81,48
82,82,50
83,83,52
84,84,54
85,85,56
86,86,58
87,87,60
88,88,62
89,89,64
90,90,66
91,91,68
92,92,70
93,93,72
94,94,74
95,95,76
96,96,78
97,97,80
98,98,85
99,99,90
100,100,100
101,101,125
102,102,150
103,103,175
104,104,200
105,105,225
106,106,250
107,107,275
108,108,300
109,109,325
110,110,350
111,111,375
112,112,400
113,113,425
114,114,450
115,115,475
116,116,500
117,117,525
118,118,550
119,119,575
120,120,600
121,121,650
122,122,700
123,123,750
124,124,800
125,125,850
126,126,900
127,127,950
128,128,1000
129,129,1050
130,130,1100
131,131,1150
132,132,1200
133,133,1250
134,134,1300
135,135,1350
136,136,1400
137,137,1450
138,138,1500
139,139,1550
140,140,1600
141,141,1650
142,142,1700
143,143,1750
144,144,1800
145,145,1850
146,146,1900
147,147,1950
148,148,2000
149,149,2050
150,150,2100
151,151,2200
152,152,2300
153,153,2400
154,154,2500
155,155,2600
156,156,2700
157,157,2800
158,158,2900
159,159,3000
160,160,3100
161,161,3200
162,162,3300
163,163,3400
164,164,3500
165,165,3600
166,166,3700
167,167,3800
168,168,3900
169,169,4000
170,170,4100
171,171,4200
172,172,4300
173,173,4400
174,174,4500
175,175,4600
176,176,4700
177,177,4800
178,178,4900
179,179,5000
180,180,5100
181,181,5200
182,182,5300
183,183,5400
184,184,5500
185,185,5600
186,186,5700
187,187,5800
188,188,5900
189,189,6000
190,190,6100
191,191,6200
192,192,6300
193,193,6400
194,194,6500
195,195,6600
196,196,6700
197,197,6800
198,198,6900
199,199,7000
200,200,7100
201,201,7300
202,202,7500
203,203,7700
204,204,7900
205,205,8100
206,206,8300
207,207,8500
208,208,8700
209,209,8900
210,210,9100
211,211,9300
212,212,9500
213,213,9700
214,214,9900
215,215,10100
216,216,10300
217,217,10500
218,218,10700
219,219,10900
220,220,11100
221,221,11400
222,222,11700
223,223,12000
224,224,12300
225,225,12600
226,226,12900
227,227,13200
228,228,13500
229,229,13800
230,230,14100
231,231,14400
232,232,14700
233,233,15000
234,234,15300
235,235,15600
236,236,15900
237,237,16200
238,238,16500
239,239,16800
240,240,17100
241,241,17400
242,242,17700
243,243,18000
244,244,18300
245,245,18600
246,246,18900
247,247,19200
248,248,19500
249,249,19800
250,250,20100
251,251,20600
252,252,21100
253,253,21600
254,254,22100
255,255,22600
256,256,23100
257,257,23600
258,258,24100
259,259,24600
260,260,25100
261,261,25600
262,262,26100
263,263,26600
264,264,27100
265,265,27600
266,266,28100
267,267,28600
268,268,29100
269,269,29600
270,270,30100
271,271,30600
272,272,31100
273,273,31600
274,274,32100
275,275,32600
276,276,33100
277,277,33600
278,278,34100
279,279,34600
280,280,35100
281,281,35600
282,282,36100
283,283,36600
284,284,37100
285,285,37600
286,286,38100
287,287,38600
288,288,39100
289,289,39600
290,290,40100
291,291,40600
292,292,41100
293,293,41600
294,294,42100
295,295,42600
296,296,43100
297,297,43600
298,298,44100
299,299,44600
300,300,45100
301,301,45600
302,302,46100
303,303,46600
304,304,47100
305,305,47600
306,306,48100
307,307,48600
308,308,49100
309,309,49600
310,310,50100
311,311,50600
312,312,51100
313,313,51600
314,314,52100
315,315,52600
316,316,53100
317,317,53600
318,318,54100
319,319,54600
320,320,55100
321,321,55600
322,322,56100
323,323,56600
324,324,57100
325,325,57600
326,326,58100
327,327,58600
328,328,59100
329,329,59600
330,330,60100
331,331,60600
332,332,61100
333,333,61600
334,334,62100
335,335,62600
336,336,63100
337,337,63600
338,338,64100
339,339,64600
340,340,65100
341,341,65600
342,342,66100
343,343,66600
344,344,67100
345,345,67600
346,346,68100
347,347,68600
348,348,69100
349,349,69600
350,350,70100
351,351,70600
352,352,71100
353,353,71600
354,354,72100
355,355,72600
356,356,73100
357,357,73600
358,358,74100
359,359,74600
360,360,75100
361,361,75600
362,362,76100
363,363,76600
364,364,77100
365,365,77600
366,366,78100
367,367,78600
368,368,79100
369,369,79600
370,370,80100
371,371,80600
372,372,81100
373,373,81600
374,374,82100
375,375,82600
376,376,83100
377,377,83600
378,378,84100
379,379,84600
380,380,85100
381,381,85600
382,382,86100
383,383,86600
384,384,87100
385,385,87600
386,386,88100
387,387,88600
388,388,89100
389,389,89600
390,390,90100
391,391,90600
392,392,91100
393,393,91600
394,394,92100
395,395,92600
396,396,93100
397,397,93600
398,398,94100
399,399,94600
400,400,95100
