"﻿变量名",huodongID,_beizhu,rank,award,desc,desc_tw,desc_en,desc_kr
默认值,,,,{},无奖励吗,无奖励吗,无奖励吗,无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述,奖励描述,奖励描述,奖励描述_韩
1,1001,talent point,1,{5000=60;talent_point=4;gold=800000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
2,1001,talent point,2,{5000=50;talent_point=3;gold=600000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
3,1001,talent point,3,{5000=45;talent_point=3;gold=550000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
4,1001,talent point,6,{5000=40;talent_point=2;gold=500000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
5,1001,talent point,10,{5000=35;talent_point=2;gold=450000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
6,1001,talent point,30,{5000=30;talent_point=2;gold=400000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
7,1001,talent point,60,{5000=25;talent_point=2;gold=350000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
8,1001,talent point,100,{5000=20;talent_point=1;gold=300000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
9,1001,talent point,300,{5000=18;talent_point=1;gold=250000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
10,1001,talent point,600,{5000=16;talent_point=1;gold=200000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
11,1001,talent point,1000,{5000=14;talent_point=1;gold=180000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
12,1001,talent point,99999,{5000=12;talent_point=1;gold=160000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
,,,,,,,,
101,1002,carry,1,{930=60;2103=15;gold=800000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
102,1002,carry,2,{930=50;2103=12;gold=600000},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
