﻿变量名,huodongID,index,event
默认值,1001,1,0
ID,活动版本号,格子位置（1-54）,事件（1转盘|2厄运卡|3+活动币|4-币|5飞跃格|6小店|99宝藏）
1,,1,
2,,2,3
3,,3,
4,,4,3
5,,5,4
6,,6,1
7,,7,3
8,,8,
9,,9,3
10,,10,4
11,,11,3
12,,12,6
13,,13,5
14,,14,
15,,15,3
16,,16,3
17,,17,4
18,,18,1
19,,19,3
20,,20,
21,,21,4
22,,22,2
23,,23,3
24,,24,5
25,,25,
26,,26,3
27,,27,6
28,,28,4
29,,29,
30,,30,3
31,,31,1
32,,32,
33,,33,3
34,,34,5
35,,35,
36,,36,2
37,,37,3
38,,38,
39,,39,6
40,,40,4
41,,41,3
42,,42,3
43,,43,
44,,44,5
45,,45,3
46,,46,4
47,,47,2
48,,48,3
49,,49,
50,,50,3
51,,51,1
52,,52,4
53,,53,6
54,,54,3
