﻿变量名,huodongID,type,items,prices,weight
默认值,1001,1,{},{},100
ID,活动版本号,类型(1游戏道具池2核心资源池),商品,价格,权值
1,1001,1,{8116=1},{8102=9},100
2,1001,1,{8114=1},{8102=5},150
3,1001,1,{8113=1},{8102=4},150
4,1001,1,{8117=1},{8102=3},150
5,1001,1,{8115=1},{8102=2},150
,,,,,
,,,,,
7,1001,2,{930=10},{rmb=30},100
8,1001,2,{5000=10},{rmb=30},100
9,1001,2,{902=5},{rmb=30},100
10,1001,2,{2103=3},{rmb=50},100
11,1001,2,{4000=50},{rmb=30},100
12,1001,2,{100=3},{rmb=30},100
13,1001,2,{851=50},{rmb=30},100
14,1001,2,{529=500},{rmb=100},100
,,,,,
51,1001,2,{502=1},{rmb=28},10
52,1001,2,{521=1},{rmb=88},10
53,1001,2,{515=1},{rmb=20},10
54,1001,2,{519=1},{rmb=100},10
55,1001,2,{527=1},{rmb=108},10
56,1001,2,{503=1},{rmb=38},10
57,1001,2,{520=1},{rmb=58},10
58,1001,2,{531=1},{rmb=38},10
59,1001,2,{501=1},{rmb=208},10
