﻿变量名,huodongID,level,needExp,award,unlockPart
默认值,0,1,0,{},0
ID,活动版本ID,等级,升级所需经验,等级奖励,解锁部位
1,101030,0,100,,10000
2,101030,1,200,{gold=1080000;rmb=168;503=4;521=2},10001
3,101030,2,300,{gold=680000;rmb=88;503=2;502=3},
4,101030,3,400,{gold=280000;rmb=38;503=1;502=1},
5,101030,4,500,{gold=1680000;rmb=288;503=6;521=4},1
6,101030,5,600,{gold=1080000;rmb=168;503=4;521=2},
7,101030,6,700,{gold=680000;rmb=88;503=2;502=3},
8,101030,7,800,{gold=280000;rmb=38;503=1;502=1},10002
9,101030,8,900,{gold=1680000;rmb=288;503=6;521=4},
10,101030,9,1000,{gold=1080000;rmb=168;503=4;521=2},
11,101030,10,1000,{gold=680000;rmb=88;503=2;502=3},2
12,101030,11,1000,{gold=280000;rmb=38;503=1;502=1},
13,101030,12,1000,{gold=1680000;rmb=288;503=6;521=4},10003
14,101030,13,1000,{gold=1080000;rmb=168;503=4;521=2},
15,101030,14,1000,{gold=680000;rmb=88;503=2;502=3},3
16,101030,15,1000,{gold=280000;rmb=38;503=1;502=1},
,,,,,
101,10001,0,50,,10000
102,10001,1,100,{2319=1;519=3;951=5;21941=5},10001
103,10001,2,150,{gold=288000;stamina=100;5000=100;21951=5},1
104,10001,3,250,{2237=1;503=5;930=100;21941=10},
105,10001,4,350,{rmb=188;902=20;901=30;21951=10},10002
106,10001,5,450,{2020=1;922=1;16=30;21941=10},
107,10001,6,600,{gold=588000;962=2;4000=300;21951=10},2
108,10001,7,750,{2238=1;602=20;604=10;21941=15},
109,10001,8,1000,{gold=880000;973=1;529=5000;21951=15},10003
110,10001,9,1250,{8000=1;6050=1;501=3;21941=20},
111,10001,10,1250,{rmb=388;2152=1;6059=1;21951=20},3
