变量名,huodongID,tab,tabText,item,costMap,buyMax,refresh
默认值,0,1,"""""",{},{rmb=999999},10,FALSE
ID,活动版本ID,页签序号,页签文字,道具id,原价,购买次数上限,刷新方式（无刷新/每日刷新）
,,,,,,,
101,23101,1,,{2025=1},{6393=20},1,FALSE
102,23101,1,,{2414=1},{6393=50},1,FALSE
103,23101,1,,{2211=1},{6393=50},1,FALSE
104,23101,1,,{2152=1},{6393=50},1,FALSE
105,23101,1,,{27001=5},{6393=10},30,FALSE
106,23101,1,,{30319=1},{6393=50},1,FALSE
107,23101,1,,{925=1},{6393=50},1,FALSE
108,23101,1,,{942=1},{6393=100},1,FALSE
109,23101,1,,{6059=1},{6393=100},1,FALSE
110,23101,1,,{6050=1},{6393=60},1,FALSE
111,23101,1,,{973=1},{6393=30},2,FALSE
112,23101,1,,{29002=50},{6393=1},1,FALSE
113,23101,1,,{501=1},{6393=15},5,FALSE
114,23101,1,,{962=1},{6393=25},3,FALSE
115,23101,1,,{talent_point=2},{6393=10},5,FALSE
116,23101,1,,{gold=200000},{6393=5},20,FALSE
117,23101,1,,{930=15},{6393=5},20,FALSE
118,23101,1,,{5000=15},{6393=5},20,FALSE
119,23101,1,,{2103=2},{6393=5},20,FALSE
,,,,,,,
131,23102,1,,{2025=1},{6394=20},1,FALSE
132,23102,1,,{2414=1},{6394=50},1,FALSE
133,23102,1,,{2211=1},{6394=50},1,FALSE
134,23102,1,,{2152=1},{6394=50},1,FALSE
135,23102,1,,{27001=5},{6394=10},30,FALSE
136,23102,1,,{30319=1},{6394=50},1,FALSE
137,23102,1,,{925=1},{6394=50},1,FALSE
138,23102,1,,{942=1},{6394=100},1,FALSE
139,23102,1,,{6059=1},{6394=100},1,FALSE
140,23102,1,,{6050=1},{6394=60},1,FALSE
141,23102,1,,{973=1},{6394=30},2,FALSE
142,23102,1,,{29002=50},{6394=1},1,FALSE
143,23102,1,,{501=1},{6394=15},5,FALSE
144,23102,1,,{962=1},{6394=25},3,FALSE
145,23102,1,,{talent_point=2},{6394=10},5,FALSE
146,23102,1,,{gold=200000},{6394=5},20,FALSE
147,23102,1,,{930=15},{6394=5},20,FALSE
148,23102,1,,{5000=15},{6394=5},20,FALSE
149,23102,1,,{2103=2},{6394=5},20,FALSE
,,,,,,,
160,23103,1,,{2030=1},{6394=20},1,FALSE
161,23103,1,,{2329=1},{6394=20},1,FALSE
162,23103,1,,{2420=1},{6394=50},1,FALSE
163,23103,1,,{2243=1},{6394=50},1,FALSE
164,23103,1,,{2152=1},{6394=50},1,FALSE
165,23103,1,,{21771=5},{6394=10},30,FALSE
166,23103,1,,{925=1},{6394=50},1,FALSE
167,23103,1,,{942=1},{6394=100},1,FALSE
168,23103,1,,{974=1},{6394=100},1,FALSE
169,23103,1,,{6050=1},{6394=60},1,FALSE
170,23103,1,,{7304=1},{6394=50},2,FALSE
171,23103,1,,{29002=50},{6394=50},1,FALSE
172,23103,1,,{501=1},{6394=15},3,FALSE
173,23103,1,,{962=1},{6394=25},2,FALSE
174,23103,1,,{talent_point=2},{6394=10},5,FALSE
175,23103,1,,{gold=200000},{6394=5},20,FALSE
176,23103,1,,{930=15},{6394=5},20,FALSE
177,23103,1,,{5000=15},{6394=5},20,FALSE
178,23103,1,,{2103=2},{6394=5},20,FALSE
179,23103,1,,{124=1},{6394=5},20,FALSE
,,,,,,,
190,23104,1,,{2030=1},{6394=20},1,FALSE
191,23104,1,,{2329=1},{6394=20},1,FALSE
192,23104,1,,{2420=1},{6394=50},1,FALSE
193,23104,1,,{2243=1},{6394=50},1,FALSE
194,23104,1,,{2152=1},{6394=50},1,FALSE
195,23104,1,,{21771=5},{6394=10},30,FALSE
196,23104,1,,{922=1},{6394=30},2,FALSE
197,23104,1,,{942=1},{6394=100},1,FALSE
198,23104,1,,{6050=1},{6394=60},1,FALSE
199,23104,1,,{973=1},{6394=50},2,FALSE
200,23104,1,,{29002=50},{6394=50},1,FALSE
201,23104,1,,{501=1},{6394=15},3,FALSE
202,23104,1,,{962=1},{6394=25},3,FALSE
203,23104,1,,{talent_point=2},{6394=10},5,FALSE
204,23104,1,,{gold=200000},{6394=5},20,FALSE
205,23104,1,,{930=15},{6394=5},20,FALSE
206,23104,1,,{5000=15},{6394=5},20,FALSE
207,23104,1,,{2103=2},{6394=5},20,FALSE
