"﻿变量名",huodongID,needLevel,desc,desc_tw,desc_en,desc_vn,desc_kr,award
默认值,0,1,"""""","""""","""""","""""","""""",{}
ID,活动版本ID,要求等级,描述,描述,描述,描述_越南,描述_韩,奖励
1,3001,5,Reach Lv.5,等級到達5級,Reach Lv.5,Đẳng cấp đến 5 Cấp,레벨 5 달성,{gold=10000;rmb=50;11=10}
2,3001,10,Reach Lv.10,等級到達10級,Reach Lv.10,Đẳng cấp đến 10 Cấp,레벨 10 달성,{gold=20000;rmb=60;11=15}
3,3001,15,Reach Lv.15,等級到達15級,Reach Lv.15,Đạt LV15,레벨 15 달성,{gold=30000;rmb=70;11=20}
4,3001,20,Reach Lv.20,等級到達20級,Reach Lv.20,Đạt LV20,레벨 20 달성,{gold=40000;rmb=80;12=20}
5,3001,25,Reach Lv.25,等級到達25級,Reach Lv.25,Đạt LV25,레벨 25 달성,{gold=50000;rmb=90;12=25}
6,3001,30,Reach Lv.30,等級到達30級,Reach Lv.30,Đạt LV30,레벨 30 달성,{gold=60000;rmb=100;12=30}
7,3001,35,Reach Lv.35,等級到達35級,Reach Lv.35,Đạt LV35,레벨 35 달성,{gold=70000;rmb=110;12=35}
8,3001,40,Reach Lv.40,等級到達40級,Reach Lv.40,Đạt LV40,레벨 40 달성,{gold=80000;rmb=120;12=40}
9,3001,45,Reach Lv.45,等級到達45級,Reach Lv.45,Đạt LV45,레벨 45 달성,{gold=90000;rmb=130;13=20}
10,3001,50,Reach Lv.50,等級到達50級,Reach Lv.50,Đạt LV50,레벨 50 달성,{gold=100000;rmb=140;13=25}
,3001,55,Reach Lv.55,等級到達55級,Reach Lv.55,Đạt LV55,레벨 55 달성,{gold=110000;rmb=150;13=30}
,3001,60,Reach Lv.60,等級到達60級,Reach Lv.60,Đạt LV60,레벨 60 달성,{gold=120000;rmb=160;13=35}
,3001,65,Reach Lv.65,等級到達65級,Reach Lv.65,Đạt LV65,레벨 65 달성,{gold=130000;rmb=170;14=10}
,3001,70,Reach Lv.70,等級到達70級,Reach Lv.70,Đạt LV70,레벨 70 달성,{21013=10;gold=140000;rmb=180;14=15}
,3001,75,Reach Lv.75,等級到達75級,Reach Lv.75,Đạt LV75,레벨 75 달성,{gold=150000;304=10;rmb=190;14=20}
,3001,80,Reach Lv.80,等級到達80級,Reach Lv.80,Đạt LV80,레벨 80 달성,{21030=10;gold=160000;rmb=200;14=25}
,,,,,,,,
,3002,20,Reach Lv.20,等級到達20級,Reach Lv.20,Đạt LV20,레벨 20 달성,{81=1}
,3002,30,Reach Lv.30,等級到達30級,Reach Lv.30,Đạt LV30,레벨 30 달성,{82=1}
,3002,50,Reach Lv.50,等級到達50級,Reach Lv.50,Đạt LV50,레벨 50 달성,{83=1}
,,,,,,,,
,3003,20,Reach Lv.20,等級到達20級,,Đạt LV20,레벨 20 달성,{84=1}
,3003,30,Reach Lv.30,等級到達30級,,Đạt LV30,레벨 30 달성,{85=1}
,3003,50,Reach Lv.50,等級到達50級,,Đạt LV50,레벨 50 달성,{86=1}
