变量名,serverOpenDays,fightPointLimit,vipLimit
默认值,,0,0
ID,开服天数,战力限制,VIP限制
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,0,0
34,34,0,0
35,35,0,0
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,0,0
44,44,0,0
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
50,50,0,0
51,51,0,0
52,52,0,0
53,53,0,0
54,54,0,0
55,55,0,0
56,56,0,0
57,57,0,0
58,58,0,0
59,59,0,0
60,60,0,0
61,61,130000,5
62,62,130000,5
63,63,131000,5
64,64,131000,5
65,65,131000,5
66,66,132000,5
67,67,132000,5
68,68,133000,5
69,69,133000,5
70,70,133000,5
71,71,134000,5
72,72,134000,5
73,73,135000,5
74,74,135000,5
75,75,135000,5
76,76,136000,5
77,77,136000,5
78,78,137000,5
79,79,137000,5
80,80,137000,5
81,81,138000,5
82,82,138000,5
83,83,139000,5
84,84,139000,5
85,85,140000,5
86,86,141000,5
87,87,142000,5
88,88,143000,5
89,89,144000,5
90,90,145000,5
91,91,146000,5
92,92,147000,5
93,93,148000,5
94,94,149000,5
95,95,150000,5
96,96,151000,5
97,97,152000,5
98,98,153000,5
99,99,154000,5
100,100,155000,5
101,101,156000,5
102,102,157000,5
103,103,158000,5
104,104,159000,5
105,105,160000,5
106,106,161000,5
107,107,162000,5
108,108,163000,5
109,109,164000,5
110,110,165000,5
111,111,166000,5
112,112,167000,5
113,113,168000,5
114,114,169000,5
115,115,170000,5
116,116,171000,5
117,117,172000,5
118,118,173000,5
119,119,174000,5
120,120,175000,5
121,121,176000,5
122,122,177000,5
123,123,178000,5
124,124,179000,5
125,125,180000,5
126,126,182000,5
127,127,184000,5
128,128,186000,5
129,129,188000,5
130,130,190000,5
131,131,192000,5
132,132,194000,5
133,133,196000,5
134,134,198000,5
135,135,200000,5
136,136,202000,5
137,137,204000,5
138,138,206000,5
139,139,208000,5
140,140,210000,5
141,141,212000,5
142,142,214000,5
143,143,216000,5
144,144,218000,5
145,145,220000,5
146,146,222000,5
147,147,224000,5
