变量名,huodongID,rank,award,pointLeast,desc,desc_en
默认值,,,{},0,无奖励吗,无奖励吗
ID,活动版本号,名次内,排行奖励,积分限制,奖励描述,奖励描述
1,20191030,1,{card={id=1271};21271=100},7000,Phoenix King + Shard*100,404
2,20191030,2,{card={id=1271};21271=80},5000,Phoenix King + Shard*80,404
3,20191030,3,{card={id=1271}},3500,Phoenix King,404
4,20191030,4,{21271=80},2000,Phoenix King Fragment*80,404
5,20191030,5,{21271=50},1000,Phoenix King Fragment*50,404
6,20191030,30,{21271=30},,Phoenix King Fragment*30,404
,,,,,,
11,1001,1,{card={id=1971};21971=240;501=5},2200,,
12,1001,2,{card={id=1971};21971=160;501=4},1600,,
13,1001,3,{card={id=1971};21971=80;501=4},1400,,
14,1001,6,{card={id=1971};501=4;14=40},1200,,
15,1001,10,{21891=80;501=3;14=30},700,,
16,1001,20,{21891=50;501=2;14=30},400,,
17,1001,30,{21891=30;501=2;14=30},0,,
,,,,,,
21,1002,1,{card={id=1261};21261=240;501=5},7000,,
22,1002,2,{card={id=1261};21261=160;501=4},5000,,
23,1002,3,{card={id=1261};21261=80;501=4},4000,,
24,1002,6,{card={id=1261};501=4;14=40},3500,,
25,1002,10,{21251=80;501=3;14=30},2000,,
26,1002,20,{21251=50;501=2;14=30},1000,,
27,1002,30,{21251=30;501=2;14=30},0,,
,,,,,,
31,1003,1,{card={id=3631};23631=240;501=5},7000,,
32,1003,2,{card={id=3631};23631=160;501=4},5000,,
33,1003,3,{card={id=3631};23631=80;501=4},4000,,
34,1003,6,{card={id=3631};501=4;14=40},3500,,
35,1003,10,{21421=80;501=3;14=30},2000,,
36,1003,20,{21421=50;501=2;14=30},1000,,
37,1003,30,{21421=30;501=2;14=30},0,,
,,,,,,
41,1004,1,{card={id=1981};21981=240;501=5},7000,,
42,1004,2,{card={id=1981};21981=160;501=4},5000,,
43,1004,3,{card={id=1981};21981=80;501=4},4000,,
44,1004,6,{card={id=1981};501=4;14=40},3500,,
45,1004,10,{21901=80;501=3;14=30},2000,,
46,1004,20,{21901=50;501=2;14=30},1000,,
47,1004,30,{21901=30;501=2;14=30},0,,
,,,,,,
51,1005,1,{card={id=1261};21261=240;2010=1;501=5},7000,,
52,1005,2,{card={id=1261};21261=160;501=4},5000,,
53,1005,3,{card={id=1261};21261=80;501=4},4000,,
54,1005,6,{card={id=1261};501=4;14=40},3500,,
55,1005,10,{22231=80;501=3;14=30},2000,,
56,1005,20,{22231=50;501=2;14=30},1000,,
57,1005,30,{22231=30;501=2;14=30},0,,
,,,,,,
61,1006,1,{card={id=1981};21981=240;2013=1;501=5},7000,,
62,1006,2,{card={id=1981};21981=160;501=4},5000,,
63,1006,3,{card={id=1981};21981=80;501=4},4000,,
