"﻿变量名",huodongID,_beizhu,name,name_tw,name_en,name_kr,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
默认值,0,"""""","""""","""""","""""","""""",{},1000,0,300,0,0,<>,0,0,0,0,0,0,"""""",""""""
ID,活动版本ID,备注,名字,名字,名字,名字_韩,道具id,价格,recharge表id,持续时间（分钟）,排序,互斥组（0表示非互斥）,累计充值钻石区间（左闭右闭）,触发条件类型1（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数1-1,条件参数1-2(markID/rarity),触发条件类型2（1-等级；2-关卡；3-指定卡牌数量；4-创角天数；5-vip等级；6-指定稀有度数量；7-立即激活）,条件参数2-1,条件参数2-2(markID/rarity),背景图资源路径,倒计时背景资源路径
,23001,Level 10pack,10级礼包,10級禮包,Level 10pack,10레벨 패키지,{11=3;13=1;gold=300000;rmb=5000;12=5},,2001,120,,,,1,10,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,23001,Level 20pack,20级礼包,20級禮包,Level 20pack,20레벨 패키지,{11=3;13=1;gold=300000;rmb=5000;12=5},,2002,120,,,,1,20,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,23001,Level 30pack,30级礼包,30級禮包,Level 30pack,30레벨 패키지,{12=3},,2003,120,,,,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,23001,Level 40pack,40级礼包,40級禮包,Level 40pack,40레벨 패키지,{gold=300000;rmb=5000},,2004,120,,,,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,23001,Level Aid Pack,关卡助力礼包,關卡助力禮包,Level Aid Pack,스테이지 조력 선물,{12=3;13=1;gold=300000;11=1},,2005,120,,,,2,10101,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,Legendary Pokémon Breakthrough Pack,神兽突破礼包,神獸突破禮包,Legendary Pokémon Breakthrough Pack,전설 돌파 선물,{gold=300000;rmb=5000;12=5},,2006,120,,,,3,1,11,,,,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
,23001,Activate Pack immediately,立即激活礼包,立即啟動禮包,Activate Pack immediately,즉시 활성화 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,7,,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,Days of Character Creation Pack,创角天数礼包,創角天數禮包,Days of Character Creation Pack,캐릭터 생성 일수 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,4,2,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,VIP 15 Pack,VIP15礼包,VIP15禮包,VIP 15 Pack,VIP15 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,5,15,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,Rarity 2S2A Pack,稀有度2S2A礼包,稀有度2S2A禮包,Rarity 2S2A Pack,희귀도 2S2A 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,6,2,4,6,2,3,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,Rarity 10B Pack,稀有度10B礼包,稀有度10B禮包,Rarity 10B Pack,희귀도 10B 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,6,10,2,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,23001,VIP +  Dragonite Pack,VIP+快龙礼包,VIP+快龍禮包,VIP +  Dragonite Pack,VIP+ 망나뇽 선물,{gold=300000;rmb=5000;12=5},,2007,120,,,,5,15,,3,1,751,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,,,,,,,,,,,,,,,,,,,,,
