变量名,_beizhu,huodongID,items,costMap,position,limitTimes
默认值,,0,{},{},0,0
商店ID	,备注,活动版本ID,商品ID表({ID=数量}),消耗({ID=数量}),商店栏位,限定兑换次数
1001,Test Data,1001,{516=1},{532=5},1,5
1002,Test Data,1001,{452=50},{532=5},2,3
1003,Test Data,1001,{519=1},{532=5},3,3
1004,Test Data,1001,{100=5},{532=5},4,8
1005,Test Data,1001,{1001=10},{532=5},5,5
1006,Test Data,1001,{29001=5},{532=5},6,10
1007,Test Data,1001,{525=1},{533=10},7,5
1008,Test Data,1001,{851=100},{533=10},8,5
1009,Test Data,1001,{925=1},{533=10},9,1
1010,Test Data,1001,{29002=5},{533=10},10,10
1011,Test Data,1001,{23511=5},{533=10},11,10
1012,Test Data,1001,{23021=5},{533=10},12,10
1013,Test Data,1001,{20741=5},{533=10},13,10
,,,,,,
1014,Test Data,1002,{516=1},{532=5},1,5
1015,Test Data,1002,{452=50},{532=5},2,3
1016,Test Data,1002,{519=1},{532=5},3,3
1017,Test Data,1002,{100=5},{532=5},4,8
1018,Test Data,1002,{1001=10},{532=5},5,5
1019,Test Data,1002,{29001=5},{532=5},6,10
1020,Test Data,1002,{525=1},{533=10},7,5
1021,Test Data,1002,{851=100},{533=10},8,5
1022,Test Data,1002,{925=1},{533=10},9,1
1023,Test Data,1002,{29002=5},{533=10},10,10
1024,Test Data,1002,{23511=5},{533=10},11,10
1025,Test Data,1002,{23021=5},{533=10},12,10
1026,Test Data,1002,{20741=5},{533=10},13,10
,,,,,,
2001,S9 store,1011,{452=30},{532=50},1,35
2002,S9 store,1011,{2103=5},{532=50},2,35
2003,S9 store,1011,{602=5},{532=50},3,35
2004,S9 store,1011,{851=75},{532=50},4,35
2005,S9 store,1011,{4000=100},{532=50},5,35
2006,S9 store,1011,{529=300},{532=50},6,35
2007,S9 store,1011,{151=100},{532=50},7,15
2008,S9 store,1011,{152=10},{532=50},8,15
2009,S9 store,1011,{111=50},{532=50},9,15
2010,S9 store,1011,{112=10},{532=50},10,15
2011,S9 store,1011,{124=5},{532=50},11,15
2012,S9 store,1011,{520=1},{532=60},12,10
2013,S9 store,1011,{531=1},{532=60},13,10
2014,S9 store,1011,{537=1},{532=60},14,10
2015,S9 store,1011,{519=1},{532=120},15,10
2016,S9 store,1011,{527=1},{532=120},16,10
2017,S9 store,1011,{2190=1},{532=5000},17,1
