"﻿变量名",_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,exp,goToPanel
默认值,,0,1,1,3,0,9999,{},"""""","""""","""""","""""","""""",完成任务可获得经验值,完成任務可獲得經驗值,Completing task to get EXP.,404404,퀘스트 완료 시 경험치 획득 가능,0,
ID,备注,活动版本ID,周期类型（1=每日;2=每周）,周参数（第几周）,任务属性(3=普通;4=大师专属),任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,标题,标题,标题,标题_越南,标题_韩,描述,描述,描述,描述_越南,描述_韩,奖励,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动接口roleLogo头像接口figure个人形象接口gainGold点金接口recharge充值接口gainStamina购买体力friend好友接口cardBag背包接口strengthen还有培养接口handbook图鉴接口任意英文-数字表示其页签
,,,,,,,,,,,,,,,,,,,,
1,Pass Day Mission,1001,1,,,18,1,,Get Treasure Pot once,進行1次聚寶,Get Treasure Pot once,404404,보물단지 1회 진행,,,,,,10,gainGold
2,Pass Day Mission,1001,1,,,20,100000,,Spend 100000 coins,消耗100000金幣,Spend 100000 coins,404404,100000코인 소모,,,,,,10,
3,Pass Day Mission,1001,1,,,21,300,,Spend 300 diamonds,消耗300鑽石,Spend 300 diamonds,404404,300다이아 소모,,,,,,20,
4,Pass Day Mission,1001,1,,,26,1,,Purchase 1 energy,購買1次體力,Purchase 1 energy,Mua 1 sức chịu đựng,체력 1회 구매,,,,,,20,gainStamina
5,Pass Day Mission,1001,1,,,29,10,,Clear Normal levels 10 times,挑戰普通關卡10次,Clear Normal levels 10 times,Thử thách cấp độ thông thường 10 lần,일반 스테이지 10회 도전,,,,,,10,10000
6,Pass Day Mission,1001,1,,,30,3,,Challenge Elite levels 3 times,挑戰困難關卡3次,Challenge Elite levels 3 times,404404,하드 스테이지 도전 3회,,,,,,20,20000
7,Pass Day Mission,1001,1,,,36,3,,Upgrade Pokémons 3 times,精靈升級3次,Upgrade Pokémons 3 times,404404,포켓몬 3회 레벨업,,,,,,20,strengthen-1
8,Pass Day Mission,1001,1,,,41,5,,Engage in arena battle for 5 times,競技場戰鬥5次,Engage in arena battle for 5 times,404404,아레나 전투 5회 진행,,,,,,20,
,,,,,,,,,,,,,,,,,,,,
9,Pass first week missions,1001,2,1,4,18,10,,Get Treasure Pot 10 times,進行10次聚寶,Get Treasure Pot 10 times,404404,보물단지 10회 진행,,,,,,20,gainGold
10,Pass first week missions,1001,2,1,,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,20,
