变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
默认值,,,,{},{},0,<>
ID,活动版本ID,等级,升下一级所需经验,普通奖励,进阶奖励,特殊展示,特效展示序号
,,,,,,,
1001001,1001,1,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{rmb=200},,
1001002,1001,2,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{520=2},1,<1;2>
1001003,1001,3,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{15=20;16=30},,
1001004,1001,4,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{19=10;801=1},1,<1;2;3>
1001005,1001,5,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{gold=3000000},,
1001006,1001,6,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{coin4=2000;520=1},,
1001007,1001,7,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{533=10},,
1001008,1001,8,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{941=5;942=5},1,<1;2;3>
1001009,1001,9,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{533=10},,
1001010,1001,10,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{941=5;942=5},,
1001011,1001,11,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{19=10;801=1},,
1001012,1001,12,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{gold=3000000},,
1001013,1001,13,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{coin4=2000;520=1},,
1001014,1001,14,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{533=10},,
1001015,1001,15,1,{gold=1000000;coin4=100;rmb=10;coin1=10},{941=5;942=5},1,<1;2;3>
,,,,,,,
1001101,1010,1,1,{rmb=128;519=2;2324=1;6393=10},{rmb=268;502=3},,
1001102,1010,2,1,{rmb=128;520=2;gold=200000;6393=10},{rmb=268;519=2},,
1001103,1010,3,1,{rmb=128;503=3;gold=200000;6393=10},{rmb=268;501=1},,
1001104,1010,4,1,{rmb=128;19=5;gold=200000;6393=10},{rmb=268;502=3},,
1001105,1010,5,1,{rmb=128;502=3;gold=200000;6393=10},{rmb=268;519=2},,
1001106,1010,6,1,{rmb=128;501=2;gold=200000;6393=10},{rmb=268;501=1},,
1001107,1010,7,1,{card={id=9002};rmb=128;gold=200000;6393=10},{rmb=268;502=3},1,<1;2;3>
,,,,,,,
2001001,2001,1,100,{gold=1000000},{rmb=200},,
2001002,2001,2,200,{coin4=30},{520=2},,
2001003,2001,3,400,{14=50},{15=20;16=30},,
2001004,2001,4,800,{19=2},{19=10;801=1},,
2001005,2001,5,1200,{gold=1000000},{gold=3000000},,
2001006,2001,6,1600,{coin4=500},{coin4=2000;520=1},,
2001007,2001,7,2000,{532=20},{533=10},,
2001008,2001,8,2400,{940=5},{941=5;942=5},,
2001009,2001,9,2800,{gold=1000001},{rmb=201},,
2001010,2001,10,3200,{coin4=31},{520=3},1,<1;2;3>
2001011,2001,11,3600,{14=51},{15=20;16=31},,
2001012,2001,12,4000,{19=3},{19=10;801=2},,
2001013,2001,13,4400,{gold=1000000},{gold=3000000},,
2001014,2001,14,4800,{coin4=501},{coin4=2000;520=2},,
2001015,2001,15,5200,{532=21},{533=11},,
2001016,2001,16,5600,{940=6},{941=5;942=6},,
2001017,2001,17,6000,{gold=1000002},{rmb=202},,
2001018,2001,18,6400,{coin4=32},{520=4},,
2001019,2001,19,6800,{14=52},{15=20;16=32},,
2001020,2001,20,7200,{19=4},{19=10;801=3},1,<1;2;3>
2001021,2001,21,7600,{gold=1000000},{gold=3000000},,
2001022,2001,22,8000,{coin4=502},{coin4=2000;520=3},,
2001023,2001,23,8400,{532=22},{533=12},,
2001024,2001,24,8800,{940=7},{941=5;942=7},,
2001025,2001,25,9200,{gold=1000003},{rmb=203},,
2001026,2001,26,9600,{coin4=33},{520=5},,
2001027,2001,27,10000,{14=53},{15=20;16=33},,
2001028,2001,28,10400,{19=5},{19=10;801=4},,
2001029,2001,29,10800,{gold=1000000},{gold=3000000},,
2001030,2001,30,11200,{coin4=503},{coin4=2000;520=4},1,<1;2;3>
2001031,2001,31,11600,{532=23},{533=13},,
2001032,2001,32,12000,{940=8},{941=5;942=8},,
2001033,2001,33,12400,{gold=1000004},{rmb=204},,
2001034,2001,34,12800,{coin4=34},{520=6},,
2001035,2001,35,13200,{14=54},{15=20;16=34},,
2001036,2001,36,13600,{19=6},{19=10;801=5},,
2001037,2001,37,14000,{gold=1000000},{gold=3000000},,
2001038,2001,38,14400,{coin4=504},{coin4=2000;520=5},,
2001039,2001,39,14800,{532=24},{533=14},,
2001040,2001,40,15200,{940=9},{941=5;942=9},1,<1;2;3>
,,,,,,,
3001001,3001,1,2,{gold=1000000},{rmb=200},,
3001002,3001,2,4,{coin4=30},{520=2},,
3001003,3001,3,6,{14=50},{15=20;16=30},,
3001004,3001,4,8,{19=2},{19=10;801=1},,
3001005,3001,5,10,{gold=1000000},{gold=3000000},,
3001006,3001,6,12,{coin4=500},{coin4=2000;520=1},,
3001007,3001,7,14,{532=20},{533=10},,
3001008,3001,8,16,{940=5},{941=5;942=5},,
3001009,3001,9,18,{gold=1000001},{rmb=201},,
3001010,3001,10,20,{coin4=31},{520=3},1,<1;2;3>
3001011,3001,11,22,{14=51},{15=20;16=31},,
3001012,3001,12,24,{19=3},{19=10;801=2},,
3001013,3001,13,26,{gold=1000000},{gold=3000000},,
3001014,3001,14,28,{coin4=501},{coin4=2000;520=2},,
3001015,3001,15,30,{532=21},{533=11},,
3001016,3001,16,32,{940=6},{941=5;942=6},,
3001017,3001,17,34,{gold=1000002},{rmb=202},,
3001018,3001,18,36,{coin4=32},{520=4},,
3001019,3001,19,38,{14=52},{15=20;16=32},,
3001020,3001,20,40,{19=4},{19=10;801=3},1,<1;2;3>
3001021,3001,21,42,{gold=1000000},{gold=3000000},,
3001022,3001,22,44,{coin4=502},{coin4=2000;520=3},,
3001023,3001,23,46,{532=22},{533=12},,
3001024,3001,24,48,{940=7},{941=5;942=7},,
3001025,3001,25,50,{gold=1000003},{rmb=203},,
3001026,3001,26,52,{coin4=33},{520=5},,
3001027,3001,27,54,{14=53},{15=20;16=33},,
3001028,3001,28,56,{19=5},{19=10;801=4},,
3001029,3001,29,58,{gold=1000000},{gold=3000000},,
3001030,3001,30,60,{coin4=503},{coin4=2000;520=4},1,<1;2;3>
3001031,3001,31,62,{532=23},{533=13},,
3001032,3001,32,64,{940=8},{941=5;942=8},,
3001033,3001,33,66,{gold=1000004},{rmb=204},,
3001034,3001,34,68,{coin4=34},{520=6},,
3001035,3001,35,70,{14=54},{15=20;16=34},,
3001036,3001,36,72,{19=6},{19=10;801=5},,
3001037,3001,37,74,{gold=1000000},{gold=3000000},,
3001038,3001,38,76,{coin4=504},{coin4=2000;520=5},,
3001039,3001,39,78,{532=24},{533=14},,
3001040,3001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
