变量名,_beizhu,huodongID,type,quality,count,costMap,items
默认值,0,0,0,0,999,{},<>
ID,备注,活动版本ID,1-携带道具; 2-碎片,品质,消耗数量,消耗道具,兑换道具
1,,1001,1,4,1,{rmb=100},<{equip_awake_frag=10}>
2,,1001,1,5,1,{rmb=300},<{equip_awake_frag=30}>
,,,,,,,
11,,1002,1,4,1,{rmb=150},<{equip_awake_frag=50}>
,,,,,,,
100001,,2001,2,5,3,{rmb=100},<{20711=1};{20721=1};{20731=1};{20741=1};{20751=1};{20771=1};{20881=1};{21071=1};{21081=1};{21171=1};{21221=1};{21231=1};{21241=1};{21251=1}>
100002,,2001,2,6,2,{rmb=300},<{22381=1};{22431=1};{23631=1};{21261=1};{21961=1}>
,,,,,,,
100011,,2002,2,5,3,{rmb=5},<{21221=1};{21231=1};{21241=1};{20731=1};{20741=1};{20721=1};{22231=1};{21901=1};{23001=1};{23661=1};{22241=1};{22401=1};{21931=1};{21911=1};{21921=1}>
,,,,,,,
100021,cn第一版,2003,2,5,3,{rmb=5},<{21221=1};{21231=1};{21241=1};{20731=1};{20741=1};{20721=1};{20631=1};{22821=1};{21251=1};{21891=1};{22471=1};{21931=1};{21911=1};{21921=1}>
,,,,,,,
100031,cn第一版,2004,2,5,3,{rmb=5},<{21221=1};{21231=1};{21241=1};{20731=1};{20741=1};{20721=1};{22231=1};{21901=1};{23001=1};{23661=1};{22241=1};{22401=1};{23151=1};{20641=1};{23771=1}>
,,,,,,,
100121,cn第二版,2013,2,5,3,{rmb=5},<{21221=1};{21231=1};{21241=1};{20731=1};{20741=1};{20721=1};{20631=1};{22821=1};{21251=1};{21891=1};{22471=1};{21931=1};{21911=1};{21921=1};{23841=1};{21031=1};{24131=1}>
,,,,,,,
100131,cn第二版,2014,2,5,3,{rmb=5},<{21221=1};{21231=1};{21241=1};{20731=1};{20741=1};{20721=1};{22231=1};{21901=1};{23001=1};{23661=1};{22241=1};{22401=1};{23151=1};{20641=1};{23771=1};{21941=1};{21951=1}>
