"﻿变量名",huodongID,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,remark,remark_tw,remark_en,remark_vn,remark_kr,params,addType,addNum,goto
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},0,0,""""""
ID,活动版本ID,活动标题,活动标题,活动标题,活动标题,活动标题,活动描述,活动描述,活动描述,活动描述,活动描述,活动备注,活动备注,活动备注,活动备注,活动备注,活动参数,生效期(1天数;2次数),活动加成数值,跳转目标
1,101016,More Daily Dungeon attempts,日常副本次數增加,More Daily Dungeon attempts,,일일 던전 횟수 증가,"During the event, all Daily Dungeons grant more challenge attempts.",活動期間，所有日常副本內的內容每個均增加挑戰次數,"During the event, all Daily Dungeons grant more challenge attempts.",,"이벤트 기간, 모든 일일 던전 한번 씩 도전 횟수 증가","If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",若與平常日常活動同期，則在兩個活動同時生效，兩個活動均有加成次數的該活動副本，將疊加所有活動的次數,"If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",,이벤트 기간에 모든 일일 던전의 내용의 도전 횟수가 모두 증가,{type=1;count=3},1,5,activityGate
2,101016,Double Rewards for Road of Adventure Raid,冒險之路掃蕩翻倍,Double Rewards for Road of Adventure Raid,,모험의 길 소탕 2배,"During the event, rewards for Road of Adventure Raid doubled.",活動期間，冒險之路掃蕩獎勵翻倍,"During the event, rewards for Road of Adventure Raid doubled.",,"이벤트 기간, 모험의 길  소탕 보상을 2배로 획득할 수 있다","If it coincides with Daily Event, the bonus and duration cannot be stacked.",若與日常活動同期，則不進行兩個活動的倍數與時間等條件的疊加哦,"If it coincides with Daily Event, the bonus and duration cannot be stacked.",,"이벤트 기간에, 모험의 길 소탕 보상이 2배가 됩니다",{type=2;multiples=2},1,3,endlessTower
3,101016,Double Story Dungeon Drops,劇情副本掉落翻倍,Double Story Dungeon Drops,,스토리 던전 드랍 2배,"With event's valid attempts, Story Dungeon drops doubled.",活動次數內，劇情副本産出內容翻倍,"With event's valid attempts, Story Dungeon drops doubled.",,"이벤트  횟수 내에서, 스토리 던전 보상을 2배로 획득할 수 있다","Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.",掃蕩與戰鬥都在計數內，若與日常關卡翻倍活動同期，則先按照日常活動的時間計算，之後再計算被活動次數,"Both Raid and Fight are counted. If it coincides with Daily Stage Double-drops Event, the duration for Daily Event will be counted first, and then the attempts of this event.",,이벤트 횟수 안에 스토리 던전에서 생성되는 내용물이 2배가 됩니다,{type=3;start=10101;end=12510},2,150,10000
4,101016,Double Purchased Stamina,體力購買雙倍,Double Purchased Stamina,,체력 구매 2배,"During the event, first 5 purchases of Stamina every day grant double Stamina.",活動期間，每日前5次購買體力享受獲得體力雙倍,"During the event, first 5 purchases of Stamina every day grant double Stamina.",,"이벤트 기간, 매일 5회 체력을 구입해 체력의 2배를 획득할 수 있다","If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts",若與日常體力購買雙倍活動同期，則按照購買次數多的該活動執行,"If it coincides with Daily Double Purchased Stamina Event, carry out the event with higher purchase attempts",,이벤트 기간에 매일 첫 5회 체력 구매 시 2배 체력 혜택을 누릴 수 있습니다,{type=4;count=5},1,3,gainStamina
5,101016,Double Coins,聚寶金幣翻倍,Double Coins,,보물단지 코인 2배,"During the event, first 8 Fortunes every day grant double Coins.",活動期間，每日前8次聚寶可以獲得雙倍金幣,"During the event, first 8 Fortunes every day grant double Coins.",,"이벤트 기간 , 매일 전 8회 보물단지   금화의 2배를 획득할 수 있다","If it coincides with Daily Double Fortune Event, carry out the event with higher attempts",若與日常聚寶翻倍活動同期，則優先進行翻倍次數多的活動,"If it coincides with Daily Double Fortune Event, carry out the event with higher attempts",,"이벤트 기간에, 매일 첫 8회 보물단지에서 2배 코인을 얻을 수 있습니다",{type=5;count=8},1,5,gainGold
,,,,,,,,,,,,,,,,,,,,
6,101017,More Daily Dungeon attempts,日常副本次數增加,More Daily Dungeon attempts,,일일 던전 횟수 증가,"During the event, all Daily Dungeons grant more challenge attempts.",活動期間，所有日常副本內的內容每個均增加挑戰次數,"During the event, all Daily Dungeons grant more challenge attempts.",,"이벤트 기간, 모든 일일 던전 한번 씩 도전 횟수 증가","If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",若與平常日常活動同期，則在兩個活動同時生效，兩個活動均有加成次數的該活動副本，將疊加所有活動的次數,"If it coincides with Daily Event, the bonus for both events is effective simultaneously. Attempts can be stacked for Dungeons affected in both events.",,이벤트 기간에 모든 일일 던전의 내용의 도전 횟수가 모두 증가,{type=1;count=3},1,5,activityGate
7,101017,Double Rewards for Road of Adventure Raid,冒險之路掃蕩翻倍,Double Rewards for Road of Adventure Raid,,모험의 길 소탕 2배,"During the event, rewards for Road of Adventure Raid doubled.",活動期間，冒險之路掃蕩獎勵翻倍,"During the event, rewards for Road of Adventure Raid doubled.",,"이벤트 기간, 모험의 길  소탕 보상을 2배로 획득할 수 있다","If it coincides with Daily Event, the bonus and duration cannot be stacked.",若與日常活動同期，則不進行兩個活動的倍數與時間等條件的疊加哦,"If it coincides with Daily Event, the bonus and duration cannot be stacked.",,"이벤트 기간에, 모험의 길 소탕 보상이 2배가 됩니다",{type=2;multiples=2},1,3,endlessTower
