﻿变量名,huodongID,pointNode,award1,award2,res,resOpen
默认值,0,9999,{},{},"""""",""""""
ID,活动版本ID,积分节点,老玩家奖励,回归玩家奖励,宝箱图标,宝箱打开图标
101,101016,40,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
102,101016,80,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
103,101016,120,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
104,101016,160,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
105,101016,200,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
106,101016,240,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
107,101016,280,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
108,101016,320,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
109,101016,360,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
110,101016,400,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
111,101016,440,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
112,101016,490,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
113,101016,540,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
114,101016,600,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
115,101016,680,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
201,101017,40,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
202,101017,80,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
203,101017,120,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
204,101017,160,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
205,101017,200,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
206,101017,240,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
207,101017,280,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
208,101017,320,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
209,101017,360,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
210,101017,400,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
211,101017,440,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
212,101017,490,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
213,101017,540,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
214,101017,600,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
215,101017,680,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
301,101018,40,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
302,101018,80,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
303,101018,120,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
304,101018,160,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
305,101018,200,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
306,101018,240,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
307,101018,280,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
308,101018,320,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
309,101018,360,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
310,101018,400,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
311,101018,440,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
312,101018,490,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
313,101018,540,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
314,101018,600,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
315,101018,680,{519=1},{rmb=30},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
