﻿"﻿变量名",huodongID,themeType,taskLinks,isSync,isCooperative,theme,theme_tw,theme_en,theme_vn,theme_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,taskType,taskParam,taskSpecialParam,award,point,goto
默认值,0,2,,FALSE,FALSE,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,9999,{},{},0,""""""
ID,活动版本ID,主题分类(1每日签到;2相逢有时),任务链,是否同步展示给老玩家,是否合作完成,任务主题,任务主题,任务主题,任务主题,任务主题,任务描述,任务描述,任务描述,任务描述,任务描述,任务类型,任务参数,任务特殊参数,任务奖励,任务积分,跳转目标
101,101016,2,1,,,Perfect Attendance,一天不落,Perfect Attendance,,프로 참석러,Login for 1 day,累計登錄天數達到1天,Login for 1 day,,누적 로그인일 수 1일 달성,17,1,,{rmb=20},10,
102,101016,2,2,,,Perfect Attendance,一天不落,Perfect Attendance,,프로 참석러,Login for 3 days,累計登錄天數達到3天,Login for 3 days,,누적 로그인일 수 3일 달성,17,3,,{rmb=20},20,
103,101016,2,3,,,Perfect Attendance,一天不落,Perfect Attendance,,프로 참석러,Login for 5 days,累計登錄天數達到5天,Login for 5 days,,누적 로그인일 수 5일 달성,17,5,,{rmb=20},30,
104,101016,2,4,,,Perfect Attendance,一天不落,Perfect Attendance,,프로 참석러,Login for 7 days,累計登錄天數達到7天,Login for 7 days,,누적 로그인일 수 7일 달성,17,7,,{rmb=20},50,
105,101016,2,1,,,Stage Sweeper,通關能手,Stage Sweeper,,클리어 장인,Challenge Common Dungeon 20 times,通關副本達到20次,Challenge Common Dungeon 20 times,,던전 20회 클리어 달성,33,20,,{rmb=20},10,10000
106,101016,2,2,,,Stage Sweeper,通關能手,Stage Sweeper,,클리어 장인,Challenge Common Dungeon 50 times,通關副本達到50次,Challenge Common Dungeon 50 times,,던전 50회 클리어 달성,33,50,,{rmb=20},20,10000
107,101016,2,3,,,Stage Sweeper,通關能手,Stage Sweeper,,클리어 장인,Challenge Common Dungeon 100 times,通關副本達到100次,Challenge Common Dungeon 100 times,,던전 100회 클리어 달성,33,100,,{rmb=20},30,10000
108,101016,2,4,,,Stage Sweeper,通關能手,Stage Sweeper,,클리어 장인,Challenge Common Dungeon 180 times,通關副本達到180次,Challenge Common Dungeon 180 times,,던전 180회 클리어 달성,33,180,,{rmb=20},50,10000
109,101016,2,5,,,Stage Sweeper,通關能手,Stage Sweeper,,클리어 장인,Challenge Common Dungeon 260 times,通關副本達到260次,Challenge Common Dungeon 260 times,,던전 260회 클리어 달성,33,260,,{rmb=20},80,10000
110,101016,2,1,,,King of PvP,PK之王,King of PvP,,PK의 제왕,Fight in the Arena 5 times,競技場內戰鬥5次,Fight in the Arena 5 times,,아레나 전투 5회 진행,41,5,,{rmb=20},10,arena
111,101016,2,2,,,King of PvP,PK之王,King of PvP,,PK의 제왕,Fight in the Arena 10 times,競技場內戰鬥10次,Fight in the Arena 10 times,,아레나 전투 10회 진행,41,10,,{rmb=20},20,arena
112,101016,2,3,,,King of PvP,PK之王,King of PvP,,PK의 제왕,Fight in the Arena 16 times,競技場內戰鬥16次,Fight in the Arena 16 times,,아레나 전투 16회 진행,41,16,,{rmb=20},30,arena
113,101016,2,4,,,King of PvP,PK之王,King of PvP,,PK의 제왕,Fight in the Arena 25 times,競技場內戰鬥25次,Fight in the Arena 25 times,,아레나 전투 25회 진행,41,25,,{rmb=20},50,arena
114,101016,2,5,,,King of PvP,PK之王,King of PvP,,PK의 제왕,Fight in the Arena 32 times,競技場內戰鬥32次,Fight in the Arena 32 times,,아레나 전투 32회 진행,41,32,,{rmb=20},80,arena
115,101016,2,1,TRUE,,Super Errand-man,金牌跑腿,Super Errand-man,,에이스 심부름꾼,Complete Dispatch 6 times,完成派遣累計6次,Complete Dispatch 6 times,,파견 완료 누적 6회,85,6,,{rmb=20},10,dispatchTask
116,101016,2,2,TRUE,,Super Errand-man,金牌跑腿,Super Errand-man,,에이스 심부름꾼,Complete Dispatch 12 times,完成派遣累計12次,Complete Dispatch 12 times,,파견 완료 누적 12회,85,12,,{rmb=20},20,dispatchTask
117,101016,2,3,TRUE,,Super Errand-man,金牌跑腿,Super Errand-man,,에이스 심부름꾼,Complete Dispatch 20 times,完成派遣累計20次,Complete Dispatch 20 times,,파견 완료 누적 20회,85,20,,{rmb=20},30,dispatchTask
