﻿﻿变量名,huodongID,num,award
默认值,1001,0,{}
ID,活动版本号,阶段消耗钻石或金币数,阶段奖励
,,,
1,1001,5000000,{529=30}
2,1001,10000000,{452=30}
3,1001,50000000,{942=1}
4,1001,100000000,{966=3}
5,1001,500000000,{2152=1}
6,1001,1000000000,{521=10}
,,,
11,1002,2500,{902=5}
12,1002,5000,{501=10}
13,1002,10000,{967=2}
14,1002,20000,{6059=1}
15,1002,35000,{521=10}
16,1002,50000,{994=1}
,,,
101,1003,5000000,{529=30}
102,1003,10000000,{452=30}
103,1003,50000000,{942=1}
104,1003,100000000,{966=3}
105,1003,500000000,{2152=1}
106,1003,1000000000,{521=10}
,,,
111,1004,2500,{902=5}
112,1004,5000,{501=10}
113,1004,10000,{967=2}
114,1004,20000,{6059=1}
115,1004,35000,{521=10}
116,1004,50000,{994=1}
,,,
201,2001,5000000,{gold=1000000}
202,2001,10000000,{5000=100}
203,2001,30000000,{930=100}
204,2001,50000000,{16=30}
205,2001,70000000,{902=30}
206,2001,100000000,{stamina=200}
,,,
211,2002,2000,{503=10}
212,2002,5000,{501=3}
213,2002,10000,{520=10}
214,2002,20000,{2152=1}
215,2002,30000,{6050=1}
216,2002,50000,{521=15}
