﻿变量名,huodongID,icon1,icon2,weight
默认值,0,"""""","""""",0
ID,活动ID,材料icon,摊位材料icon,随机权重
1,101058,activity/beach_ice/icon_cl_1.png,activity/beach_ice/icon_bb_1.png,1
2,101058,activity/beach_ice/icon_cl_2.png,activity/beach_ice/icon_bb_2.png,1
3,101058,activity/beach_ice/icon_cl_3.png,activity/beach_ice/icon_bb_3.png,1
4,101058,activity/beach_ice/icon_cl_4.png,activity/beach_ice/icon_bb_4.png,1
5,101058,activity/beach_ice/icon_cl_5.png,activity/beach_ice/icon_bb_5.png,1
6,101058,activity/beach_ice/icon_cl_6.png,activity/beach_ice/icon_bb_6.png,1
7,101058,activity/beach_ice/icon_cl_7.png,activity/beach_ice/icon_bb_7.png,1
8,101058,activity/beach_ice/icon_cl_8.png,activity/beach_ice/icon_bb_8.png,1
9,101058,activity/beach_ice/icon_cl_9.png,activity/beach_ice/icon_bb_9.png,1
10,101058,activity/beach_ice/icon_cl_10.png,activity/beach_ice/icon_bb_10.png,1
11,101058,activity/beach_ice/icon_cl_11.png,activity/beach_ice/icon_bb_11.png,1
12,101058,activity/beach_ice/icon_cl_12.png,activity/beach_ice/icon_bb_12.png,1
13,101058,activity/beach_ice/icon_cl_13.png,activity/beach_ice/icon_bb_13.png,1
14,101058,activity/beach_ice/icon_cl_14.png,activity/beach_ice/icon_bb_14.png,1
15,101058,activity/beach_ice/icon_cl_15.png,activity/beach_ice/icon_bb_15.png,1
16,101058,activity/beach_ice/icon_cl_16.png,activity/beach_ice/icon_bb_16.png,1
17,101058,activity/beach_ice/icon_cl_17.png,activity/beach_ice/icon_bb_17.png,1
18,101058,activity/beach_ice/icon_cl_18.png,activity/beach_ice/icon_bb_18.png,1
19,101058,activity/beach_ice/icon_cl_19.png,activity/beach_ice/icon_bb_19.png,1
20,101058,activity/beach_ice/icon_cl_20.png,activity/beach_ice/icon_bb_20.png,1
