变量名,huodongID,type,num,award
默认值,0,1,0,{}
ID,活动版本ID,页签类型(1-签到;2-积分),目标值,任务奖励
1,101031,1,1,{gold=680000;rmb=88;503=2;502=3}
2,101031,1,2,{gold=280000;rmb=38;503=1;502=1}
3,101031,1,3,{gold=1680000;rmb=288;503=6;521=4}
4,101031,1,4,{gold=1080000;rmb=168;503=4;521=2}
5,101031,1,5,{gold=680000;rmb=88;503=2;502=3}
6,101031,1,6,{gold=280000;rmb=38;503=1;502=1}
7,101031,1,7,{gold=1680000;rmb=288;503=6;521=4}
8,101031,2,300,{gold=680000;rmb=88;503=2;502=3}
9,101031,2,600,{gold=280000;rmb=38;503=1;502=1}
10,101031,2,800,{gold=1680000;rmb=288;503=6;521=4}
11,101031,2,1000,{gold=1080000;rmb=168;503=4;521=2}
12,101031,2,1300,{gold=680000;rmb=88;503=2;502=3}
13,101031,2,1600,{gold=280000;rmb=38;503=1;502=1}
14,101031,2,2000,{gold=1680000;rmb=288;503=6;521=4}
15,101031,2,2300,{gold=1080000;rmb=168;503=4;521=2}
16,101031,2,2600,{gold=680000;rmb=88;503=2;502=3}
17,101031,2,3900,{gold=280000;rmb=38;503=1;502=1}
18,101031,2,4200,{gold=1680000;rmb=288;503=6;521=4}
19,101031,2,4400,{gold=1080000;rmb=168;503=4;521=2}
20,101031,2,4600,{gold=680000;rmb=88;503=2;502=3}
21,101031,2,5000,{gold=280000;rmb=38;503=1;502=1}
,,,,
101,10001,1,1,{6326=3;gold=200000;rmb=88}
102,10001,1,2,{6326=3;gold=200000;rmb=88}
103,10001,1,3,{6326=3;gold=200000;rmb=88}
104,10001,1,4,{6326=3;gold=200000;rmb=88}
105,10001,1,5,{6326=3;gold=200000;rmb=88}
106,10001,1,6,{6326=3;gold=200000;rmb=88}
107,10001,1,7,{6326=3;gold=200000;rmb=88}
108,10001,1,8,{6326=3;gold=200000;rmb=88}
109,10001,1,9,{6326=3;gold=200000;rmb=88}
110,10001,1,10,{6326=3;gold=200000;rmb=88}
111,10001,1,11,{6326=3;gold=200000;rmb=88}
112,10001,1,12,{6326=3;gold=200000;rmb=88}
,,,,
201,10001,2,300,{5000=10;930=10;850=50}
202,10001,2,600,{21941=3;21951=3;2102=10}
203,10001,2,800,{5000=15;930=15;850=50}
204,10001,2,1000,{21941=3;21951=3;2102=10}
205,10001,2,1300,{5000=15;930=15;850=50}
206,10001,2,1600,{502=3;gold=200000;rmb=50}
