"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,icon,icon1,rDesc,rDesc_tw,rDesc_en,rDesc_vn,rDesc_kr,type,independent,desc,desc_tw,desc_en,desc_vn,desc_kr,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint
"默认值","""""","""""","""""","""""","""""","""""",city/main/icon_thlb.png,0,"""rDesc""","""rDesc""","""rDesc""","""rDesc""","""rDesc""",0,0,"""""","""""","""""","""""","""""",{},{},0,1,1,<20160101;20200219>,<20160101;20990101>,20160101,500,0,0,20250101,500,0,0,<0;9999>,1,0,0,<-1;9999>,<-1;9999>,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;tw=<1;999999>;kr=<1;999999>;en=<1;999999>;xy=<1;999999>},<cn;tw;en;vn;th;kr>,0,0,0
"ID",备注,显示用,显示用,显示用,显示用_越南,显示用_韩,活动图示,活动角标(1:热门，2: 限时，3:最新),活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示_越南,活动右边子面板描述 rDesc 预设没有文本，不会显示_韩,活动分类,"""-1: 不显示(如魂匣，海报等); 0: 活动内置（限时活动）; 1: 活动外部显示（收纳）; 2: 活动外部显示（不收纳）; 3: 活动内置（福利入口）;4: 外部收纳+活动; 5: 外部收纳+福利""""",活动简介,活动简介,活动简介,活动简介_越南,活动简介_韩,活动参数,客户端需要参数(1.isShowCountDown=false活动倒计时隐藏、2.generalTaskDisappear=true活动奖励领取完页签消失、3.isShowTitle=false标题隐藏、4.limitId魂匣索引、5.priviewId抽卡预览索引),活动版本ID,计数类型0-每日、1-累计、特殊活动类型忽略,开放周期(0=一次性、1=每日活动、2=周期活动、3-相对开服日期、4-相对角色创建时间),生效的开服时间区间,生效的创角时间区间,开始日期,开始时间,开始时间,开始时间,截止日期,截止时间,截止时间,截止时间,持续的相对天数（3、4类型使用）,持续小时,最低等级限制,最低VIP限制,开服时间限制,创角时间限制,服务器,语言区域,是否激活,排序值,提示性红点（1为开启，0为关闭）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1",Serve dinner_fixed,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,7,,Buffrey,寶芙蕾,Poké Puff,Bảo Frey,포플레,{stamina=60},,,,,<20160101;20990101>,,20160625,900,900,900,,,,,,3,,,,,,<cn;tw;en;vn;th;kr>,1,70,
"2",Serve dinner_fixed,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,7,,Buffrey,寶芙蕾,Poké Puff,Bảo Frey,포플레,{stamina=60},,,,,<20160101;20990101>,,20160625,1200,1200,1200,,,,,,3,,,,,,<cn;tw;en;vn;th;kr>,1,80,
"3",Serve dinner_fixed,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,7,,Buffrey,寶芙蕾,Poké Puff,Bảo Frey,포플레,{stamina=60},,,,,<20160101;20990101>,,20160625,1800,1800,1800,,,,,,3,,,,,,<cn;tw;en;vn;th;kr>,1,70,
"4",Serve dinner_fixed,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,7,,Buffrey,寶芙蕾,Poké Puff,Bảo Frey,포플레,{stamina=60},,,,,<20160101;20990101>,,20160625,2100,2100,2100,,,,,,3,,,,,,<cn;tw;en;vn;th;kr>,1,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5",Recover physical strength_fixed,,,,,,00ShuMa/TLBL_res/tlbl.png,,,,,,,27,3,Buffrey,寶芙蕾,Poké Puff,Bảo Frey,포플레,{rmb=10},,,,4,<20160101;20990101>,,20181028,500,0,0,,500,0,0,<0;9999>,5000000,,,,,,<cn;tw;en;kr>,1,1,
"6",Level Fund_Fixed,,,,,,00ShuMa/HD_res/LevelJiJin/10.png,,,,,,,22,3,grade fund,等級基金,Level Fund,Đẳng cấp quỹ ngân sách,레벨 기금,{vip=3;rmb=1000},,22001,,,<20160101;20990101>,,,,,,,,,,,5000000,,,,,,<cn;tw;en;kr>,1,2,
"7",Welcome email_fixed,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=106},,,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,
,VIP mail_Uptest is obsolete,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=107},,,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;0>,5000000,,,,,,<cn;tw;en;kr>,1,0,
"8",resource retrieval,,,,,,,,,,,,,41,3,resource retrieval,資源找回,Resource recovery,404404,자원 회수,{freeProportion=60;limit=3;dayUpd=<1;1.8;2.6>;rmbUpd=<1;1.8;2.6>},{isShowCountDown=false;isShowTitle=false;freeProportion=60;limit=3;dayUpd=<1;1.8;2.6>;rmbUpd=<1;1.8;2.6>;generalTaskNotShowTime=true;topBg=activity/banner_zyhs@.png},22002,,,<20160101;20990101>,,,,,,,,,,,5000000,20,,,,,<cn;tw;en;kr>,1,4,
"9",Welcome email_en third-party recharge warning,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=113},,,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;0>,5000000,,,,,,<en>,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11",30 month card_fixed,,,,,,ICON/yunying/yueka.png,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,6,3,monthly card,月卡,Monthly subscription,404404,월정액,{rechargeID=1;award={rmb=100;453=20;stamina=50};privilege=1;title=35;most=3},,,,,<20160101;20990101>,,20160625,500,0,0,,500,0,0,,24,,,,,,<cn;tw;en;kr>,1,3,1
"12",88 month card_fixed,,,,,,ICON/yunying/yueka.png,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,6,3,Supreme Monthly Card,至尊月卡,Supreme Monthly subscription,404404,슈퍼 월정액,{rechargeID=2;award={rmb=200;19=1;stamina=50};privilege=2;title=36;most=3},,,,,<20160101;20990101>,,20160625,500,0,0,,500,0,0,,24,,,,,,<cn;tw;en;kr>,1,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15",Welcome Email_kr Reservation Rewards,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=130},,,,4,<20160101;20990101>,,20190816,500,0,0,20210224,500,0,0,<0;0>,5000000,,,,,,<kr>,1,0,
