变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum
默认值,"""""",0,<>,<>,{gold=20000},<>,<>,{gold=500000},10
ID,备注,类型,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,指定特殊碎片<<fragID1;num>;<fragID2;num>>(fragID支持配置万能碎片itemID),碎片转化消耗固定材料,精灵转换需<稀有度;属性系> -1为任意,指定特殊卡牌<markID>,卡牌转化消耗固定材料,精灵转换数量
59001,Ditto · Purple A,1,<<4;-1;1>;>,<<29001;1>>,{gold=10000},<<2;-1>;>,<9001>,{gold=300000},30
59002,Ditto Orange S,1,<<5;-1;1>;>,<<29002;1>>,{gold=15000},<<3;-1>;>,<9002>,{gold=750000},50
59003,Ditto Red S+,1,<<6;-1;1>;>,<<29003;1>>,{gold=20000},<<4;-1>;>,<9003>,{gold=1600000},80
50001,Frog Flower A,2,,<<20001;1>;<502;1>>,{gold=10000},,<1;9001>,{gold=300000},30
50011,Charizard A,2,,<<20011;1>>,{gold=10000},,<11;9001>,{gold=300000},30
50021,Blastoise A,2,,<<20021;1>>,{gold=10000},,<21;9001>,{gold=300000},30
50031,Butterfly B,2,,<<20031;1>>,{gold=10000},,<31;>,{gold=200000},20
50041,Big needle bee B,2,,<<20041;1>>,{gold=10000},,<41;>,{gold=200000},20
50051,Big Pit A,2,,<<20051;1>>,{gold=10000},,<51;9001>,{gold=300000},30
50061,Radha B,2,,<<20061;1>>,{gold=10000},,<61;>,{gold=200000},20
50071,Toucan B,2,,<<20071;1>>,{gold=10000},,<71;>,{gold=200000},20
50081,Arbor B,2,,<<20081;1>>,{gold=10000},,<81;>,{gold=200000},20
50091,Raichu A,2,,<<20091;1>>,{gold=10000},,<91;9001>,{gold=300000},30
50101,Chuanshanwang B,2,,<<20101;1>>,{gold=10000},,<101;>,{gold=200000},20
50111,Nido Queen B,2,,<<20111;1>>,{gold=10000},,<111;>,{gold=200000},20
50121,Nido King B,2,,<<20121;1>>,{gold=10000},,<121;>,{gold=200000},20
50131,Pixie A,2,,<<20131;1>>,{gold=10000},,<131;9001>,{gold=300000},30
50151,Fat Keding A,2,,<<20151;1>>,{gold=10000},,<151;9001>,{gold=300000},30
50161,Forked Bat S,2,,<<20161;1>>,{gold=15000},,<161;9002>,{gold=750000},50
50171,Rafflesia B,2,,<<20171;1>>,{gold=10000},,<171;>,{gold=200000},20
50191,Molu moth B,2,,<<20191;1>>,{gold=10000},,<191;>,{gold=200000},20
50221,Gotha Duck A,2,,<<20221;1>>,{gold=10000},,<221;9001>,{gold=300000},30
50231,Fire Monkey B,2,,<<20231;1>>,{gold=10000},,<231;>,{gold=200000},20
50241,Wind Speed Dog S,2,,<<20241;1>>,{gold=15000},,<241;9002>,{gold=750000},50
50261,Hu Di S,2,,<<20261;1>>,{gold=15000},,<261;9002>,{gold=750000},50
50271,Weird A,2,,<<20271;1>>,{gold=10000},,<271;9001>,{gold=300000},30
50281,Big food flower A,2,,<<20281;1>>,{gold=10000},,<281;9001>,{gold=300000},30
50301,Rumble Rock A,2,,<<20301;1>>,{gold=10000},,<301;9001>,{gold=300000},30
50331,Magneto S,2,,<<20331;1>>,{gold=15000},,<331;9002>,{gold=750000},50
50341,Scallion Duck A,2,,<<20341;1>>,{gold=10000},,<341;9001>,{gold=300000},30
50351,Duduli B,2,,<<20351;1>>,{gold=10000},,<351;>,{gold=200000},20
50371,Smelly mud A,2,,<<20371;1>>,{gold=10000},,<371;9001>,{gold=300000},30
50381,Spiny clam S,2,,<<20381;1>>,{gold=15000},,<381;9002>,{gold=750000},50
50391,Gengar S,2,,<<20391;1>>,{gold=15000},,<391;9002>,{gold=750000},50
50401,Steel Snake S,2,,<<20401;1>>,{gold=15000},,<401;9002>,{gold=750000},50
50451,Gala Gala B,2,,<<20451;1>>,{gold=10000},,<451;>,{gold=200000},20
50461,Flying Legs A,2,,<<20461;1>>,{gold=10000},,<461;9001>,{gold=300000},30
50471,big tongue lick A,2,,<<20471;1>>,{gold=10000},,<471;9001>,{gold=300000},30
50481,Double Bomb Gas A,2,,<<20481;1>>,{gold=10000},,<481;9001>,{gold=300000},30
50491,Super armor mad rhino S,2,,<<20491;1>>,{gold=15000},,<491;9002>,{gold=750000},50
50501,Happy egg S,2,,<<20501;1>>,{gold=15000},,<501;9002>,{gold=750000},50
50541,Goldfish King B,2,,<<20541;1>>,{gold=10000},,<541;>,{gold=200000},20
50551,Gem Starfish A,2,,<<20551;1>>,{gold=10000},,<551;9001>,{gold=300000},30
50571,Giant Claw Mantis S,2,,<<20571;1>>,{gold=15000},,<571;9002>,{gold=750000},50
50591,Electric Shock Warcraft S,2,,<<20591;1>>,{gold=15000},,<591;9002>,{gold=750000},50
50601,Platypus S,2,,<<20601;1>>,{gold=15000},,<601;9002>,{gold=750000},50
50631,Gyarados S,2,,<<20631;1>>,{gold=15000},,<631;9002>,{gold=750000},50
50641,Laplace S,2,,<<20641;1>>,{gold=15000},,<641;9002>,{gold=750000},50
50691,Sickle Helmet A,2,,<<20691;1>>,{gold=10000},,<691;9001>,{gold=300000},30
50701,Fossil Pterosaur S,2,,<<20701;1>>,{gold=15000},,<701;9002>,{gold=750000},50
50711,Snorkel S,2,,<<20711;1>>,{gold=15000},,<711;9002>,{gold=750000},50
50721,Frozen Bird S,2,,<<20721;1>>,{gold=15000},,<721;9002>,{gold=750000},50
50731,Lightning Bird S,2,,<<20731;1>>,{gold=15000},,<731;9002>,{gold=750000},50
50741,Flamingo S,2,,<<20741;1>>,{gold=15000},,<741;9002>,{gold=750000},50
50751,Fast Dragon S,2,,<<20751;1>>,{gold=15000},,<751;9002>,{gold=750000},50
50761,Chaomeng S+,2,,<<20761;1>>,{gold=20000},,<761;9003>,{gold=1600000},80
50771,Fantasy S,2,,<<20771;1>>,{gold=15000},,<771;9002>,{gold=750000},50
50781,Geranium A,2,,<<20781;1>>,{gold=10000},,<781;9001>,{gold=300000},30
50791,Pyro A,2,,<<20791;1>>,{gold=10000},,<791;9001>,{gold=300000},30
50801,Alligator A,2,,<<20801;1>>,{gold=10000},,<801;9001>,{gold=300000},30
50861,Pokkiss S,2,,<<20861;1>>,{gold=15000},,<861;9002>,{gold=750000},50
50881,Electric Dragon S,2,,<<20881;1>>,{gold=15000},,<881;9002>,{gold=750000},50
50891,Mary Lurie B,2,,<<20891;1>>,{gold=10000},,<891;>,{gold=200000},20
51031,Scorpio King S,2,,<<21031;1>>,{gold=15000},,<1031;9002>,{gold=750000},50
51071,Hercules S,2,,<<21071;1>>,{gold=15000},,<1071;9002>,{gold=750000},50
51081,Mala S,2,,<<21081;1>>,{gold=15000},,<1081;9002>,{gold=750000},50
51171,Heluga S,2,,<<21171;1>>,{gold=15000},,<1171;9002>,{gold=750000},50
51221,Thunder S,2,,<<21221;1>>,{gold=15000},,<1221;9002>,{gold=750000},50
51231,Entei S,2,,<<21231;1>>,{gold=15000},,<1231;9002>,{gold=750000},50
51241,Suicune-S,2,,<<21241;1>>,{gold=15000},,<1241;9002>,{gold=750000},50
51251,Bangeras S,2,,<<21251;1>>,{gold=15000},,<1251;9002>,{gold=750000},50
51261,Lugia S+,2,,<<21261;1>>,{gold=20000},,<1261;9003>,{gold=1600000},80
51271,Phoenix King S+,2,,<<21271;1>>,{gold=20000},,<1271;9003>,{gold=1600000},80
51291,Lizard King S,2,,<<21291;1>>,{gold=15000},,<1291;9002>,{gold=750000},50
51301,Flame Chicken S,2,,<<21301;1>>,{gold=15000},,<1301;9002>,{gold=750000},50
51311,Swamp Monster S,2,,<<21311;1>>,{gold=15000},,<1311;9002>,{gold=750000},50
51351,Lotte Kappa B,2,,<<21351;1>>,{gold=10000},,<1351;>,{gold=200000},20
51391,Xanadu S,2,,<<21391;1>>,{gold=15000},,<1391;9002>,{gold=750000},50
51421,leave king S,2,,<<21421;1>>,{gold=15000},,<1421;9002>,{gold=750000},50
51441,Boom A,2,,<<21441;1>>,{gold=10000},,<1441;9001>,{gold=300000},30
51501,Boss Cordora S,2,,<<21501;1>>,{gold=15000},,<1501;9002>,{gold=750000},50
51611,Fire camel A,2,,<<21611;1>>,{gold=10000},,<1611;9001>,{gold=300000},30
51801,Cursed Doll A,2,,<<21801;1>>,{gold=10000},,<1801;9001>,{gold=300000},30
51811,Night Monster S,2,,<<21811;1>>,{gold=15000},,<1811;9002>,{gold=750000},50
51841,Absolu S,2,,<<21841;1>>,{gold=15000},,<1841;9002>,{gold=750000},50
51851,Ice Ghost Guard A,2,,<<21851;1>>,{gold=10000},,<1851;9001>,{gold=300000},30
51861,Diya Sea Lion A,2,,<<21861;1>>,{gold=10000},,<1861;9001>,{gold=300000},30
51891,Tyrannosaurus S,2,,<<21891;1>>,{gold=15000},,<1891;9002>,{gold=750000},50
51901,Metagross S,2,,<<21901;1>>,{gold=15000},,<1901;9002>,{gold=750000},50
