变量名,zawakeID,awakeSeqID,level,costItemMap,exp,attrAddType,natureType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,extraScene,extraAttrs,skillID,viceHeldItem,activeReq
默认值,0,0,0,{},0,1,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",<>,{},0,FALSE,{}
ID,z觉醒id,觉醒阶段ID,觉醒等级,觉醒消耗,觉醒之力经验加成,属性加成类型：1-自身系列属性加成；2-指定自然属性卡牌属性加成(同一markID精灵只生效一次)；3-全体卡牌属性加成(同一markID精灵只生效一次),自然属性,属性加成1,属性加成数值1,属性加成2,属性加成数值2,属性加成3,属性加成数值3,属性加成4,属性加成数值4,属性加成5,属性加成数值5,额外属性加成场景(0-主城;1-关卡;2-竞技场;3-活动副本;4-冒险之路;5-公会副本;6-石英;7-元素挑战;8-以太;9-公会战;10-跨服石英;11-世界Boss;12-跨服竞技场;13-跨服实时对战;14-道馆;15-活动Boss;16-道馆PVP;17-跨服资源战PVP;18-跨服资源战boss;19-勇者挑战;20-远征;21-夏日挑战),额外属性加成,觉醒新增技能id（旧技能强化采用类似星级激活的逻辑方式）,新增副携带,生效条件(goodFeel:好感度等级;equipStarSum:饰品总星级;equipAwakeSum:饰品总觉醒;equipSignetAdvanceSum:饰品总刻印等级;zawakeStage:Z觉醒阶段;star:精灵星级;nvalueSum:个体值总和;advance:突破阶段;effort:精灵努力值阶段;gemQuality:符石指数)
101101,1,1,1,{gold=100000;50001=3;59001=3},50,1,0,1,731,7,145,8,145,9,102,10,102,,,,,
101102,1,1,2,{gold=120000;50001=3;59001=3},50,1,0,1,738,7,146,8,146,9,103,10,103,,,,,
101103,1,1,3,{gold=140000;50001=4;59001=4},50,1,0,1,746,7,148,8,148,9,104,10,104,,,,,
101104,1,1,4,{gold=160000;50001=4;59001=4},50,1,0,1,753,7,149,8,149,9,105,10,105,,,,,
101105,1,1,5,{gold=180000;50001=5;59001=5},50,1,0,1,760,7,151,8,151,9,106,10,106,,,,,
101106,1,1,6,{gold=200000;50001=5;59001=5},50,1,0,1,768,7,152,8,152,9,107,10,107,,,,,
101107,1,1,7,{gold=220000;50001=6;59001=6},50,1,0,1,775,7,154,8,154,9,108,10,108,,,,,
101108,1,1,8,{gold=240000;50001=6;59001=6;501=1},50,1,0,1,782,7,155,8,155,9,109,10,109,<0>,{24=300;25=300},,,
101201,1,2,1,{gold=150000;50001=5;59001=5},60,1,0,1,804,7,160,8,160,9,112,10,112,,,,,
101202,1,2,2,{gold=180000;50001=5;59001=5},60,1,0,1,812,7,161,8,161,9,113,10,113,,,,,
101203,1,2,3,{gold=210000;50001=6;59001=6},60,1,0,1,820,7,163,8,163,9,114,10,114,,,,,
101204,1,2,4,{gold=240000;50001=6;59001=6},60,1,0,1,828,7,164,8,164,9,116,10,116,,,,,
101205,1,2,5,{gold=270000;50001=7;59001=7},60,1,0,1,836,7,166,8,166,9,117,10,117,,,,,
101206,1,2,6,{gold=300000;50001=7;59001=7},60,1,0,1,844,7,167,8,167,9,118,10,118,,,,,
101207,1,2,7,{gold=330000;50001=8;59001=8;501=1},60,1,0,1,852,7,169,8,169,9,119,10,119,,,,,
101208,1,2,8,{gold=360000;50001=8;59001=8;501=1},60,1,0,1,860,7,171,8,171,9,120,10,120,,,79001,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108}
101301,1,3,1,{gold=230000;50001=6;59001=6},70,1,0,1,877,7,174,8,174,9,122,10,122,,,,,
101302,1,3,2,{gold=270000;50001=6;59001=6},70,1,0,1,886,7,176,8,176,9,124,10,124,,,,,
101303,1,3,3,{gold=320000;50001=7;59001=7},70,1,0,1,895,7,177,8,177,9,125,10,125,,,,,
101304,1,3,4,{gold=360000;50001=7;59001=7},70,1,0,1,904,7,179,8,179,9,126,10,126,<2;12>,{24=500;25=500},,,
101305,1,3,5,{gold=410000;50001=8;59001=8},70,1,0,1,912,7,181,8,181,9,127,10,127,,,,,
101306,1,3,6,{gold=450000;50001=8;59001=8;501=1},70,1,0,1,921,7,183,8,183,9,129,10,129,,,,,
101307,1,3,7,{gold=500000;50001=9;59001=9;501=1},70,1,0,1,930,7,184,8,184,9,130,10,130,,,,,
101308,1,3,8,{gold=540000;50001=9;59001=9;501=1;220=1},70,1,0,1,939,7,186,8,186,9,131,10,131,,,79002,,{advance=14;goodFeel=150;star=9;zawakeStage=208}
101401,1,4,1,{gold=350000;50001=8;59001=8},80,1,0,1,950,7,189,8,189,9,133,10,133,,,,,
101402,1,4,2,{gold=410000;50001=8;59001=8},80,1,0,1,960,7,190,8,190,9,134,10,134,,,,,
101403,1,4,3,{gold=480000;50001=9;59001=9},80,1,0,1,969,7,192,8,192,9,135,10,135,,,,,
101404,1,4,4,{gold=540000;50001=9;59001=9},80,1,0,1,979,7,194,8,194,9,137,10,137,<0>,{14=300;16=300},,,
101405,1,4,5,{gold=620000;50001=10;59001=10},80,1,0,1,988,7,196,8,196,9,138,10,138,,,,,
101406,1,4,6,{gold=680000;50001=10;59001=10;501=1},80,1,0,1,998,7,198,8,198,9,139,10,139,,,,,
101407,1,4,7,{gold=750000;50001=11;59001=11;501=1},80,1,0,1,1007,7,200,8,200,9,141,10,141,,,,,
101408,1,4,8,{gold=810000;50001=11;59001=11;501=1;230=1},80,1,0,1,1017,7,202,8,202,9,142,10,142,,,79004,,{effort=9;nvalueSum=140;equipStarSum=8;zawakeStage=308}
101501,1,5,1,{gold=530000;50001=9;59001=9},100,1,0,1,1023,7,203,8,203,9,143,10,143,,,,,
