"﻿变量名",zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,awakeDes1_tw,awakeDes1_en,awakeDes1_vn,awakeDes1_kr,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
默认值,0,,0,{},0.5,"""""","""""","""""","""""","""""",1,-1,{},-1,{}
ID,z觉醒id,精灵备注,觉醒阶段ID,结点位置坐标,结点缩放,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,觉醒阶段强化效果简要描述,开启状态：1.当前版本开启，2.当前版本未开启可预览，3.当前版本未开启,开启条件1类型：(-1)自身养成; (markID)其他精灵,开启条件1具体参数：1.觉醒阶段参数 2.其他养成具体参数(goodFeel:好感度等级;equipStarSum:饰品总星级;equipAwakeSum:饰品总觉醒;equipSignetAdvanceSum:饰品总刻印等级;zawakeStage:Z觉醒阶段;star:精灵星级;nvalueSum:个体值总和;advance:突破阶段;effort:精灵努力值阶段;gemQuality:符石指数),开启条件2类型,开启条件2具体参数
10101,1,Frog Flower,1,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,1,,{advance=13;goodFeel=100;star=8},,
10102,1,Frog Flower,2,,,Basic attack enhanced!,普攻技能獲得強化提升!,Basic attack enhanced!,,,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
10103,1,Frog Flower,3,,,Basic skills enhanced!,小技能獲得強化提升!,Basic skills enhanced!,,,1,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,
10104,1,Frog Flower,4,,,Passive skills enhanced!,被動技能獲得強化提升!,Passive skills enhanced!,,,1,,{effort=9;nvalueSum=140;equipStarSum=8;zawakeStage=308},,
10105,1,Frog Flower,5,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,1,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,
10106,1,Frog Flower,6,,,Ultimate skills enhanced!,大招技能獲得強化提升!,Ultimate skills enhanced!,,,1,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
10107,1,Frog Flower,7,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,
10108,1,Frog Flower,8,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{effort=13;nvalueSum=140;equipStarSum=12;zawakeStage=708},,
10201,2,Super Frog Flower,1,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=13;goodFeel=100;star=8},,
10202,2,Super Frog Flower,2,,,Basic attack enhanced!,普攻技能獲得強化提升!,Basic attack enhanced!,,,3,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
10203,2,Super Frog Flower,3,,,Basic skills enhanced!,小技能獲得強化提升!,Basic skills enhanced!,,,3,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,
10204,2,Super Frog Flower,4,,,Passive skills enhanced!,被動技能獲得強化提升!,Passive skills enhanced!,,,3,,{effort=9;nvalueSum=140;equipStarSum=9;zawakeStage=308},,
10205,2,Super Frog Flower,5,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,
10206,2,Super Frog Flower,6,,,Ultimate skills enhanced!,大招技能獲得強化提升!,Ultimate skills enhanced!,,,3,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
10207,2,Super Frog Flower,7,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,
10208,2,Super Frog Flower,8,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{effort=13;nvalueSum=140;equipStarSum=15;zawakeStage=708},,
11101,11,Charizard,1,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,1,,{advance=13;goodFeel=100;star=8},,
11102,11,Charizard,2,,,Basic attack enhanced!,普攻技能獲得強化提升!,Basic attack enhanced!,,,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
11103,11,Charizard,3,,,Basic skills enhanced!,小技能獲得強化提升!,Basic skills enhanced!,,,1,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,
11104,11,Charizard,4,,,Passive skills enhanced!,被動技能獲得強化提升!,Passive skills enhanced!,,,1,,{effort=9;nvalueSum=140;equipStarSum=8;zawakeStage=308},,
11105,11,Charizard,5,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,
11106,11,Charizard,6,,,Ultimate skills enhanced!,大招技能獲得強化提升!,Ultimate skills enhanced!,,,3,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
11107,11,Charizard,7,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,
11108,11,Charizard,8,,,Stats enhanced,屬性獲得增強,Stats enhanced,,,3,,{effort=13;nvalueSum=140;equipStarSum=12;zawakeStage=708},,
