"﻿变量名",name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
默认值,"""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr>,0,config/portrait/jinglingtouxiang/img_25_pkq@.png,一种无法合成精灵特殊的碎片,"""""","""""","""""",主要用于进行精灵Z觉醒，但也可以用来提升极限属性，甚至作为超进化材料,"""""","""""","""""",4,5,9999,<1>,<3>,"""""","""""","""""","""""","""""","""""","""""",可在精灵Z觉醒里兑换获得,"""""","""""","""""",{drawcard=false;gain=false},0,0
碎片ID,碎片名称,碎片名称,碎片名称,碎片名称,碎片名称,语言区域,卡牌ID,碎片图标,描述,描述,描述,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片5专属觉醒碎片6通用觉醒碎片),堆叠上限,功能按键,特殊页签显示,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_韩,分别表示在抽卡，恭喜获得,排序类型,排序价值
50001,Bulbasaur·Z Awake Shard,妙蛙種子·Z覺醒碎片,Bulbasaur·Z Awake Shard,,,,1,config/portrait/jinglingtouxiang/img_1_mwzz@.png,Z Awakening cultivation for raising the Bulbasaur,,,,Z Awakening cultivation for raising the Bulbasaur,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50011,Charmander·Z Awake Shard,小火龍·Z覺醒碎片,Charmander·Z Awake Shard,,,,11,config/portrait/jinglingtouxiang/img_4_xhl@.png,Z Awakening Cultivation for Raising Charmander,,,,Z Awakening Cultivation for Raising Charmander,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50021,Squirtle·Z Awake Shard,傑尼龜·Z覺醒碎片,Squirtle·Z Awake Shard,,,,21,config/portrait/jinglingtouxiang/img_7_jng@.png,Z Awakening Cultivation for Raising Squirrels,,,,Z Awakening Cultivation for Raising Squirrels,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50031,Caterpie·Z Awake Shard,綠毛蟲·Z覺醒碎片,Caterpie·Z Awake Shard,,,,31,config/portrait/jinglingtouxiang/img_10_lmc@.png,Z Awakening cultivation for improving green caterpillar,,,,Z Awakening cultivation for improving green caterpillar,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,獨角蟲·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_13_djc@.png,Z Awakening Cultivation for Raising Unicorns,,,,Z Awakening Cultivation for Raising Unicorns,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50051,Pidgey·Z Awake Shard,波波·Z覺醒碎片,Pidgey·Z Awake Shard,,,,51,config/portrait/jinglingtouxiang/img_16_bb@.png,Z Awakening Cultivation for Boosting Bobo,,,,Z Awakening Cultivation for Boosting Bobo,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50061,Squirtle·Z Awake Shard,小拉達·Z覺醒碎片,Squirtle·Z Awake Shard,,,,61,config/portrait/jinglingtouxiang/img_19_xld@.png,The Z Awakening cultivation used to improve the little Lada,,,,The Z Awakening cultivation used to improve the little Lada,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50071,Spearow·Z Awake Shard,烈雀·Z覺醒碎片,Spearow·Z Awake Shard,,,,71,config/portrait/jinglingtouxiang/img_21_lq@.png,Z Awakening Cultivation for Raising Sparrow,,,,Z Awakening Cultivation for Raising Sparrow,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
